Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
4028863,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4028983,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029104,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029224,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029345,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029465,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029586,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029706,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029827,-554.376,-497.192,606.24,89.959,-9.857,-63.689
4029947,-554.371,-497.199,606.24,89.96,-9.859,-63.689
4030068,-554.373,-497.196,606.24,89.96,-9.859,-63.689
4030188,-554.373,-497.196,606.244,89.96,-9.86,-63.689
4030309,-554.365,-497.187,606.266,89.958,-9.861,-63.689
4030429,-554.239,-497.024,606.615,89.931,-9.872,-63.685
4030550,-552.188,-494.533,612.634,89.408,-10.09,-63.6
4030670,-548.852,-490.63,623.345,88.312,-10.542,-63.405
4030791,-546.401,-487.298,632.263,87.312,-10.951,-63.244
4030911,-545.81,-482.635,639.679,86.481,-11.287,-63.29
4031032,-545.045,-476.488,648.165,85.623,-11.631,-63.395
4031152,-544.334,-470.556,655.112,85.043,-11.862,-63.548
4031272,-542.791,-466.919,654.877,86.087,-11.448,-63.864
4031393,-540.967,-463.726,649.803,88.368,-10.527,-64.366
4031513,-539.939,-460.136,645.594,90.3,-9.73,-64.842
4031634,-538.658,-456.229,648.148,90.578,-9.615,-65.026
4031754,-533.618,-448.527,660.551,89.665,-9.997,-64.986
4031875,-525.805,-439.913,674.156,89.023,-10.265,-64.872
4031995,-519.489,-432.964,681.045,89.52,-10.062,-64.96
4032116,-515.006,-427.99,683.467,90.517,-9.65,-65.134
4032236,-510.644,-423.155,688.345,90.77,-9.546,-65.178
4032357,-505.298,-417.337,697.468,90.148,-9.807,-65.068
4032477,-499.831,-411.366,706.425,89.554,-10.056,-64.96
4032597,-495.111,-406.132,712.32,89.526,-10.069,-64.956
4032718,-491.181,-401.772,717.009,89.537,-10.066,-64.959
4032838,-488.114,-398.38,722.035,89.132,-10.235,-64.887
4032959,-485.577,-395.566,726.246,88.766,-10.386,-64.822
4033079,-482.968,-392.688,730.5,88.396,-10.539,-64.753
4033200,-480.094,-389.533,735.108,87.991,-10.705,-64.676
4033320,-477.515,-386.675,739.202,87.629,-10.853,-64.608
4033441,-475.215,-384.123,742.814,87.307,-10.985,-64.547
4033561,-474.152,-382.943,744.477,87.156,-11.046,-64.518
4033682,-474.111,-382.898,744.541,87.15,-11.049,-64.517
4033802,-474.111,-382.898,744.541,87.15,-11.049,-64.517
4033922,-474.111,-382.899,744.543,87.149,-11.049,-64.517
4034043,-474.045,-382.982,744.544,87.149,-11.049,-64.507
4034163,-474.005,-383.017,744.553,87.148,-11.049,-64.502
4034284,-472.872,-381.759,746.306,86.991,-11.113,-64.471
4034404,-468.776,-377.279,752.521,86.427,-11.341,-64.356
4034525,-462.198,-372.486,760.734,85.672,-11.645,-64.041
4034645,-456.272,-371.671,765.788,85.203,-11.832,-63.564
4034766,-450.782,-371.855,769.802,84.826,-11.981,-63.065
4034886,-444.712,-371.505,774.491,84.382,-12.156,-62.536
4035007,-437.315,-369.622,780.949,83.764,-12.399,-61.959
4035127,-429.399,-367.119,787.97,83.081,-12.664,-61.354
4035247,-422.102,-364.744,794.316,82.454,-12.906,-60.788
4035368,-415.59,-362.844,799.715,81.915,-13.113,-60.262
4035488,-409.846,-361.365,804.27,81.454,-13.288,-59.78
4035609,-404.505,-359.953,808.448,81.027,-13.45,-59.326
4035729,-399.39,-358.071,812.672,80.591,-13.614,-58.914
4035850,-394.726,-354.364,817.549,80.079,-13.805,-58.638
4035970,-392.144,-354.088,819.248,79.9,-13.872,-58.388
4036091,-390.722,-355.834,819.116,79.922,-13.864,-58.152
4036211,-390.471,-356.101,819.117,79.923,-13.863,-58.112
4036332,-389.206,-356.986,819.372,79.9,-13.872,-57.937
4036452,-385.509,-354.725,822.727,79.553,-14.001,-57.676
4036572,-379.486,-349.436,829.015,78.876,-14.25,-57.325
4036693,-371.459,-343.945,836.231,78.109,-14.534,-56.769
4036814,-366.476,-342.906,838.087,78.157,-14.517,-56.386
4036934,-363.824,-342.815,837.156,78.674,-14.328,-56.27
4037054,-359.607,-341.25,837.182,79.151,-14.154,-56.091
4037175,-354.252,-340.188,837.569,79.542,-14.011,-55.74
4037295,-348.065,-339.603,838.182,79.868,-13.904,-55.248
4037416,-339.833,-340.647,839.036,80.227,-14.053,-54.426
4037536,-329.269,-341.696,841.291,80.531,-14.697,-53.317
4037657,-317.046,-340.732,845.66,80.47,-15.379,-52.047
4037777,-304.394,-340.152,850.31,80.209,-15.905,-50.616
4037898,-293.557,-340.516,853.162,80.05,-16.037,-49.328
4038018,-284.322,-341.993,855.217,79.894,-16.091,-48.128
4038139,-276.435,-344.139,856.445,79.821,-16.117,-47.051
4038259,-270.392,-346.621,856.132,79.995,-16.054,-46.232
4038380,-265.821,-348.972,855.045,80.281,-15.95,-45.625
4038500,-261.617,-350.58,855.527,80.174,-15.988,-44.995
4038621,-257.521,-352.739,858.75,79.039,-16.388,-44.057
4038741,-252.77,-355.75,862.098,77.703,-16.847,-42.926
4038862,-246.724,-358.362,861.857,77.662,-16.86,-42.027
4038982,-239.735,-360.478,861.092,77.924,-16.77,-41.12
4039103,-230.957,-361.204,861.606,78,-16.744,-39.989
4039223,-219.836,-356.849,866.662,77.362,-16.963,-38.555
4039344,-208.616,-344.74,876.041,76.046,-17.407,-37.19
4039464,-197.933,-329.471,886.254,74.53,-17.906,-35.893
4039585,-190.185,-319.72,892.694,73.528,-18.23,-34.862
4039705,-185.089,-319.043,894.303,73.273,-18.314,-34.029
4039826,-179.77,-322.261,894.219,73.286,-18.31,-33.075
4039946,-172.699,-326.103,894.219,73.287,-18.312,-31.825
4040066,-163.071,-331.022,894.22,73.287,-18.314,-30.147
4040187,-152.654,-335.953,894.22,73.287,-18.314,-28.357
4040308,-142.633,-340.328,894.22,73.288,-18.314,-26.659
4040428,-134.39,-343.664,894.222,73.287,-18.314,-25.278
4040548,-126.66,-346.582,894.224,73.287,-18.314,-23.995
4040669,-119.722,-349.028,894.23,73.286,-18.314,-22.852
4040789,-112.625,-351.362,894.239,73.285,-18.315,-21.691
4040910,-105.443,-353.567,894.247,73.283,-18.315,-20.523
4041030,-98.436,-355.504,894.285,73.277,-18.317,-19.389
4041151,-91.94,-357.233,894.288,73.277,-18.318,-18.345
4041271,-85.279,-358.832,894.312,73.273,-18.319,-17.278
4041392,-78.911,-358.984,894.954,73.17,-18.351,-16.223
4041512,-72.528,-353.415,898.324,72.622,-18.525,-14.97
4041632,-63.424,-343.102,904.067,71.85,-19.296,-13.018
4041753,-53.217,-333.492,909.359,71.449,-20.875,-10.779
4041873,-44.893,-325.764,913.477,71.197,-22.328,-8.865
4041994,-38.176,-320.481,916.233,70.947,-23.141,-7.319
4042114,-31.604,-318.099,917.568,70.733,-23.317,-5.947
4042235,-23.739,-318.541,917.669,70.711,-23.318,-4.516
4042355,-16.121,-319.021,917.666,70.712,-23.317,-3.147
4042476,-8.871,-319.306,917.665,70.712,-23.317,-1.846
4042596,-1.394,-319.428,917.664,70.712,-23.317,-0.504
4042717,6.08,-319.373,917.664,70.712,-23.317,0.836
4042837,13.327,-319.153,917.664,70.712,-23.317,2.137
4042958,21.071,-318.735,917.664,70.712,-23.317,3.528
4043078,28.88,-318.12,917.666,70.711,-23.317,4.933
4043198,36.742,-317.308,917.668,70.711,-23.318,6.351
4043319,44.532,-316.304,917.67,70.71,-23.318,7.76
4043439,51.787,-315.152,917.689,70.707,-23.319,9.082
4043560,58.826,-313.915,917.689,70.707,-23.319,10.364
4043680,65.525,-312.585,917.689,70.707,-23.319,11.589
4043801,72.223,-311.106,917.689,70.707,-23.319,12.82
4043921,78.51,-307.656,918.476,70.553,-23.358,14.22
4044042,81.954,-300.711,920.908,70.07,-23.481,15.639
4044162,88.011,-294.489,922.674,69.713,-23.574,17.405
4044283,95.401,-289.426,923.719,69.5,-23.627,19.235
4044403,104.476,-286.774,923.31,69.588,-23.605,20.949
4044524,115.436,-287.145,919.336,70.435,-23.391,22.266
4044644,126.742,-289.221,911,72.169,-22.937,23.021
4044765,134.244,-286.986,902.35,73.896,-22.462,23.706
4044885,139.693,-281.609,896.126,74.676,-22.24,24.852
4045005,145.444,-274.931,896.531,73.057,-22.686,27.141
4045126,152.28,-269.623,900.599,70.236,-23.422,29.9
4045246,159.505,-265.481,900.784,69.209,-23.674,31.85
4045367,167.825,-262.874,897.215,69.851,-23.515,33.037
4045487,175.799,-258.806,896.297,70.02,-23.473,34.55
4045608,183.741,-253.186,896.337,70.013,-23.476,36.337
4045728,192.235,-246.972,896.278,70.025,-23.473,38.252
4045849,201.143,-242.828,895.268,70.227,-23.422,39.791
4045969,212.104,-242.111,892.401,70.788,-23.279,40.826
4046090,223.197,-241.965,889.129,71.412,-23.117,41.702
4046210,232.542,-240.265,886.777,71.847,-23.003,42.669
4046331,240.681,-236.652,885.315,72.116,-22.931,43.842
4046451,245.704,-230.029,885.813,72.027,-22.956,45.324
4046572,250.03,-221.038,887.133,71.784,-23.021,47.181
4046692,255.024,-210.228,888.584,71.52,-23.091,49.409
4046813,260.567,-200.231,889.443,71.358,-23.134,51.52
4046933,268.509,-191.533,888.896,71.462,-23.108,53.463
4047054,277.884,-184.433,887.204,71.778,-23.025,55.098
4047174,285.888,-177.502,885.821,72.032,-22.957,56.602
4047295,291.813,-170.219,885.211,72.148,-22.939,58.08
4047415,298.192,-161.978,884.592,72.381,-23.226,59.714
4047536,304.397,-152.892,884.26,72.984,-24.531,61.456
4047656,309.174,-143.785,884.737,73.879,-26.907,63.141
4047776,312.242,-137.333,885.538,74.774,-29.394,64.297
4047897,313.998,-133.2,886.456,75.379,-31.302,65.047
4048018,318.195,-130.665,887.564,75.064,-32.41,65.942
4048138,324.937,-129.673,887.634,74.325,-32.609,66.726
4048259,331.798,-127.809,885.967,74.343,-32.593,67.222
4048379,338.231,-123.792,883.975,74.639,-32.536,67.885
4048499,346.949,-116.803,883.001,74.28,-32.602,69.398
4048620,354.196,-107.564,883.882,73.29,-32.735,71.518
4048740,357.414,-97.539,887.303,71.622,-32.563,73.934
4048861,357.495,-86.032,893.325,69.714,-32.29,76.626
4048981,360.341,-73.403,897.841,68.556,-32.289,79.211
4049102,366.778,-60.937,900.526,67.945,-32.336,81.484
4049222,372.778,-49.33,903.819,67.084,-32.201,83.635
4049343,379.862,-37.932,906.81,65.763,-31.484,85.707
4049463,389.518,-25.161,907.2,64.871,-29.931,87.342
4049584,398.053,-12.893,906.295,64.231,-27.887,88.507
4049704,404.943,0.891,905.306,63.587,-25.774,89.792
4049825,412.651,15.401,903.184,63.129,-23.675,90.979
4049945,418.903,30.59,901.644,62.769,-22.261,92.417
4050065,424.113,45.829,900.926,62.431,-21.486,94.033
4050186,431.411,61.694,898.343,62.484,-21.058,95.567
4050306,439.563,78.418,894.541,62.791,-20.895,97.103
4050427,445.046,91.715,891.955,62.956,-20.837,98.356
4050547,448.485,100.717,890.344,63.029,-20.819,99.206
4050668,452.579,108.628,887.313,63.37,-20.733,99.778
4050788,458.021,116.954,882.527,63.993,-20.573,100.206
4050909,465.079,125.453,876.528,64.748,-20.376,100.5
4051029,470.493,134.727,871.256,65.398,-20.202,100.98
4051150,473.498,143.385,867.535,65.849,-20.08,101.573
4051270,478.849,151.781,861.785,66.532,-19.599,101.822
4051391,484.524,156.022,855.161,67.116,-17.399,101.147
4051511,487.636,159.522,852.476,66.389,-14.407,100.61
4051631,488.91,167.477,850.292,65.734,-12.002,100.74
4051752,487.718,174.628,849.646,65.417,-10.966,101.251
