Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
4192127,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192248,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192368,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192489,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192609,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192730,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192850,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4192971,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4193091,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4193212,-2.382,-556.178,571.628,69.952,-10.095,-96.502
4193332,-2.386,-556.176,571.676,69.952,-10.098,-96.502
4193453,-2.396,-556.174,571.875,69.957,-10.121,-96.504
4193573,-2.762,-554.828,576.142,70.134,-10.562,-96.535
4193693,-3.893,-550.648,586.68,70.575,-11.648,-96.62
4193814,-4.929,-546.82,594.657,70.911,-12.469,-96.69
4193934,-5.454,-544.879,598.346,71.067,-12.849,-96.725
4194055,-5.966,-542.976,602.949,71.266,-13.327,-96.77
4194175,-6.789,-539.762,611.486,71.641,-14.218,-96.854
4194296,-6.321,-535.689,621.34,72.382,-15.154,-96.892
4194416,-1.403,-531.482,629.368,73.571,-15.733,-96.588
4194537,4.274,-525.425,640.546,74.691,-16.712,-96.111
4194657,9.16,-517.774,654.122,75.464,-18.104,-95.555
4194778,13.979,-510.551,666.42,76.176,-19.377,-94.994
4194898,18.178,-505.054,677.034,76.739,-20.503,-94.512
4195019,21.379,-500.638,686.593,77.213,-21.534,-94.152
4195139,22.934,-496.744,695.128,77.644,-22.457,-93.983
4195259,23.787,-492.531,703.432,78.072,-23.361,-93.881
4195380,24.57,-487.704,711.507,78.497,-24.245,-93.762
4195500,25.353,-482.251,720.211,78.966,-25.206,-93.634
4195621,25.186,-474.733,731.961,79.616,-26.511,-93.607
4195741,24.759,-467.647,742.572,80.224,-27.7,-93.613
4195862,24.762,-462.508,751.16,80.727,-28.663,-93.611
4195982,23.869,-457.828,759.341,81.216,-29.583,-93.736
4196103,23.134,-451.607,768.68,81.795,-30.646,-93.815
4196223,23.46,-443.94,778.945,82.456,-31.83,-93.734
4196344,25.307,-436.169,788.914,83.123,-32.991,-93.451
4196464,28.391,-429.391,798.241,83.765,-34.076,-93.036
4196585,32.705,-423.009,807.007,84.387,-35.1,-92.46
4196705,36.899,-416.916,815.36,85,-36.08,-91.896
4196826,42.427,-411.435,822.369,85.532,-36.908,-91.132
4196946,48.748,-407.085,828.182,85.98,-37.59,-90.273
4197067,55.234,-402.45,833.487,86.402,-38.221,-89.346
4197187,61.532,-396.718,838.726,86.84,-38.863,-88.359
4197308,66.514,-388.994,844.836,87.38,-39.635,-87.432
4197428,71.545,-380.814,850.828,87.933,-40.407,-86.434
4197549,76.334,-371.864,856.016,88.45,-41.111,-85.335
4197669,79.181,-360.823,861.653,89.061,-41.92,-84.311
4197790,79.956,-347.257,868.417,89.848,-42.928,-83.358
4197910,76.853,-331.775,876.186,90.832,-44.137,-82.779
4198031,72.41,-317.076,883.32,91.827,-45.303,-82.388
4198151,73.407,-309.687,886.334,92.444,-45.759,-81.675
4198272,82.564,-306.64,885.83,93.708,-45.226,-80.29
4198392,96.479,-304.953,883.711,95.288,-44.212,-78.422
4198512,108.911,-300.687,882.746,96.891,-43.425,-76.527
4198633,118.804,-295.977,882.634,97.786,-43.072,-74.766
4198753,126.414,-290.354,883.537,98.085,-43.162,-73.061
4198874,129.628,-281.288,886.563,98.53,-43.682,-71.551
4198994,131.672,-270.606,890.267,99.1,-44.337,-69.941
4199115,133.551,-259.548,893.954,99.702,-45.011,-68.2
4199236,138.827,-251.374,895.83,100.024,-45.363,-66.258
4199356,146.893,-246.131,896.036,100.06,-45.402,-64.31
4199477,156.247,-242.395,895.345,99.94,-45.271,-62.432
4199597,166.731,-238.958,894.159,99.737,-45.049,-60.495
4199718,178.676,-234.841,892.667,99.488,-44.773,-58.33
4199838,189.539,-229.935,891.485,99.295,-44.558,-56.243
4199958,197.916,-224.103,891.097,99.234,-44.491,-54.347
4200079,204.541,-217.948,893.24,99.876,-45.208,-53.057
4200200,210.717,-211.246,899.457,101.833,-47.267,-52.673
4200320,216.312,-204.404,905.634,103.943,-49.286,-52.479
4200440,221.804,-197.926,907.15,104.481,-49.77,-51.221
4200561,227.466,-191.388,907.153,104.483,-49.771,-49.555
4200682,233.374,-184.138,907.152,104.483,-49.771,-47.752
4200802,239.484,-176.11,907.154,104.484,-49.771,-45.808
4200923,245.254,-167.983,907.152,104.484,-49.771,-43.886
4201043,250.711,-159.735,907.141,104.486,-49.768,-41.981
4201164,256.054,-151.02,907.134,104.494,-49.763,-40.012
4201284,260.911,-142.464,907.129,104.497,-49.761,-38.116
4201405,265.185,-134.339,907.115,104.504,-49.754,-36.347
4201525,269.105,-126.187,907.133,104.511,-49.756,-34.602
4201646,272.63,-118.032,907.045,104.759,-49.637,-32.937
4201766,276.12,-107.41,906.641,106.107,-48.997,-31.035
4201887,278.793,-96.863,906.205,107.866,-48.163,-29.242
4202007,280.577,-88.779,905.95,109.112,-47.571,-27.839
4202127,282.247,-81.755,905.818,109.778,-47.251,-26.536
4202248,284.614,-72.981,905.603,110.218,-47.006,-24.841
4202368,286.908,-62.751,905.567,110.4,-46.916,-22.821
4202489,288.969,-52.466,905.56,110.395,-46.915,-20.772
4202609,290.635,-42.278,905.558,110.394,-46.914,-18.758
4202730,291.875,-32.81,905.549,110.392,-46.913,-16.895
4202850,292.816,-23.359,905.534,110.389,-46.91,-15.044
4202970,293.411,-14.065,905.531,110.389,-46.91,-13.227
4203091,293.706,-5.175,905.527,110.388,-46.909,-11.492
4203211,294.005,3.547,905.404,110.366,-46.888,-9.799
4203332,294.02,11.66,905.303,110.349,-46.871,-8.227
4203452,293.688,18.9,905.271,110.345,-46.866,-6.816
4203573,293.276,24.581,905.263,110.344,-46.865,-5.707
4203693,292.994,28.65,905.228,110.337,-46.859,-4.917
4203814,292.952,31.54,905.126,110.319,-46.841,-4.366
4203934,295.995,35.173,903.773,110.086,-46.609,-3.861
4204054,302.184,40.167,901.009,109.616,-46.136,-3.289
4204175,305.607,43.416,899.41,109.353,-45.867,-2.894
4204295,303.493,43.303,900.312,109.499,-46.017,-2.796
4204416,295.512,38.725,903.808,110.09,-46.614,-3.172
4204536,286.24,33.042,907.724,110.794,-47.304,-3.69
4204656,278.012,28.014,911.049,111.431,-47.91,-4.16
4204777,273.901,25.501,912.658,111.754,-48.21,-4.401
4204897,272.483,24.635,913.205,111.866,-48.313,-4.484
4205018,272.483,24.635,913.205,111.866,-48.313,-4.484
4205138,272.483,24.635,913.205,111.866,-48.313,-4.484
4205259,272.483,24.635,913.205,111.866,-48.313,-4.484
4205379,272.483,24.635,913.205,111.866,-48.313,-4.484
4205499,272.483,24.635,913.205,111.866,-48.313,-4.484
4205620,272.483,24.635,913.205,111.866,-48.313,-4.484
4205740,272.483,24.635,913.205,111.866,-48.313,-4.484
4205861,272.483,24.635,913.205,111.866,-48.313,-4.484
4205981,272.483,24.635,913.205,111.866,-48.313,-4.484
4206102,272.483,24.635,913.205,111.866,-48.313,-4.484
4206222,272.483,24.635,913.205,111.866,-48.313,-4.484
4206343,272.483,24.635,913.205,111.866,-48.313,-4.484
4206463,272.483,24.635,913.205,111.866,-48.313,-4.484
4206584,272.483,24.635,913.205,111.866,-48.313,-4.484
4206704,272.483,24.635,913.205,111.866,-48.313,-4.484
4206824,272.483,24.635,913.205,111.866,-48.313,-4.484
4206945,272.483,24.635,913.205,111.866,-48.313,-4.484
4207065,272.483,24.635,913.205,111.866,-48.313,-4.484
4207186,272.446,24.764,913.277,111.949,-48.315,-4.488
4207306,270.822,26.838,915.678,113.996,-48.579,-4.796
4207427,267.984,32.587,920.005,118.378,-48.773,-5.054
4207547,270.01,42.082,920.468,121.796,-47.821,-4.193
4207668,273.045,50.86,918.218,123.751,-46.195,-2.748
4207788,274.825,55.611,916.961,124.78,-45.316,-1.967
4207908,277.415,57.886,915.851,124.838,-45.002,-1.722
4208029,278.161,58.752,917.557,125.587,-45.589,-2.085
4208149,278.365,59.319,921.651,127.161,-46.989,-3.037
4208270,273.999,56.66,927.674,129.065,-48.809,-4.447
4208390,262.665,49.743,934.947,131.125,-50.605,-6.016
4208511,244.516,38.654,943.046,133.367,-52.374,-7.769
4208631,229.769,29.649,949.739,135.612,-53.976,-9.564
4208751,223.079,25.566,952.242,136.481,-54.552,-10.267
4208872,220.969,24.348,952.853,136.695,-54.668,-10.407
4208992,220.859,24.578,952.757,136.727,-54.597,-10.294
4209112,220.255,25.81,952.002,136.738,-54.099,-9.552
4209233,218.435,31.222,949.527,137.196,-52.259,-6.884
4209353,217.437,42.632,946.377,138.52,-49.623,-2.794
4209474,215.917,57.897,943.623,140.745,-46.714,2.059
4209594,217.974,73.676,940.663,142.295,-44.402,6.134
4209715,220.647,85.091,938.353,142.589,-43.326,8.575
4209835,221.582,93.744,936.683,142.334,-42.978,10.325
4209956,222.263,103.985,932.228,141.874,-42.345,12.472
4210076,219.514,112.787,928.155,141.545,-41.866,14.73
4210197,216.038,121.645,924.553,141.262,-41.448,17.038
4210317,210.295,128.362,923.322,141.213,-41.375,19.18
4210438,201.769,131.278,925.097,141.475,-41.765,21.003
4210558,195.376,133.13,926.455,141.68,-42.064,22.363
4210678,191.474,134.398,927.223,141.799,-42.237,23.242
4210799,189.894,136.593,927.229,141.799,-42.238,23.905
4210919,189.18,137.972,927.158,141.789,-42.222,24.273
4211040,189.18,137.972,927.158,141.789,-42.222,24.273
4211160,189.18,137.972,927.158,141.789,-42.222,24.273
4211281,189.18,137.972,927.158,141.789,-42.222,24.273
4211401,189.18,137.972,927.158,141.789,-42.222,24.273
4211522,189.18,137.972,927.158,141.789,-42.222,24.273
4211642,189.18,137.972,927.158,141.789,-42.222,24.273
4211763,189.18,137.972,927.158,141.789,-42.222,24.273
4211883,189.18,137.972,927.158,141.789,-42.222,24.273
4212004,189.18,137.972,927.158,141.789,-42.222,24.273
4212124,189.18,137.972,927.158,141.789,-42.222,24.273
