Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
7603009,561.95,190.58,394.41,92.576,-3.446,76.433
7603062,561.95,190.58,394.41,92.576,-3.446,76.433
7603115,561.95,190.58,394.41,92.576,-3.446,76.433
7603168,561.95,190.58,394.41,92.576,-3.446,76.433
7603222,561.95,190.58,394.41,92.576,-3.446,76.433
7603276,561.95,190.58,394.41,92.576,-3.446,76.433
7603329,561.95,190.58,394.41,92.576,-3.446,76.433
7603383,561.95,190.58,394.41,92.576,-3.446,76.433
7603435,561.95,190.58,394.41,92.576,-3.446,76.433
7603489,561.95,190.58,394.41,92.576,-3.446,76.433
7603541,561.95,190.58,394.41,92.576,-3.446,76.433
7603595,561.95,190.58,394.41,92.576,-3.446,76.433
7603648,561.95,190.58,394.41,92.576,-3.446,76.433
7603703,561.95,190.58,394.41,92.576,-3.446,76.433
7603756,561.95,190.58,394.41,92.576,-3.446,76.433
7603810,561.95,190.58,394.41,92.576,-3.446,76.433
7603863,561.95,190.58,394.41,92.576,-3.446,76.433
7603917,561.95,190.58,394.41,92.576,-3.446,76.433
7603969,561.95,190.58,394.41,92.576,-3.446,76.433
7604022,561.95,190.58,394.41,92.576,-3.446,76.433
7604076,561.95,190.58,394.41,92.576,-3.446,76.433
7604130,561.95,190.58,394.41,92.576,-3.446,76.433
7604182,561.95,190.58,394.41,92.576,-3.446,76.433
7604235,561.95,190.58,394.41,92.576,-3.446,76.433
7604288,561.95,190.58,394.41,92.576,-3.446,76.433
7604342,561.95,190.58,394.41,92.576,-3.446,76.433
7604396,561.95,190.58,394.41,92.576,-3.446,76.433
7604449,561.95,190.58,394.41,92.576,-3.446,76.433
7604503,561.95,190.58,394.41,92.576,-3.446,76.433
7604556,561.95,190.58,394.41,92.576,-3.446,76.433
7604610,561.95,190.58,394.41,92.576,-3.446,76.433
7604664,561.95,190.58,394.41,92.576,-3.446,76.433
7604719,561.95,190.58,394.41,92.576,-3.446,76.433
7604771,561.95,190.58,394.41,92.576,-3.446,76.433
7604824,561.95,190.58,394.41,92.576,-3.446,76.433
7604879,561.95,190.58,394.41,92.576,-3.446,76.433
7604933,561.95,190.58,394.41,92.576,-3.446,76.433
7604986,561.95,190.58,394.41,92.576,-3.446,76.433
7605040,561.95,190.58,394.41,92.576,-3.446,76.433
7605094,561.95,190.58,394.41,92.576,-3.446,76.433
7605147,561.95,190.58,394.41,92.576,-3.446,76.433
7605200,561.95,190.58,394.41,92.576,-3.446,76.433
7605254,561.95,190.58,394.41,92.576,-3.446,76.433
7605307,561.95,190.58,394.41,92.576,-3.446,76.433
7605360,561.95,190.58,394.41,92.576,-3.446,76.433
7605414,561.95,190.58,394.41,92.576,-3.446,76.433
7605467,561.95,190.58,394.41,92.576,-3.446,76.433
7605520,561.95,190.58,394.41,92.576,-3.446,76.433
7605573,561.95,190.58,394.41,92.576,-3.446,76.433
7605626,561.95,190.58,394.41,92.576,-3.446,76.433
7605680,561.95,190.58,394.41,92.576,-3.446,76.433
7605734,561.95,190.58,394.41,92.576,-3.446,76.433
7605786,561.95,190.58,394.41,92.576,-3.446,76.433
7605839,561.95,190.58,394.41,92.576,-3.446,76.433
7605892,561.95,190.58,394.41,92.576,-3.446,76.433
7605945,561.95,190.58,394.41,92.576,-3.446,76.433
7605998,561.95,190.58,394.41,92.576,-3.446,76.433
7606051,561.95,190.58,394.41,92.576,-3.446,76.433
7606105,561.95,190.58,394.41,92.576,-3.446,76.433
7606158,561.948,190.579,394.407,92.577,-3.445,76.433
7606211,561.948,190.579,394.407,92.577,-3.445,76.433
7606264,561.948,190.579,394.407,92.577,-3.445,76.433
7606317,561.948,190.579,394.407,92.577,-3.445,76.433
7606370,561.948,190.579,394.407,92.577,-3.445,76.433
7606423,561.947,190.579,394.409,92.577,-3.445,76.433
7606476,561.946,190.578,394.411,92.577,-3.445,76.433
7606529,561.945,190.578,394.422,92.576,-3.446,76.433
7606582,561.945,190.578,394.425,92.575,-3.446,76.433
7606635,561.944,190.577,394.436,92.574,-3.447,76.433
7606688,561.92,190.564,394.522,92.568,-3.453,76.434
7606741,561.898,190.554,394.657,92.557,-3.463,76.434
7606794,561.992,190.609,395.053,92.523,-3.493,76.437
7606848,562.385,190.824,396.248,92.421,-3.587,76.443
7606902,562.762,191.031,397.405,92.321,-3.677,76.449
7606955,563.374,191.367,399.306,92.159,-3.824,76.46
7607008,563.766,191.583,400.569,92.059,-3.916,76.467
7607062,563.921,191.668,401.054,92.017,-3.954,76.47
7607114,564.022,191.724,401.374,91.99,-3.979,76.471
7607168,564.081,191.756,401.564,91.973,-3.993,76.473
7607221,564.164,191.802,401.846,91.949,-4.015,76.474
7607274,564.472,191.971,402.846,91.863,-4.093,76.48
7607327,564.967,192.243,404.581,91.716,-4.227,76.491
7607381,565.4,192.481,406.209,91.578,-4.352,76.501
7607435,565.831,192.72,409.106,91.343,-4.565,76.52
7607488,565.419,192.496,412.738,91.105,-4.78,76.539
7607542,564.541,192.017,415.473,90.984,-4.89,76.549
7607595,562.584,190.942,419.454,90.874,-4.989,76.558
7607648,560.324,189.821,423.368,90.787,-5.068,76.575
7607702,558.784,189.066,426.475,90.641,-5.2,76.596
7607754,556.804,188.05,431.184,90.316,-5.493,76.632
7607808,555.75,187.48,433.773,90.124,-5.666,76.652
7607861,554.545,186.835,436.709,89.905,-5.863,76.675
7607915,553.85,186.457,438.379,89.781,-5.975,76.688
7607968,553.569,186.308,439.057,89.73,-6.021,76.694
7608021,553.33,186.179,439.691,89.676,-6.069,76.7
7608075,553.145,186.125,440.636,89.548,-6.184,76.718
7608127,553.014,186.137,441.953,89.344,-6.367,76.748
7608182,552.626,186.319,444.964,88.901,-6.764,76.835
7608235,551.644,187.15,449.31,88.455,-7.164,77.009
7608289,550.637,187.817,452.722,88.195,-7.396,77.149
7608343,548.921,189.188,457.509,87.882,-7.674,77.394
7608396,547.144,190.735,461.339,87.791,-7.755,77.628
7608450,545.959,191.758,463.316,87.859,-7.694,77.766
7608504,544.742,193.687,466.386,87.86,-7.693,77.994
7608556,544.399,195.939,470.029,87.675,-7.857,78.232
7608609,544.395,197.61,472.863,87.466,-8.043,78.407
7608663,544.772,199.634,477.847,87.058,-8.403,78.621
