Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
7308090,614.857,194.964,389.164,105.26,2.207,88.528
7308143,614.857,194.964,389.164,105.26,2.207,88.528
7308198,614.857,194.964,389.164,105.26,2.207,88.528
7308250,614.857,194.964,389.164,105.26,2.207,88.528
7308303,614.857,194.964,389.164,105.26,2.207,88.528
7308357,614.857,194.964,389.164,105.26,2.207,88.528
7308411,614.857,194.964,389.164,105.26,2.207,88.528
7308464,614.857,194.964,389.164,105.26,2.207,88.528
7308517,614.857,194.964,389.164,105.26,2.207,88.528
7308570,614.857,194.964,389.164,105.26,2.207,88.528
7308624,614.857,194.964,389.164,105.26,2.207,88.528
7308678,614.857,194.964,389.164,105.26,2.207,88.528
7308732,614.857,194.964,389.164,105.26,2.207,88.528
7308785,614.857,194.964,389.164,105.26,2.207,88.528
7308838,614.857,194.964,389.164,105.26,2.207,88.528
7308891,614.857,194.964,389.164,105.26,2.207,88.528
7308945,614.857,194.964,389.164,105.26,2.207,88.528
7308998,614.857,194.964,389.164,105.26,2.207,88.528
7309052,614.857,194.964,389.164,105.26,2.207,88.528
7309104,614.857,194.964,389.164,105.26,2.207,88.528
7309157,614.857,194.964,389.164,105.26,2.207,88.528
7309211,614.857,194.964,389.164,105.26,2.207,88.528
7309265,614.857,194.964,389.164,105.26,2.207,88.528
7309317,614.857,194.964,389.164,105.26,2.207,88.528
7309370,614.857,194.964,389.164,105.26,2.207,88.528
7309423,614.857,194.964,389.164,105.26,2.207,88.528
7309476,614.857,194.964,389.164,105.26,2.207,88.528
7309530,614.857,194.964,389.164,105.26,2.207,88.528
7309583,614.857,194.964,389.164,105.26,2.207,88.528
7309637,614.857,194.964,389.164,105.26,2.207,88.528
7309691,614.857,194.964,389.164,105.26,2.207,88.528
7309745,614.857,194.964,389.164,105.26,2.207,88.528
7309798,614.857,194.964,389.164,105.26,2.207,88.528
7309851,614.857,194.964,389.164,105.26,2.207,88.528
7309904,614.857,194.964,389.164,105.26,2.207,88.528
7309958,614.857,194.964,389.164,105.26,2.207,88.528
7310011,614.857,194.964,389.164,105.26,2.207,88.528
7310065,614.857,194.964,389.164,105.26,2.207,88.528
7310117,614.857,194.964,389.164,105.26,2.207,88.528
7310170,614.857,194.964,389.164,105.26,2.207,88.528
7310224,614.857,194.964,389.164,105.26,2.207,88.528
7310277,614.857,194.964,389.164,105.26,2.207,88.528
7310330,614.857,194.964,389.164,105.26,2.207,88.528
7310383,614.857,194.964,389.164,105.26,2.207,88.528
7310437,614.857,194.964,389.164,105.26,2.207,88.528
7310490,614.857,194.964,389.164,105.26,2.207,88.528
7310543,614.857,194.964,389.164,105.26,2.207,88.528
7310596,614.857,194.964,389.164,105.26,2.207,88.528
7310649,614.857,194.964,389.164,105.26,2.207,88.528
7310703,614.857,194.964,389.164,105.26,2.207,88.528
7310756,614.857,194.964,389.164,105.26,2.207,88.528
7310809,614.857,194.964,389.164,105.26,2.207,88.528
7310862,614.857,194.964,389.164,105.26,2.207,88.528
7310915,614.857,194.964,389.164,105.26,2.207,88.528
7310969,614.857,194.964,389.164,105.26,2.207,88.528
7311023,614.857,194.964,389.164,105.26,2.207,88.528
7311077,614.857,194.964,389.164,105.26,2.207,88.528
7311130,614.857,194.964,389.164,105.26,2.207,88.528
7311183,614.857,194.964,389.164,105.26,2.207,88.528
7311236,614.857,194.964,389.164,105.26,2.207,88.528
7311289,614.857,194.964,389.164,105.26,2.207,88.528
7311342,614.857,194.964,389.164,105.26,2.207,88.528
7311395,614.857,194.964,389.164,105.26,2.207,88.528
7311448,614.857,194.964,389.164,105.26,2.207,88.528
7311502,614.857,194.964,389.164,105.26,2.207,88.528
7311554,614.857,194.964,389.164,105.26,2.207,88.528
7311609,614.571,194.841,388.95,105.393,2.274,88.531
7311663,614.245,194.677,388.702,105.545,2.355,88.537
7311715,614.005,194.566,388.524,105.656,2.414,88.542
7311769,614.009,194.579,388.544,105.653,2.413,88.542
7311822,614.018,194.614,388.562,105.646,2.408,88.544
7311876,614.014,194.646,388.568,105.643,2.406,88.547
7311929,614.004,194.679,388.57,105.644,2.405,88.549
7311982,614,194.691,388.57,105.644,2.405,88.55
7312035,613.998,194.702,388.574,105.644,2.404,88.551
7312088,613.995,194.717,388.582,105.644,2.401,88.551
7312142,613.989,194.727,388.595,105.644,2.398,88.551
7312195,613.933,194.779,388.713,105.644,2.375,88.549
7312248,613.759,195.133,389,105.719,2.176,88.498
7312301,613.643,195.664,389.47,105.818,1.886,88.422
7312354,613.594,196.907,390.978,105.98,1.232,88.254
7312408,613.59,197.895,392.278,106.096,0.714,88.123
7312461,613.6,199.37,394.282,106.269,-0.058,87.928
7312514,613.466,200.865,395.949,106.505,-0.853,87.721
7312567,613.373,201.723,396.875,106.649,-1.31,87.6
7312620,613.301,202.404,397.618,106.763,-1.674,87.504
7312673,613.289,202.515,397.742,106.782,-1.733,87.488
7312726,613.288,202.514,397.744,106.782,-1.733,87.488
7312780,613.276,202.498,397.791,106.775,-1.731,87.49
7312833,613.062,202.387,398.448,106.723,-1.758,87.492
7312886,612.651,202.18,399.701,106.625,-1.813,87.495
7312939,611.521,201.611,403.056,106.367,-1.957,87.503
7312993,610.114,200.902,406.554,106.164,-2.07,87.51
7313046,608.88,200.28,408.667,106.162,-2.071,87.509
7313099,607.221,199.439,411.079,106.235,-2.029,87.506
7313153,606.281,198.964,412.482,106.267,-2.01,87.504
7313207,605.918,198.779,413.501,106.188,-2.054,87.507
7313260,605.357,198.492,415.093,106.061,-2.123,87.512
7313314,604.673,198.127,417.117,105.887,-2.214,87.519
7313367,604.03,197.786,418.917,105.739,-2.288,87.526
7313420,602.91,197.222,421.997,105.494,-2.425,87.536
7313473,601.717,196.62,425.23,105.235,-2.568,87.548
