Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
37581610,148,348,790,90,0,90
37581663,148,348,790,90,0,90
37581716,148,348,790,90,0,90
37581769,148,348,790,90,0,90
37581822,148,348,790,90,0,90
37581875,148,348,790,90,0,90
37581928,148,348,790,90,0,90
37581981,148,348,790,90,0,90
37582035,148,348,790,90,0,90
37582088,148,348,790,90,0,90
37582142,148,348,790,90,0,90
37582195,148,348,790,90,0,90
37582248,148,348,790,90,0,90
37582301,148,348,790,90,0,90
37582355,148,348,790,90,0,90
37582408,148,348,790,90,0,90
37582462,148,348,790,90,0,90
37582515,148,348,790,90,0,90
37582568,148.017,348.014,789.964,90.002,0.005,90
37582621,148.018,348.013,789.965,90.001,0.005,90
37582674,148.018,348.013,789.965,90.001,0.005,90
37582728,148.019,348.014,789.966,90,0.005,90
37582782,148.02,348.014,789.967,90,0.004,90
37582835,148.021,348.015,789.968,89.999,0.004,90
37582890,148.022,348.015,789.969,89.999,0.004,90
37582943,148.023,348.015,789.97,89.998,0.004,89.999
37582996,148.024,348.016,789.972,89.997,0.003,89.999
37583050,148.05,348.046,790.017,89.982,-0.015,89.999
37583104,148.225,348.255,790.331,89.877,-0.138,90
37583157,148.399,348.46,790.641,89.774,-0.26,90
37583211,148.757,348.885,791.288,89.56,-0.515,90.002
37583264,149.177,349.385,792.06,89.305,-0.815,90.006
37583318,149.436,349.694,792.541,89.147,-1.002,90.009
37583371,149.671,349.974,792.981,89.004,-1.173,90.013
37583424,149.694,350.001,793.024,88.989,-1.189,90.013
37583478,149.698,350,793.023,88.989,-1.189,90.012
37583531,149.887,349.906,793.008,88.994,-1.183,89.98
37583584,151.117,349.377,793.008,88.994,-1.183,89.778
37583637,152.387,348.825,793.008,88.994,-1.183,89.57
37583690,154.687,347.811,793.008,88.994,-1.183,89.192
37583743,157.174,346.694,793.008,88.994,-1.183,88.781
37583796,158.752,345.974,793.008,88.994,-1.183,88.52
37583849,161.142,344.868,793.008,88.994,-1.183,88.124
37583902,163.666,343.679,793.01,88.993,-1.184,87.704
37583955,165.415,342.842,793.012,88.993,-1.185,87.412
37584008,168.224,341.474,793.013,88.992,-1.185,86.942
37584061,171.144,340.024,793.018,88.99,-1.187,86.452
37584114,173.09,339.038,793.018,88.99,-1.187,86.123
37584167,176.004,337.534,793.018,88.99,-1.187,85.63
37584221,178.006,336.483,793.018,88.99,-1.187,85.29
37584274,181.08,334.839,793.019,88.99,-1.187,84.765
37584327,184.291,333.09,793.019,88.989,-1.187,84.215
37584380,186.483,331.868,793.019,88.989,-1.188,83.837
37584433,189.882,329.935,793.019,88.989,-1.188,83.249
37584486,193.346,327.919,793.021,88.988,-1.188,82.646
37584539,195.661,326.573,793.007,88.989,-1.187,82.244
37584592,199.221,324.507,792.963,88.993,-1.182,81.628
37584645,202.821,322.28,792.97,88.991,-1.185,80.991
37584698,205.398,320.66,792.97,88.989,-1.187,80.534
37584752,208.76,318.505,792.969,88.988,-1.189,79.934
37584805,211.978,316.418,792.968,88.984,-1.193,79.359
37584858,214.102,315.079,792.93,88.987,-1.19,78.985
37584911,217.542,313.247,792.667,89.012,-1.159,78.422
37584964,221.615,312.109,791.813,89.098,-1.057,77.887
37585017,225.329,311.631,790.726,89.207,-0.928,77.472
37585070,231.442,311.617,788.5,89.429,-0.664,76.896
37585123,235.747,311.721,786.833,89.593,-0.468,76.513
37585176,241.891,311.598,784.539,89.817,-0.202,75.945
37585229,247.775,311.268,782.505,89.994,0.009,75.388
37585282,251.36,310.86,781.773,89.985,-0,75.029
37585335,256.997,310.27,781.558,89.727,-0.305,74.483
37585388,262.47,309.52,782.747,89.137,-1.003,73.948
37585441,265.486,308.689,783.865,88.729,-1.486,73.611
37585495,269.549,307.038,785.224,88.253,-2.048,73.101
37585548,273.109,304.712,785.693,88.076,-2.258,72.543
37585601,275.688,302.906,785.437,88.1,-2.229,72.12
37585654,280.609,300.332,784.489,88.187,-2.125,71.425
37585707,286.151,297.933,783.121,88.313,-1.976,70.711
37585761,290.131,296.448,781.978,88.419,-1.85,70.235
37585813,296.263,294.378,780.054,88.596,-1.64,69.537
37585866,300.338,293.005,778.732,88.716,-1.496,69.082
37585919,306.561,291.037,776.595,88.909,-1.266,68.412
37585972,312.443,288.965,774.612,89.085,-1.056,67.766
37586025,316.311,287.454,773.427,89.175,-0.946,67.33
37586079,322.233,285.1,772.424,89.045,-0.97,66.689
37586132,328.686,282.442,772.264,88.51,-1.148,66.041
37586186,332.873,280.797,772.453,88.024,-1.317,65.654
37586240,338.656,278.424,772.559,87.357,-1.481,65.12
37586293,344.111,276.213,771.816,86.896,-1.392,64.627
37586346,347.634,274.643,770.932,86.675,-1.197,64.298
37586399,353.452,272.11,768.957,86.414,-0.741,63.766
37586452,359.678,269.176,766.968,86.099,-0.277,63.181
37586506,363.962,267.272,765.776,85.879,-0.066,62.786
37586559,370.011,264.605,764.533,85.579,-0.002,62.212
37586612,375.511,261.945,764.076,85.315,-0.248,61.638
37586665,379.088,260.138,764.15,85.08,-0.527,61.257
37586718,384.435,257.738,764.404,84.673,-1.019,60.733
37586771,388.391,255.705,764.383,84.429,-1.309,60.322
37586824,393.827,253.027,763.981,84.164,-1.623,59.778
37586877,398.552,250.787,763.075,84.047,-1.76,59.32
37586930,401.204,249.481,762.31,84.04,-1.768,59.058
37586983,404.793,247.472,761.393,84.015,-1.798,58.68
37587036,408.148,245.191,761.047,83.894,-1.94,58.285
37587089,410.583,243.693,761.094,83.727,-2.137,58.023
37587142,414.199,241.412,761.814,83.333,-2.604,57.639
37587195,417.41,238.847,762.695,82.956,-3.05,57.242
37587248,419.492,236.996,763.13,82.75,-3.291,56.964
37587301,422.485,234.028,763.3,82.573,-3.499,56.525
37587355,425.49,230.698,762.655,82.595,-3.472,56.034
37587407,427.587,228.395,762.051,82.641,-3.417,55.694
37587460,430.894,225.23,761.053,82.693,-3.356,55.216
37587513,433.237,223.292,760.364,82.705,-3.341,54.917
37587567,437.328,220.373,759.17,82.693,-3.355,54.455
37587620,441.568,217.881,757.983,82.633,-3.425,54.046
37587673,444.333,216.497,757.245,82.569,-3.5,53.812
37587726,448.028,214.816,756.371,82.445,-3.644,53.525
37587781,451.671,213.494,755.172,82.373,-3.725,53.28
37587835,453.706,212.64,754.452,82.345,-3.749,53.131
37587889,456.214,211.404,753.52,82.327,-3.759,52.927
37587942,458.121,210.117,752.831,82.319,-3.747,52.733
37587996,458.979,209.216,752.586,82.276,-3.71,52.616
37588050,459.736,207.575,752.487,81.98,-3.442,52.453
37588103,460.284,205.803,752.517,81.443,-2.979,52.311
37588157,460.615,204.576,752.527,81.006,-2.594,52.221
37588211,461.227,203.141,751.907,80.426,-1.972,52.117
37588264,462.436,202.205,749.456,80.119,-1.264,52.035
37588317,463.442,201.908,747.085,80.097,-0.822,51.997
37588371,465.172,201.734,742.743,80.224,-0.17,51.959
37588424,466.936,201.701,738.224,80.412,0.433,51.933
37588477,468.253,201.65,735.857,80.374,0.695,51.913
37588530,470.642,201.668,733.49,80.035,0.746,51.881
37588584,473.503,201.873,732.4,79.417,0.386,51.852
37588637,475.428,202.103,732.174,78.952,0.002,51.839
37588691,477.996,202.603,731.585,78.445,-0.552,51.84
37588745,479.983,203.036,729.87,78.26,-0.773,51.844
37588798,481.078,203.284,727.922,78.315,-0.717,51.844
37588851,482.597,203.537,724.575,78.484,-0.512,51.834
37588904,484.243,203.228,721.252,78.664,-0.293,51.761
37588957,485.739,202.416,718.991,78.755,-0.182,51.638
37589010,487.929,201.421,716.513,78.74,-0.198,51.481
37589063,490.296,200.835,714.097,78.634,-0.326,51.366
37589116,491.883,200.503,712.577,78.537,-0.441,51.297
37589170,494.038,200.311,710.208,78.421,-0.58,51.231
37589223,495.812,200.479,707.863,78.346,-0.669,51.212
37589276,496.888,200.591,705.962,78.365,-0.645,51.201
37589329,498.225,200.786,703.119,78.447,-0.546,51.192
37589382,499.079,200.962,700.725,78.572,-0.395,51.192
37589435,499.465,201.045,699.119,78.699,-0.243,51.191
37589489,500.038,201.202,696.663,78.899,-0.015,51.194
