Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
4846204,321,-390,770,-13,-23,20
4846257,321,-390,770,-13,-23,20
4846310,321,-390,770,-13,-23,20
4846363,321,-390,770,-13,-23,20
4846416,321,-390,770,-13,-23,20
4846469,321,-390,770,-13,-23,20
4846522,321,-390,770,-13,-23,20
4846575,321,-390,770,-13,-23,20
4846629,321,-390,770,-13,-23,20
4846682,321,-390,770,-13,-23,20
4846735,321,-390,770,-13,-23,20
4846788,321,-390,770,-13,-23,20
4846841,321,-390,770,-13,-23,20
4846894,321,-390,770,-13,-23,20
4846947,321,-390,770,-13,-23,20
4847000,321.001,-390.001,769.995,-12.999,-22.997,19.999
4847053,320.965,-389.919,770.036,-13.002,-22.998,20.007
4847106,320.938,-389.897,770.065,-13.005,-23.001,20.008
4847160,320.94,-389.89,770.068,-13.006,-23.001,20.009
4847214,320.946,-389.86,770.085,-13.007,-23.002,20.014
4847267,320.965,-389.813,770.104,-13.009,-23.004,20.02
4847320,321.057,-389.712,770.129,-13.013,-23.003,20.046
4847374,321.283,-389.376,770.297,-13.044,-22.995,20.176
4847427,321.545,-388.543,770.828,-13.124,-22.997,20.44
4847480,321.605,-386.275,772.54,-13.354,-23.041,21.057
4847534,320.985,-383.055,775.264,-13.706,-23.138,21.854
4847587,320.626,-380.727,777.171,-13.957,-23.2,22.441
4847640,319.342,-376.874,780.549,-14.381,-23.347,23.277
4847693,318.155,-372.695,783.982,-14.809,-23.51,24.118
4847746,317.719,-370.025,785.945,-15.051,-23.608,24.625
4847799,317.669,-366.36,788.263,-15.332,-23.738,25.268
4847853,318.019,-363.162,790.024,-15.544,-23.844,25.806
4847906,318.909,-360.653,791.077,-15.674,-23.903,26.251
4847960,320.979,-356.787,792.351,-15.843,-23.954,27.001
4848013,323.843,-352.491,793.486,-16.012,-23.969,27.913
4848066,325.927,-349.315,794.332,-16.142,-23.973,28.607
4848119,329.628,-344.021,795.593,-16.348,-23.956,29.8
4848172,333.5,-338.098,797.043,-16.581,-23.945,31.101
4848225,335.422,-334.174,798.273,-16.761,-23.967,31.913
4848279,338.686,-326.85,800.524,-17.063,-24.058,33.262
4848333,340.512,-322.005,802.073,-17.256,-24.147,34.074
4848387,343.137,-314.458,804.459,-17.535,-24.309,35.261
4848440,345.486,-306.643,806.987,-17.837,-24.494,36.468
4848493,347.203,-301.273,808.601,-18.034,-24.613,37.305
4848547,350.115,-293.065,810.814,-18.3,-24.774,38.59
4848600,353.19,-284.825,812.826,-18.547,-24.923,39.888
4848653,355.547,-279.33,813.929,-18.684,-25.005,40.756
4848706,359.239,-271.182,815.35,-18.862,-25.112,42.043
4848759,363.244,-263.358,816.338,-18.988,-25.188,43.277
4848812,365.963,-258.398,816.803,-19.047,-25.223,44.055
4848865,370.2,-251.069,817.274,-19.107,-25.258,45.198
4848918,374.827,-243.787,817.393,-19.122,-25.267,46.319
4848971,377.777,-239.044,817.446,-19.129,-25.271,47.041
4849024,382.172,-232.002,817.429,-19.127,-25.27,48.103
4849077,386.496,-224.782,817.407,-19.124,-25.268,49.178
4849130,389.319,-219.855,817.405,-19.123,-25.269,49.903
4849183,393.645,-212.007,817.403,-19.122,-25.27,51.047
4849236,396.28,-207.035,817.398,-19.119,-25.273,51.76
4849290,399.91,-200.009,817.369,-19.108,-25.272,52.757
4849343,403.882,-191.919,817.356,-19.094,-25.268,53.899
4849396,406.194,-187.106,817.323,-19.072,-25.258,54.563
4849449,409.896,-179.823,817.178,-18.855,-25.18,55.411
4849502,413.724,-172.638,816.807,-18.376,-25.082,55.887
4849555,416.286,-167.979,816.433,-17.915,-25.007,55.978
4849608,420.173,-161.022,815.706,-17.055,-24.866,55.851
4849662,424.006,-154.009,814.873,-16.027,-24.676,55.463
4849716,426.369,-149.324,814.313,-15.326,-24.548,55.117
4849769,428.588,-141.955,814.331,-14.4,-24.39,54.722
4849822,429.829,-133.368,815.356,-13.603,-24.192,54.735
4849875,430.161,-126.621,816.662,-13.162,-24.034,55.085
4849928,430.033,-115.194,819.41,-12.553,-23.718,56.035
4849981,429.678,-102.568,822.386,-11.957,-23.349,57.268
4850034,429.46,-93.721,824.299,-11.484,-23.04,58.095
4850087,429.325,-80.354,826.708,-10.592,-22.478,59.083
4850140,428.98,-67.827,828.602,-9.502,-21.831,59.524
4850194,428.752,-60.288,829.445,-8.648,-21.328,59.398
4850247,428.647,-50.034,830.092,-7.241,-20.412,58.728
4850300,428.064,-44.509,830.292,-6.313,-19.824,57.765
4850353,427.18,-37.763,830.081,-4.649,-18.523,55.387
4850406,425.757,-32.213,829.805,-3.129,-17.022,52.617
4850459,424.563,-28.982,829.614,-2.21,-15.881,50.586
4850513,422.353,-24.216,829.574,-1.043,-13.988,47.554
4850566,419.65,-19.239,830.057,-0.193,-12.007,44.882
4850619,417.853,-15.345,830.681,0.201,-10.731,43.619
4850673,413.73,-9.095,832.402,0.538,-9.077,41.928
4850727,409.598,-2.416,834.555,0.691,-7.806,41.228
4850781,406.805,2.486,836.166,0.74,-7.191,41.288
4850834,402.664,10.413,838.763,0.792,-6.613,42.19
4850887,398.336,18.518,841.51,0.833,-6.387,43.7
4850940,395.661,23.916,843.088,0.849,-6.295,44.702
4850993,391.552,30.789,845.416,0.861,-6.232,46.058
4851046,387.499,37.475,847.593,0.871,-6.18,47.398
4851099,385.352,40.863,848.759,0.895,-6.048,48.089
4851152,382.758,44.899,850.247,0.968,-5.643,48.917
4851205,379.966,47.005,852.028,1.076,-5.037,49.506
4851258,378.09,47.688,853.293,1.172,-4.502,49.804
4851311,375.697,48.492,855.008,1.362,-3.437,50.179
4851365,373.912,48.814,856.253,1.507,-2.622,50.422
4851418,370.837,49.293,858.289,1.76,-1.19,50.841
4851471,367.568,49.506,860.286,2.005,0.195,51.261
4851524,365.534,49.766,861.446,2.169,1.121,51.548
4851577,362.759,50.481,862.902,2.399,2.424,52
4851630,360.216,51.417,864.115,2.585,3.476,52.463
4851683,358.881,52.413,864.681,2.682,4.023,52.782
4851736,357.373,54.268,865.245,2.779,4.567,53.246
4851789,356.514,56.72,865.456,2.818,4.789,53.705
4851842,356.149,58.59,865.486,2.82,4.799,54.014
4851895,355.669,61.602,865.471,2.82,4.802,54.495
4851949,355.108,64.85,865.461,2.821,4.803,55.017
4852002,354.624,67.275,865.477,2.82,4.799,55.412
4852055,353.703,71.25,865.55,2.818,4.785,56.076
4852108,352.726,76.734,865.418,2.823,4.81,56.945
4852161,351.926,80.715,865.346,2.829,4.822,57.591
4852215,350.445,87.394,865.294,2.858,4.821,58.754
4852268,349.411,92.185,865.214,2.91,4.811,59.676
4852321,347.834,99.058,865.089,2.996,4.793,61.033
4852374,346.518,104.355,864.993,3.061,4.781,62.079
4852427,345.68,107.575,864.93,3.1,4.783,62.709
4852480,344.751,110.582,864.932,3.157,4.782,63.378
4852533,343.92,112.184,865.078,3.248,4.878,63.911
4852586,343.682,113.201,865.008,3.341,5.057,64.241
4852639,343.492,114.475,864.842,3.483,5.374,64.647
4852692,343.526,115.566,864.591,3.599,5.667,64.929
4852746,343.791,116.393,864.271,3.683,5.9,65.085
4852799,343.938,117.06,864.028,3.71,5.931,65.199
4852852,344.048,117.408,863.861,3.745,6.022,65.268
4852905,344.33,118.656,863.427,3.889,6.373,65.561
4852958,345.061,122.788,862.042,4.383,7.468,66.594
4853012,345.87,127.186,860.419,4.926,8.627,67.653
4853065,347.262,135.517,857.078,6.09,10.688,69.845
4853118,348.332,144.837,852.71,7.727,13.236,72.574
4853171,348.096,150.274,850.084,8.885,14.714,74.487
4853224,346.996,157.761,846.22,10.739,16.638,77.482
4853277,345.105,163.942,842.927,12.566,17.947,80.477
4853331,343.533,167.341,841.205,13.688,18.418,82.414
4853384,341.397,171.977,839.055,15.147,18.66,85.067
4853437,339.716,176.934,836.994,16.545,18.31,87.847
4853490,338.843,180.191,835.779,17.337,17.908,89.545
4853543,337.619,185.161,833.909,18.509,17.208,92.092
4853597,336.65,189.76,831.822,19.729,16.53,94.571
4853650,336.093,192.828,830.136,20.631,16.166,96.225
4853703,335.395,197.335,827.024,22.175,15.819,98.681
4853756,334.817,201.958,822.966,24.028,15.772,101.133
4853809,334.488,204.973,819.807,25.412,15.867,102.734
4853862,334.084,209.244,814.441,27.703,16.147,105.076
4853915,333.775,211.883,810.702,29.273,16.345,106.541
4853968,333.198,215.486,805.153,31.487,16.013,108.229
