Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
4116058,554.293,257.052,693.083,94.445,6.109,111.566
4116179,554.293,257.052,693.083,94.445,6.109,111.566
4116299,554.293,257.052,693.083,94.445,6.109,111.566
4116420,554.293,257.052,693.083,94.445,6.109,111.566
4116540,554.301,257.058,693.077,94.444,6.109,111.565
4116660,554.302,257.059,693.079,94.443,6.108,111.565
4116781,554.305,257.061,693.082,94.442,6.108,111.565
4116901,554.308,257.064,693.086,94.439,6.107,111.565
4117022,554.31,257.065,693.088,94.438,6.107,111.565
4117142,554.313,257.067,693.091,94.436,6.107,111.565
4117263,554.313,257.068,693.092,94.436,6.107,111.565
4117383,554.317,257.07,693.096,94.434,6.106,111.564
4117504,554.517,257.216,693.329,94.305,6.073,111.551
4117624,554.906,257.5,693.814,94.044,6.006,111.524
4117744,554.839,257.451,693.943,94.024,6.001,111.522
4117865,554.832,257.446,693.953,94.024,6.001,111.522
4117985,554.832,257.446,693.953,94.024,6.001,111.522
4118106,554.832,257.446,693.953,94.024,6.001,111.522
4118226,554.832,257.447,693.953,94.024,6.001,111.522
4118347,554.832,257.447,693.953,94.024,6.001,111.522
4118467,554.819,257.438,693.973,94.022,6,111.522
4118588,554.702,257.352,694.145,94.004,5.995,111.52
4118708,552.965,256.084,697.071,93.627,5.898,111.481
4118829,550.481,254.272,704.091,92.215,5.531,111.343
4118949,547.526,252.115,710.485,91.109,5.241,111.241
4119070,544.623,249.996,714.394,90.731,5.14,111.207
4119190,541.638,247.818,718.315,90.359,5.042,111.174
4119310,538.096,245.232,722.902,89.921,4.925,111.136
4119431,534.324,242.478,727.717,89.455,4.8,111.096
4119551,530.348,239.576,732.699,88.971,4.671,111.056
4119672,526.819,237,737.093,88.531,4.552,111.021
4119792,523.006,234.217,742.51,87.824,4.362,110.967
4119913,519.541,231.688,750.552,86.171,3.917,110.85
4120033,515.901,229.031,757.799,84.788,3.541,110.762
4120154,511.458,225.788,763.09,84.206,3.381,110.727
4120274,506.073,221.858,769.116,83.59,3.212,110.691
4120395,500.422,217.74,775.368,82.927,3.029,110.656
4120515,496.454,214.844,782.081,81.68,2.685,110.596
4120636,492.603,212.035,791.415,79.52,2.088,110.509
4120756,487.599,208.384,800.749,77.586,1.55,110.451
4120876,481.299,203.786,808.584,76.388,1.216,110.423
4120997,474.32,198.69,815.747,75.509,0.969,110.406
4121117,467.928,194.025,822.202,74.69,0.739,110.394
4121238,462.982,190.414,827.696,73.857,0.505,110.386
4121358,458.451,187.106,832.904,73.008,0.267,110.381
4121479,453.58,183.551,838.393,72.107,0.015,110.379
4121599,447.991,179.472,845.483,70.766,-0.361,110.384
4121720,441.433,174.686,854.108,69.035,-0.845,110.405
4121840,433.511,168.904,862.096,67.714,-1.215,110.429
4121961,424.898,162.615,868.888,66.864,-1.453,110.449
4122081,417.135,156.316,875.045,66.012,-1.403,110.351
4122201,412.256,149.769,879.859,65.057,-0.311,109.785
4122322,409.585,143.15,883.727,64.02,1.522,108.843
4122442,406.024,136.178,888.127,62.925,3.195,107.905
4122563,401.363,129.983,892.815,61.905,4.153,107.253
4122683,393.615,123.069,900.412,60.303,4.187,106.861
4122803,382.265,114.349,909.924,58.463,3.745,106.633
4122924,370.482,105.444,917.6,57.222,3.442,106.481
4123044,360.219,95.583,924.39,55.951,3.907,105.835
4123165,355.149,85.827,928.774,54.897,4.893,104.542
4123285,351.484,75.472,932.309,54.013,5.732,103.036
4123405,345.889,63.443,936.455,53.119,6.162,101.531
4123526,338.732,51.803,940.592,52.383,6.013,100.368
4123646,332.847,40.352,943.765,51.845,5.783,99.104
4123767,324.981,26.133,947.677,51.152,5.493,97.479
4123887,318.258,13.032,950.761,50.587,5.257,95.824
4124007,314.315,1.466,952.444,50.274,5.125,94.098
4124128,309.701,-9.784,954.209,49.937,4.984,92.407
4124248,304.02,-19.951,956.224,49.546,4.82,90.928
4124369,296.696,-29.622,958.702,49.052,4.619,89.594
4124489,289.033,-39.286,961.109,48.558,4.417,88.202
4124610,280.889,-50.247,963.662,47.927,4.509,86.352
4124730,275.453,-61.08,965.669,47.189,5.351,83.957
4124850,273.544,-70.653,966.761,46.518,6.687,81.368
4124971,272.151,-79.101,967.613,45.927,7.907,79.003
4125091,268.561,-87.183,969.144,45.196,8.983,76.814
4125212,258.709,-95.788,972.636,44.057,9.577,74.813
4125332,246.384,-103.583,978.359,42.238,9.365,73.048
4125452,235.804,-110.973,984.11,40.289,9.035,71.148
4125573,228.463,-119.315,987.054,39.113,9.585,68.656
4125693,223.756,-128.878,988.156,38.445,10.583,65.615
4125814,218.915,-137.988,988.801,38.026,11.224,62.845
4125934,214.486,-144.853,988.87,37.982,11.287,60.989
4126055,210.433,-150.678,988.868,37.984,11.285,59.419
4126175,205.789,-156.963,988.867,37.984,11.285,57.689
4126296,200.912,-163.226,988.854,37.987,11.288,55.925
4126416,196.16,-169.324,988.767,38.008,11.302,54.171
4126536,191.361,-174.997,988.71,38.021,11.311,52.499
4126657,186.659,-180.082,988.692,38.026,11.314,50.96
4126777,182.766,-184.406,988.609,38.046,11.327,49.633
4126898,178.682,-188.365,988.609,38.046,11.327,48.378
4127018,174.304,-192.424,988.609,38.046,11.327,47.06
4127139,169.435,-196.725,988.609,38.046,11.327,45.626
4127259,163.977,-201.299,988.608,38.046,11.327,44.054
4127380,158.68,-205.501,988.609,38.045,11.326,42.562
4127500,153.454,-209.492,988.594,38.049,11.329,41.103
4127620,149.522,-213.39,988.314,38.116,11.372,39.756
4127741,148.176,-218.252,987.283,38.36,11.533,38.394
4127861,146.061,-223.466,986.261,38.597,11.69,36.903
4127982,141.93,-227.871,985.772,38.709,11.762,35.428
4128102,136.946,-231.611,985.554,38.764,11.781,34.023
4128223,133.983,-236.263,984.697,38.962,11.901,32.62
4128343,131.269,-240.895,983.773,39.169,12.036,31.265
4128463,127.681,-245.005,983.114,39.315,12.132,29.937
4128584,124.134,-249.119,982.416,39.467,12.231,28.62
4128704,120.407,-252.765,981.775,39.628,12.274,27.417
4128825,115.948,-255.467,981.26,39.842,12.095,26.432
4128945,110.45,-258.399,980.695,40.047,11.979,25.227
4129066,110.718,-264.876,976.776,41.062,12.119,24.305
4129186,111.108,-272.978,971.216,42.434,12.493,23.217
4129307,108.675,-279.662,967.845,43.125,12.317,21.565
4129427,102.46,-282.93,967.4,42.957,10.659,18.695
4129547,98.492,-285.701,966.674,42.842,8.22,15.632
4129668,95.038,-288.391,965.716,42.917,5.458,12.534
4129788,90.512,-291.334,964.992,42.973,3.131,9.371
4129909,86.106,-294.547,964.262,43.056,1.65,6.779
4130029,82.603,-298.112,963.309,43.194,1.003,4.964
4130150,79.793,-302.091,962.082,43.391,0.991,3.758
4130270,76.94,-306.022,960.85,43.588,1.153,2.739
4130391,74.074,-309.548,959.577,43.882,1.179,1.871
4130511,71.586,-312.284,957.688,44.746,0.512,1.532
4130632,69.052,-314.476,955.363,46.052,-0.745,1.522
4130752,65.139,-315.57,953.91,47.068,-1.9,1.319
4130872,60.556,-316.32,953.282,47.568,-2.5,0.773
4130993,53.777,-316.38,952.952,47.809,-2.527,-0.262
4131114,46.294,-316.576,949.728,48.917,-1.749,-1.524
4131234,42,-319.727,943.173,51.003,-0.744,-2.503
4131354,40.016,-326.176,935.329,53.398,-0.035,-3.33
4131475,38.371,-333.702,928.382,55.451,0.013,-4.495
4131596,35.361,-340.013,924.512,56.604,-1.765,-7.702
4131716,30.754,-344.737,922.308,57.334,-4.387,-12.786
4131836,26.026,-347.351,921.294,57.798,-6.487,-17.3
4131957,21.991,-347.94,921.148,58.174,-8.201,-20.79
4132077,18.956,-348.034,920.748,58.63,-9.457,-23.569
4132198,16.594,-347.789,919.042,59.439,-10.185,-26.16
4132318,14.62,-347.364,916.667,60.475,-10.818,-29.045
4132439,13.372,-346.942,914.631,61.385,-11.363,-31.581
4132559,11.63,-346.438,912.229,62.266,-11.463,-33.727
4132679,10.004,-345.685,909.159,63.245,-11.225,-35.781
4132800,8.704,-345.445,905.486,64.311,-10.885,-38.076
4132920,9.266,-350.765,899.624,65.466,-10.273,-40.66
4133041,10.236,-359.887,892.129,66.606,-9.375,-43.407
4133161,10.109,-367.991,887.159,67.321,-9.274,-46.153
4133282,8.594,-372.142,885.03,67.781,-9.735,-48.621
4133402,6.852,-374.159,883.686,68.589,-10.469,-51.108
4133522,6.569,-377.48,880.997,70.252,-11.122,-53.363
4133643,6.767,-381.588,877.518,72.468,-11.64,-55.492
4133763,6.792,-386.864,873.374,74.728,-11.804,-57.139
4133884,5.581,-393.903,868.641,76.28,-11.474,-58.137
4134005,2.623,-401.603,863.85,77.13,-10.932,-59.129
4134125,-1.198,-407.887,858.758,77.478,-9.913,-60.036
4134245,-4.19,-412.211,852.073,77.873,-8.023,-60.713
4134366,-5.968,-415.932,844.888,78.316,-5.876,-61.178
4134486,-6.42,-420.363,840.623,78.514,-4.924,-61.446
4134606,-5.793,-422.862,839.072,78.56,-4.708,-61.468
4134727,-5.289,-424.527,838.024,78.594,-4.564,-61.472
4134847,-4.781,-426.162,836.981,78.633,-4.421,-61.474
4134968,-4.202,-428.078,835.745,78.68,-4.254,-61.48
4135088,-2,-435.474,830.955,78.815,-3.596,-61.494
4135208,-0.419,-440.886,827.388,78.898,-3.111,-61.505
4135329,0.738,-444.797,824.785,78.968,-2.77,-61.511
4135449,2.299,-449.671,821.464,79.072,-2.339,-61.507
4135570,4.319,-456.458,816.752,79.197,-1.729,-61.516
4135690,6.546,-462.949,812.051,79.464,-1.168,-61.514
4135811,8.949,-467.905,808.182,80.064,-0.818,-61.496
4135931,11.011,-474.092,803.541,80.287,-0.27,-61.495
4136052,12.045,-478.023,800.585,80.362,0.032,-61.864
4136172,11.606,-481.215,798.817,80.383,-0.396,-64.947
4136292,9.799,-485.248,799.449,80.38,-2.13,-69.924
4136413,6.022,-489.978,798.454,80.546,-3.287,-74.466
4136533,1.962,-494.92,794.613,80.62,-3.066,-76.576
4136654,-2.573,-501.086,789.68,80.612,-2.474,-77.301
4136774,-7.661,-506.815,784.751,80.968,-1.889,-78.103
4136895,-13.909,-512.565,779.165,82.088,-1.228,-79.183
4137015,-20.437,-517.117,773.947,83.764,-0.558,-80.35
4137136,-28.245,-522.093,768.929,84.641,0.049,-81.142
4137256,-35.7,-524.4,766.525,84.652,0.48,-80.304
4137376,-40.896,-524.119,765.41,84.603,1.135,-77.956
4137497,-44.89,-521.264,762.488,84.94,2.914,-75.337
4137617,-45.802,-519.96,760.982,85.403,3.71,-74.239
4137738,-46.175,-519.989,761.055,85.444,3.66,-74.292
4137858,-46.09,-520.546,761.637,85.394,3.347,-74.303
4137979,-46.071,-520.678,761.807,85.382,3.264,-74.304
4138099,-45.945,-521.259,762.453,85.338,2.926,-74.301
4138220,-45.761,-522.54,763.856,85.238,2.188,-74.304
4138340,-45.483,-524.457,766.012,85.089,1.066,-74.306
4138460,-45.185,-526.482,768.497,84.925,-0.186,-74.304
4138581,-45.112,-526.991,769.307,84.874,-0.562,-74.303
4138701,-45.158,-526.682,769.403,84.877,-0.534,-74.303
4138822,-45.365,-525.237,769.913,84.892,-0.422,-74.304
4138942,-45.367,-525.225,769.834,84.896,-0.392,-74.304
4139062,-45.357,-525.298,769.771,84.897,-0.386,-74.304
4139183,-45.315,-525.589,769.522,84.901,-0.358,-74.304
4139303,-45.306,-525.653,769.467,84.901,-0.352,-74.304
4139424,-45.306,-525.653,769.467,84.901,-0.352,-74.304
4139544,-45.306,-525.653,769.467,84.901,-0.352,-74.304
4139664,-45.306,-525.653,769.467,84.901,-0.352,-74.304
4139785,-45.263,-525.68,769.448,84.901,-0.35,-74.299
4139905,-45.129,-525.692,769.447,84.901,-0.35,-74.285
4140026,-45.17,-525.696,769.436,84.897,-0.352,-74.342
4140146,-45.085,-525.631,769.494,84.905,-0.468,-75.552
4140267,-45.076,-525.624,769.491,84.938,-0.743,-78.65
4140387,-45.012,-525.502,769.601,84.999,-1.085,-82.379
4140508,-44.774,-525.293,769.444,85.06,-1.298,-85.356
4140628,-43.752,-518.728,770.625,85.085,-1.224,-87.208
4140748,-44.54,-505.17,770.73,85.005,-0.417,-87.393
4140869,-42.424,-498.443,761.678,84.716,1.451,-87.009
4140989,-40.85,-507.105,743.655,83.542,3.463,-86.797
4141110,-40.997,-514.477,738.891,82.608,2.356,-86.725
4141230,-40.409,-520.773,740.604,82.608,0.05,-86.715
4141351,-39.946,-523.462,738.663,82.65,-0.246,-86.713
4141471,-39.44,-526.544,730.637,82.533,0.877,-86.714
4141592,-38.764,-530.704,718.917,82.362,2.507,-86.719
4141712,-38.222,-534.047,707.234,82.198,4.064,-86.728
4141832,-38.249,-533.976,701.854,82.183,4.1,-86.725
4141953,-38.731,-530.864,701.383,82.304,2.902,-86.71
4142073,-39.625,-525.316,700.735,82.421,1.739,-86.699
4142194,-40.719,-518.419,697.058,82.461,1.329,-86.69
4142314,-41.264,-515.097,688.363,82.438,1.489,-86.686
4142435,-41.269,-516.601,676.83,82.298,1.339,-86.677
4142555,-42.129,-520.035,667.248,81.55,0.339,-86.655
4142676,-43.53,-523.397,659.121,80.518,-0.992,-86.628
4142796,-44.597,-524.838,650.274,79.784,-1.495,-86.803
4142917,-44.48,-523.793,641.671,79.735,-1.408,-88.828
4143037,-40.707,-524.19,636.378,79.951,-2.575,-92.079
4143157,-34.408,-528.085,635.22,80.777,-5.525,-95.552
4143278,-27.786,-534.088,632.962,81.581,-8.477,-98.587
4143398,-22.769,-537.509,625.194,81.041,-9.474,-100.4
4143519,-21.103,-537.189,615.934,79.111,-9.207,-100.605
4143639,-20.424,-536.164,608.247,76.663,-9.109,-99.865
4143760,-19.457,-536.209,599.991,74.183,-8.934,-99.08
4143880,-17.873,-536.632,590.259,72.585,-8.273,-98.499
4144001,-17.196,-537.363,582.838,71.767,-7.906,-98.227
4144121,-15.779,-539.726,582.77,72.148,-9.043,-98.177
4144242,-13.449,-542.227,586.097,72.784,-10.593,-98.099
4144362,-10.446,-542.727,586.658,72.894,-10.86,-97.813
4144482,-7.634,-542.785,586.627,72.893,-10.856,-97.516
4144603,-5.484,-542.818,586.616,72.892,-10.855,-97.29
