Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
3934463,581.237,18.943,713.499,95.533,1.899,106.175
3934583,581.237,18.943,713.499,95.533,1.899,106.175
3934704,580.977,18.86,713.297,95.663,1.892,106.185
3934824,580.793,18.816,713.132,95.761,1.887,106.188
3934945,580.783,18.812,713.184,95.749,1.889,106.188
3935065,580.734,18.738,713.293,95.733,1.89,106.182
3935186,579.015,18.218,715.158,95.543,1.901,106.164
3935306,571.606,16.47,723.04,94.712,1.944,106.136
3935427,561.075,13.996,734.749,93.261,2.018,106.087
3935547,554.189,12.319,741.634,92.505,2.056,106.054
3935668,552.019,10.877,743.794,92.289,2.234,105.987
3935788,547.014,7.013,749.052,91.773,3.235,105.889
3935908,541.584,4.374,756.2,90.658,4.126,105.84
3936029,536.844,3.193,763.961,89.02,4.253,105.723
3936149,533.768,2.495,769.261,87.844,4.298,105.637
3936270,529.086,1.407,775.729,86.579,4.357,105.543
3936390,524.043,0.235,782.721,85.178,4.419,105.437
3936511,517.537,-1.28,789.587,84.073,4.468,105.352
3936631,511.256,-2.747,795.675,83.156,4.511,105.281
3936752,504.753,-4.274,801.424,82.362,4.552,105.217
3936872,499.439,-6.065,805.928,81.801,4.893,105.125
3936993,495.898,-8.785,809.127,81.479,5.993,104.93
3937113,492.5,-12.582,812.503,81.168,7.729,104.621
3937233,487.846,-15.545,816.519,80.739,8.823,104.381
3937354,482.268,-17.059,820.689,80.23,8.96,104.28
3937474,474.942,-18.76,825.97,79.567,8.975,104.177
3937595,468.566,-20.24,830.461,78.994,8.985,104.087
3937715,463.248,-21.474,834.141,78.517,8.994,104.013
3937836,458.629,-22.546,837.629,77.979,9.003,103.929
3937956,456.174,-23.252,841.969,76.785,9.099,103.725
3938076,454.564,-24.824,847.22,75.209,9.794,103.296
3938197,452.248,-27.361,852.153,73.919,10.926,102.748
3938317,448.467,-30.074,856.548,73.022,11.952,102.259
3938438,442.648,-33.142,861.589,72.157,12.905,101.767
3938558,435.487,-35.91,867.345,71.128,13.501,101.324
3938679,428.609,-38.092,872.67,70.133,13.799,100.973
3938799,421.979,-40.081,877.164,69.372,14.022,100.697
3938920,416.681,-41.596,880.296,68.912,14.162,100.524
3939040,411.645,-43.018,883.215,68.477,14.284,100.362
3939160,404.924,-45.247,887.135,67.884,14.626,100.066
3939281,397.693,-47.766,891.311,67.239,15.056,99.709
3939401,390.404,-50.471,895.493,66.577,15.577,99.296
3939522,382.466,-53.478,900.519,65.729,16.162,98.783
3939642,374.551,-56.097,908.007,64.299,16.482,98.183
3939763,366.489,-58.228,916.442,62.595,16.477,97.629
3939883,359.328,-60.141,924.411,60.906,16.45,97.079
3940003,354.009,-62.086,930.543,59.555,16.684,96.483
3940124,349.841,-64.449,934.997,58.568,17.304,95.765
3940244,345.304,-67.642,937.616,58.276,18.39,95.006
3940365,341.325,-70.488,936.667,59.299,19.549,94.739
3940485,337.299,-73.242,934.148,60.933,20.574,94.792
3940606,331.486,-77.98,934.907,61.349,21.149,94.216
3940726,326.518,-82.24,937.895,60.635,21.111,93.362
3940847,320.709,-87.184,941.472,59.744,21.182,92.298
3940967,316.241,-92.616,944.323,59.018,21.788,91.009
3941088,312.639,-98.96,946.796,58.368,22.95,89.38
3941208,307.387,-105.882,950.204,57.447,24.082,87.53
3941329,303.113,-110.108,952.435,56.839,24.301,86.494
3941449,300.126,-112.956,953.724,56.487,24.229,85.867
3941569,298.142,-115.918,954.293,56.33,24.197,85.259
3941690,295.834,-120.044,954.756,56.198,24.171,84.427
3941810,292.597,-124.946,955.663,55.926,24.115,83.389
3941931,288.791,-129.788,958.168,55.013,23.928,82.097
3942051,284.847,-134.419,961.919,53.572,23.62,80.621
3942172,280.7,-139.377,963.894,52.882,23.467,79.365
3942292,276.764,-144.295,964.734,52.646,23.414,78.275
3942413,273.701,-149.126,965.016,52.567,23.396,77.241
3942533,271.118,-153.805,965.005,52.57,23.396,76.258
3942654,267.833,-159.457,965.006,52.57,23.397,75.056
3942774,264.346,-165.173,965.006,52.57,23.397,73.825
3942894,260.751,-170.787,965.007,52.57,23.397,72.6
3943015,257.262,-175.999,965.009,52.569,23.396,71.447
3943135,254.046,-180.574,965.025,52.563,23.395,70.419
3943256,251.103,-184.551,965.113,52.53,23.388,69.502
3943376,248.31,-188.345,966.429,51.963,23.259,68.408
3943497,244.951,-192.302,969.518,50.659,22.956,66.968
3943617,241.434,-196.623,972.326,49.462,22.672,65.481
3943738,237.814,-200.982,973.113,49.127,22.602,64.306
3943858,234.364,-204.992,973.111,49.128,22.603,63.332
3943979,230.633,-208.95,973.171,49.114,22.6,62.343
3944099,224.821,-212.234,973.953,48.94,22.556,61.319
3944219,215.785,-213.841,975.987,48.481,22.438,60.341
3944340,207.653,-215.291,977.718,48.082,22.335,59.429
3944460,203.428,-218.595,977.901,48.041,22.335,58.444
3944581,200.286,-224.307,977.304,48.158,22.565,56.991
3944701,197.196,-232.009,976.292,48.342,23.051,55.07
3944822,192.329,-239.884,975.468,48.492,23.417,53.034
3944942,186.638,-247.012,974.691,48.663,23.5,51.207
3945063,181.492,-253.139,973.965,48.826,23.54,49.636
3945183,175.73,-258.105,973.668,48.892,23.557,48.189
3945304,169.789,-262.153,973.632,48.9,23.56,46.865
3945424,164.175,-265.551,973.682,48.889,23.557,45.67
3945545,158.303,-269.016,973.705,48.884,23.555,44.424
3945665,151.27,-273.015,973.712,48.883,23.556,42.94
3945785,142.923,-277.496,973.702,48.886,23.556,41.2
3945906,134.463,-281.797,973.661,48.896,23.559,39.452
3946026,126.947,-285.341,973.615,48.909,23.56,37.926
3946147,119.745,-288.438,973.61,48.911,23.561,36.488
3946267,112.287,-291.422,973.596,48.917,23.562,35.017
3946388,104.219,-294.404,973.594,48.918,23.563,33.439
3946508,95.881,-297.331,973.552,48.928,23.565,31.812
3946629,88.094,-300.007,973.444,48.953,23.572,30.285
3946749,80.984,-302.121,973.399,48.963,23.574,28.918
3946870,74.457,-303.798,973.398,48.963,23.574,27.683
3946990,67.854,-305.344,973.397,48.963,23.574,26.441
3947110,61.622,-306.674,973.391,48.965,23.574,25.273
3947231,55.641,-307.816,973.39,48.965,23.574,24.158
3947351,49.745,-308.823,973.388,48.966,23.575,23.063
3947472,43.609,-309.749,973.385,48.967,23.575,21.926
3947592,37.264,-310.577,973.383,48.968,23.575,20.755
3947713,30.984,-311.266,973.379,48.97,23.575,19.598
3947833,24.847,-311.739,973.359,48.985,23.579,18.485
3947953,18.587,-311.338,972.171,49.564,23.73,17.665
3948074,10.648,-309.235,970.117,50.648,24.004,16.926
3948194,2.658,-307.964,967.113,52.06,24.349,16.184
3948315,-5.085,-307.946,965.096,52.933,24.555,15.103
3948435,-13.958,-307.691,964.598,53.147,24.605,13.539
3948556,-23.967,-307.077,964.603,53.145,24.604,11.672
3948676,-33.599,-306.425,964.506,53.167,24.61,9.859
3948797,-41.937,-305.395,964.506,53.167,24.61,8.298
3948917,-49.545,-304.158,964.542,53.159,24.608,6.872
3949038,-56.007,-302.751,964.65,53.134,24.602,5.663
3949158,-63.075,-301.358,964.651,53.134,24.602,4.322
3949279,-70.833,-299.629,964.651,53.134,24.602,2.843
