Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
3826267,130.982,211.665,876.345,89.236,-4.673,116.576
3826388,130.982,211.665,876.345,89.236,-4.673,116.576
3826508,130.982,211.665,876.345,89.236,-4.673,116.576
3826629,130.982,211.665,876.345,89.236,-4.673,116.576
3826749,130.982,211.665,876.345,89.236,-4.673,116.576
3826869,130.982,211.665,876.345,89.236,-4.673,116.576
3826990,130.982,211.665,876.345,89.236,-4.673,116.576
3827110,130.982,211.665,876.345,89.236,-4.673,116.576
3827231,130.982,211.665,876.345,89.236,-4.673,116.576
3827351,130.984,211.662,876.355,89.233,-4.676,116.576
3827472,130.983,211.633,876.398,89.223,-4.691,116.576
3827592,130.727,209.191,877.167,89.116,-4.857,116.584
3827713,130.269,204.852,878.518,88.925,-5.155,116.601
3827833,129.666,199.125,880.246,88.674,-5.544,116.625
3827953,129.13,194.043,881.738,88.452,-5.888,116.647
3828074,129.041,193.194,881.981,88.416,-5.944,116.65
3828194,129.074,193.51,881.889,88.43,-5.922,116.649
3828315,129.074,193.512,881.891,88.429,-5.923,116.649
3828435,129.113,193.41,881.924,88.423,-5.933,116.636
3828556,129.257,193.241,881.943,88.42,-5.937,116.591
3828676,131.089,191.605,882.048,88.404,-5.961,116.035
3828797,134.69,186.46,882.736,88.3,-6.124,114.864
3828917,138.438,179.687,884.192,88.009,-6.524,113.8
3829038,142.362,176.659,885.968,87.291,-7.082,114.879
3829158,146.223,173.744,886.042,86.837,-6.937,117.146
3829278,150.631,169.916,886.016,86.507,-6.765,118.499
3829399,155.528,165.436,886.009,86.321,-6.662,118.443
3829519,160.08,160.822,886.055,86.206,-6.612,117.748
3829640,163.609,154.632,886.616,85.962,-6.651,117.393
3829760,164.453,144.542,888.513,85.389,-6.934,117.667
3829881,164.824,135.737,890.081,84.854,-7.127,118.194
3830001,165.325,129.043,890.05,84.887,-6.964,117.988
3830122,165.782,124.307,889.485,85.147,-6.742,117.266
3830242,166.187,121.042,889.95,85.031,-6.841,116.759
3830362,166.354,118.284,890.406,84.915,-6.94,116.377
3830483,166.357,117.894,890.481,84.896,-6.956,116.329
3830603,166.357,117.894,890.481,84.896,-6.956,116.329
3830724,166.357,117.894,890.481,84.896,-6.956,116.329
3830844,166.357,117.894,890.481,84.896,-6.956,116.329
3830964,166.357,117.894,890.481,84.896,-6.956,116.329
3831085,166.357,117.894,890.481,84.896,-6.956,116.329
3831205,167.208,116.513,890.564,84.756,-6.842,115.981
3831326,170.537,108.269,891.31,83.892,-6.253,114.369
3831446,175.328,100.01,893.13,82.662,-6.033,112.229
3831567,179.735,94.31,895.424,81.782,-6.61,110.58
3831687,183.042,88.173,895.367,81.661,-6.43,111.169
3831808,188.368,85.38,893.726,81.953,-5.828,113.184
3831928,195.009,80.542,892.266,81.945,-4.905,115.222
3832049,202.104,74.17,892.515,81.346,-4.366,116.615
3832169,208.632,65.696,895.625,79.691,-4.306,117.139
3832290,215.127,58.294,898.848,77.971,-4.106,117.746
3832410,221.812,50.978,898.95,77.407,-2.887,118.673
3832531,228.937,44.487,897.75,77.398,-1.176,119.648
3832651,234.592,38.985,898.19,76.933,-0.267,120.054
3832771,236.414,30.878,899.423,76.388,-0.001,119.356
3832892,237.301,22.809,899.493,76.362,0.148,118.109
3833012,237.797,15.109,899.489,76.376,0.139,116.797
