Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
17117041,148,348,790,90,0,90
17117095,148,348,790,90,0,90
17117148,148,348,790,90,0,90
17117201,148,348,790,90,0,90
17117254,148,348,790,90,0,90
17117309,148,348,790,90,0,90
17117362,148,348,790,90,0,90
17117416,148,348,790,90,0,90
17117469,148,348,790,90,0,90
17117522,148,348,790,90,0,90
17117575,148,348,790,90,0,90
17117629,148,348,790,90,0,90
17117682,148,348,790,90,0,90
17117735,148,348,790,90,0,90
17117789,148,348,790,90,0,90
17117843,148,348,790,90,0,90
17117896,147.947,347.871,790.054,89.976,0.011,89.998
17117949,147.856,347.771,790.127,89.97,0.003,89.999
17118003,147.777,347.693,790.188,89.964,-0.004,90
17118056,147.7,347.612,790.251,89.957,-0.012,90.002
17118110,147.672,347.584,790.273,89.955,-0.015,90.002
17118163,147.663,347.584,790.273,89.956,-0.015,90.003
17118216,147.593,347.548,790.306,89.953,-0.018,90.008
17118270,147.214,347.141,790.617,89.922,-0.055,90.012
17118323,146.508,346.301,791.245,89.858,-0.132,90.013
17118376,144.955,344.453,792.622,89.716,-0.3,90.013
17118430,142.634,341.689,794.66,89.504,-0.552,90.015
17118483,140.697,339.382,796.34,89.328,-0.761,90.016
17118536,137.72,335.836,798.884,89.059,-1.082,90.021
17118589,135.017,332.617,801.153,88.816,-1.371,90.026
17118642,133.621,330.957,802.307,88.692,-1.52,90.029
17118695,131.903,328.946,803.648,88.561,-1.689,90.034
17118748,130.504,327.403,804.058,88.626,-1.631,90.042
17118801,129.748,326.627,803.558,88.841,-1.38,90.049
17118855,128.029,325.43,802.023,89.389,-0.734,90.131
17118908,126.29,324.704,800.5,89.899,-0.13,90.276
17118962,122.935,323.562,798.145,90.716,0.836,90.602
17119015,119.489,322.954,796.103,91.415,1.663,91.015
17119069,117.191,322.959,795.229,91.718,2.022,91.339
17119122,113.822,323.652,794.702,91.903,2.24,91.886
17119175,110.411,324.845,794.716,91.898,2.234,92.49
17119228,108.025,325.646,794.716,91.898,2.234,92.91
17119281,104.561,326.782,794.724,91.895,2.231,93.519
17119335,100.62,328.026,794.733,91.892,2.227,94.209
17119388,98.199,328.768,794.743,91.889,2.223,94.632
17119441,94.718,329.825,794.782,91.875,2.207,95.241
17119494,91.564,330.962,795.044,91.784,2.099,95.81
17119547,89.596,331.793,795.354,91.676,1.97,96.175
17119600,86.638,333.062,795.874,91.495,1.757,96.727
17119653,83.646,334.264,796.35,91.33,1.562,97.278
17119706,81.586,334.963,796.559,91.258,1.477,97.648
17119759,78.424,335.799,796.648,91.228,1.44,98.195
17119812,75.126,336.552,796.648,91.227,1.44,98.757
17119865,72.876,337.046,796.648,91.228,1.44,99.139
17119918,69.334,337.793,796.648,91.228,1.44,99.741
17119971,66.813,338.3,796.648,91.228,1.44,100.168
17120024,62.911,339.048,796.648,91.228,1.44,100.828
