Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
17281634,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17281688,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17281743,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17281798,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17281851,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17281904,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17281959,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282013,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282066,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282120,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282174,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282227,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282281,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282335,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282389,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282442,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282495,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282549,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282602,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282657,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282711,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282765,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282818,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282872,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282927,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17282980,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17283034,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17283088,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17283142,-456.666,-82.258,378.055,97.097,-29.455,-146.469
17283196,-456.676,-82.22,378.066,97.093,-29.457,-146.469
17283249,-456.705,-82.064,378.066,97.093,-29.457,-146.488
17283303,-456.716,-82.002,378.066,97.093,-29.457,-146.496
17283358,-456.719,-81.986,378.067,97.092,-29.458,-146.498
17283411,-456.728,-81.937,378.069,97.092,-29.458,-146.504
17283465,-456.755,-81.793,378.072,97.092,-29.458,-146.522
17283518,-456.811,-81.481,378.082,97.09,-29.459,-146.56
17283571,-457.036,-80.152,378.111,97.088,-29.462,-146.726
17283624,-457.013,-78.64,378.72,97.026,-29.521,-146.891
17283677,-456.636,-77.738,379.852,96.911,-29.63,-146.958
17283731,-455.467,-76.989,382.582,96.632,-29.894,-146.942
17283786,-453.521,-76.976,386.608,96.216,-30.283,-146.778
17283840,-451.771,-77.206,390.072,95.854,-30.618,-146.604
17283893,-449.246,-77.623,394.918,95.342,-31.087,-146.342
17283948,-447.138,-77.981,398.866,94.918,-31.47,-146.122
17284002,-446.174,-78.144,400.642,94.726,-31.643,-146.022
17284055,-445.421,-78.272,402.018,94.576,-31.777,-145.943
17284109,-445.319,-78.289,402.205,94.555,-31.795,-145.932
17284162,-445.322,-78.275,402.206,94.555,-31.795,-145.933
17284217,-445.417,-78.153,402.436,94.533,-31.815,-145.936
17284270,-446.079,-77.925,404.247,94.364,-31.964,-145.862
17284323,-446.856,-77.774,406.456,94.158,-32.146,-145.755
17284376,-448.111,-77.555,410.106,93.817,-32.444,-145.574
17284429,-449.207,-77.365,413.353,93.512,-32.708,-145.41
17284482,-449.609,-77.291,414.559,93.399,-32.805,-145.35
17284535,-449.919,-77.11,415.433,93.317,-32.876,-145.322
17284589,-450.134,-76.251,415.65,93.296,-32.894,-145.419
17284643,-450.333,-75.149,415.692,93.292,-32.897,-145.556
17284697,-450.747,-72.757,415.761,93.286,-32.903,-145.856
17284750,-451.269,-69.448,415.762,93.286,-32.903,-146.277
17284803,-451.664,-66.867,415.779,93.283,-32.905,-146.603
17284856,-452.29,-62.745,415.89,93.273,-32.914,-147.119
17284909,-453.121,-58.516,416.786,93.188,-32.987,-147.6
17284963,-454.001,-55.708,418.473,93.028,-33.123,-147.854
17285017,-455.653,-51.827,422.378,92.661,-33.434,-148.106
17285070,-457.059,-48.951,425.977,92.402,-33.651,-148.292
17285125,-457.588,-47.599,427.213,92.436,-33.622,-148.469
17285179,-457.962,-46.087,427.799,92.739,-33.366,-148.82
17285232,-458.3,-44.412,428.246,93.097,-33.061,-149.222
17285287,-458.746,-43.074,429.301,93.201,-32.972,-149.437
17285340,-459.959,-40.633,432.79,93.036,-33.112,-149.62
17285394,-461.605,-37.935,437.935,92.626,-33.459,-149.685
17285450,-462.672,-36.347,441.464,92.319,-33.716,-149.682
17285503,-464.015,-34.257,446.048,91.973,-34.004,-149.708
17285557,-465.146,-32.523,450.195,91.831,-34.119,-149.81
17285611,-465.87,-30.887,453.345,91.945,-34.024,-150.056
17285664,-465.846,-29.745,455.622,92.063,-33.927,-150.267
17285719,-464.916,-27.728,459.776,92.272,-33.751,-150.671
17285772,-462.804,-25.664,464.795,92.542,-33.524,-151.157
17285826,-460.921,-24.353,468.486,92.777,-33.324,-151.523
17285880,-457.106,-22.64,474.32,93.202,-32.961,-152.117
17285934,-452.939,-20.974,480.96,93.58,-32.634,-152.699
17285986,-450.819,-19.658,485.078,93.84,-32.407,-153.093
17286039,-448.758,-17.371,490.866,94.164,-32.121,-153.648
17286093,-448.138,-14.724,495.615,94.399,-31.914,-154.142
17286147,-448.5,-12.722,498.988,94.421,-31.893,-154.398
17286201,-449.158,-9.33,504.459,94.255,-32.04,-154.72
17286256,-449.775,-5.119,509.24,93.992,-32.271,-155.094
17286310,-450.093,-1.794,512.111,93.817,-32.423,-155.411
17286364,-450.304,3.708,514.933,93.725,-32.503,-156.052
17286418,-450.126,9.894,515.643,93.915,-32.338,-156.946
17286471,-449.845,14.56,515.428,94.129,-32.15,-157.662
17286526,-449.39,22.577,515.549,94.318,-31.982,-158.792
17286580,-448.958,31.713,517.095,94.205,-32.083,-159.891
17286633,-448.594,38.141,518.662,94.064,-32.206,-160.629
17286688,-447.935,47.995,521.453,93.816,-32.424,-161.739
17286742,-447.117,57.724,524.823,93.514,-32.686,-162.802
17286795,-446.12,66.947,527.969,93.231,-32.93,-163.814
17286849,-445.359,72.704,529.571,93.088,-33.053,-164.467
17286903,-444.15,80.623,531.391,92.923,-33.194,-165.387
17286957,-443.007,87.447,533.216,92.756,-33.335,-166.167
17287011,-442.264,91.692,534.666,92.624,-33.447,-166.635
17287064,-441.436,96.337,536.762,92.433,-33.608,-167.121
17287118,-440.826,99.778,538.994,92.237,-33.771,-167.448
17287172,-440.54,101.479,540.725,92.103,-33.883,-167.587
17287226,-440.122,103.329,542.725,92.091,-33.893,-167.821
17287279,-439.608,104.888,544.11,92.287,-33.73,-168.145
17287332,-439.19,106.017,545.101,92.469,-33.577,-168.405
17287386,-438.388,108.081,546.878,92.82,-33.281,-168.892
17287440,-437.349,110.625,549.359,93.216,-32.943,-169.473
17287493,-436.529,112.626,551.213,93.509,-32.691,-169.919
17287546,-435.186,116.254,555.621,93.751,-32.481,-170.559
17287600,-433.772,120.122,561.297,93.82,-32.421,-171.136
17287655,-432.572,123.4,565.572,93.822,-32.419,-171.594
17287709,-430.619,127.882,569.935,94.114,-32.162,-172.4
17287763,-428.215,132.702,572.305,94.586,-31.537,-173.394
17287818,-426.221,136.482,572.811,94.782,-30.835,-174.126
17287872,-422.726,143.09,572.986,94.713,-29.557,-175.221
17287926,-418.677,150.864,574.384,94.016,-28.251,-176.219
17287981,-414.208,159.594,577.059,92.572,-26.997,-177.059
17288034,-411.218,165.373,579.432,91.395,-26.282,-177.536
17288088,-406.864,173.482,583.127,89.428,-25.275,-178.133
17288141,-402.321,180.314,587.109,87.41,-24.302,-178.639
17288194,-399.029,183.93,589.773,86.143,-23.69,-178.953
17288248,-393.56,187.526,593.656,84.559,-22.904,-179.409
17288301,-387.579,189.267,597.247,83.301,-22.191,-179.849
17288355,-383.541,189.623,599.413,82.662,-21.771,179.869
17288409,-378.18,189.299,602.42,82.143,-21.431,179.491
17288465,-374.113,189.067,604.802,81.956,-21.325,179.153
17288517,-372.321,189.518,605.781,81.959,-21.312,178.925
17288572,-370.338,191.383,606.611,82.013,-21.258,178.513
17288625,-368.683,194.021,607.166,82.075,-21.199,178.053
17288678,-367.46,196.048,607.663,82.111,-21.163,177.709
17288731,-365.159,199.619,608.885,82.157,-21.119,177.095
17288785,-362.46,203.594,610.96,82.147,-21.13,176.419
17288839,-360.444,206.333,612.818,82.141,-21.137,175.938
17288893,-357.219,210.431,615.311,82.225,-21.055,175.162
17288946,-353.828,214.15,616.97,82.543,-20.738,174.32
17289001,-351.669,216.174,617.166,82.922,-20.359,173.756
17289054,-347.899,219.822,617.061,83.57,-19.703,172.767
