Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
5476040,148,348,790,90,0,90
5476093,148,348,790,90,0,90
5476148,148,348,790,90,0,90
5476202,148,348,790,90,0,90
5476256,148,348,790,90,0,90
5476310,148,348,790,90,0,90
5476363,148,348,790,90,0,90
5476417,148,348,790,90,0,90
5476471,148,348,790,90,0,90
5476526,148,348,790,90,0,90
5476579,148,348,790,90,0,90
5476634,148,348,790,90,0,90
5476687,148,348,790,90,0,90
5476740,148,348,790,90,0,90
5476795,148,348,790,90,0,90
5476849,148,348,790,90,0,90
5476902,148,348,790,90,0,90
5476957,148,348,790,90,0,90
5477011,148,348,790,90,0,90
5477064,148,348,790,90,0,90
5477118,148,348,790,90,0,90
5477171,148,348,790,90,0,90
5477226,148,348,790,90,0,90
5477279,148,348,790,90,0,90
5477333,148,348,790,90,0,90
5477387,148,348,790,90,0,90
5477442,148,348,790,90,0,90
5477496,148,348,790,90,0,90
5477549,148,348,790,90,0,90
5477603,148,348,790,90,0,90
5477657,148,348,790,90,0,90
5477710,148,348,790,90,0,90
5477764,148,348,790,90,0,90
5477817,148,348,790,90,0,90
5477871,148,348,790,90,0,90
5477925,148,348,790,90,0,90
5477978,148,348,790,90,0,90
5478033,148,348,790,90,0,90
5478087,148,348,790,90,0,90
5478141,148,348,790,90,0,90
5478194,148,348,790,90,0,90
5478248,148,348,790,90,0,90
5478302,148,348,790,90,0,90
5478355,148,348,790,90,0,90
5478409,148,348,790,90,0,90
5478464,148,348,790,90,0,90
5478517,148,348,790,90,0,90
5478571,148,348,790,90,0,90
5478625,148,348,790,90,0,90
5478679,148,348,790,90,0,90
5478732,148,348,790,90,0,90
5478786,148,348,790,90,0,90
5478840,148,348,790,90,0,90
5478894,147.994,348.101,789.963,89.995,-0.012,90.012
5478947,148.011,348.294,790.184,89.983,-0.125,90.012
5479002,148.092,349.061,791.095,89.933,-0.59,90.014
5479056,148.254,350.607,792.969,89.831,-1.536,90.018
5479109,148.446,352.454,795.29,89.707,-2.69,90.025
5479164,148.786,355.727,799.679,89.477,-4.822,90.045
5479218,149.19,359.627,805.298,89.189,-7.479,90.082
5479271,149.47,362.346,809.566,88.973,-9.443,90.118
5479324,149.878,366.307,816.438,88.63,-12.521,90.191
5479378,150.226,369.714,823.137,88.297,-15.436,90.278
5479433,150.467,372.074,828.345,88.037,-17.653,90.357
5479487,150.752,374.901,835.414,87.68,-20.604,90.481
5479541,150.99,377.292,842.478,87.317,-23.492,90.624
5479595,151.125,378.65,847.276,87.065,-25.422,90.732
5479648,151.287,380.325,854.519,86.675,-28.294,90.915
5479703,151.403,381.562,861.919,86.26,-31.183,91.128
5479756,151.493,382.554,869.151,85.829,-34,91.367
5479812,151.534,383.038,873.896,85.531,-35.843,91.541
5479866,151.566,383.486,880.842,85.07,-38.531,91.826
5479920,151.563,383.608,887.566,84.591,-41.127,92.139
5479973,151.544,383.519,892.062,84.248,-42.861,92.372
5480027,151.485,383.113,898.985,83.68,-45.534,92.775
5480081,151.382,382.312,906.371,83.008,-48.392,93.273
5480135,151.283,381.498,911.705,82.47,-50.466,93.686
5480189,151.079,379.77,920.287,81.488,-53.825,94.47
5480242,150.8,377.352,929.382,80.238,-57.427,95.51
5480297,150.547,375.122,936.202,79.106,-60.164,96.485
