Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
12197404,148,348,790,90,-0,90
12197457,148,348,790,90,-0,90
12197510,148,348,790,90,-0,90
12197564,148,348,790,90,-0,90
12197618,148,348,790,90,-0,90
12197671,148,348,790,90,-0,90
12197725,148,348,790,90,-0,90
12197779,148,348,790,90,-0,90
12197833,148,348,790,90,-0,90
12197886,148,348,790,90,-0,90
12197940,148,348,790,90,-0,90
12197995,148,348,790,90,-0,90
12198049,148,348,790,90,-0,90
12198102,148,348,790,90,-0,90
12198155,148,348,790,90,-0,90
12198209,148,348,790,90,-0,90
12198262,148,348,790,90,-0,90
12198316,148,348,790,90,-0,90
12198370,148,348,790,90,-0,90
12198424,148,348,790,90,-0,90
12198477,148,348,790,90,-0,90
12198530,148,348,790,90,-0,90
12198583,148,348,790,90,-0,90
12198637,148,348,790,90,-0,90
12198691,148,348,790,90,-0,90
12198744,148,348,790,90,-0,90
12198797,148,348,790,90,-0,90
12198851,148,348,790,90,-0,90
12198904,148,348,790,90,-0,90
12198957,148,348,790,90,-0,90
12199010,148,348,790,90,-0,90
12199063,148,348,790,90,-0,90
12199117,148,348,790,90,-0,90
12199170,148,348,790,90,-0,90
12199223,148,348,790,90,-0,90
12199276,148,348,790,90,-0,90
12199329,148,348,790,90,-0,90
12199383,148,348,790,90,-0,90
12199437,148,348,790,90,-0,90
12199490,148,348,790,90,-0,90
12199544,148,348,790,90,-0,90
12199598,148,348,790,90,-0,90
12199652,148,348,790,90,-0,90
12199705,148,348,790,90,-0,90
12199758,148,348,790,90,-0,90
12199812,148,348,790,90,-0,90
12199866,148,348,790,90,-0,90
12199919,148,348,790,90,-0,90
12199972,148,348,790,90,-0,90
12200026,148,348,790,90,-0,90
12200079,148,348,790,90,-0,90
12200134,148,348,790,90,-0,90
12200188,148,348,790,90,-0,90
12200241,148,348,790,90,-0,90
12200295,148,348,790,90,-0,90
12200349,148,348,790,90,-0,90
12200402,148,348,790,90,-0,90
12200456,148,348,790,90,-0,90
12200509,148,348,790,90,-0,90
12200563,148,348,790,90,-0,90
12200617,148,348,790,90,-0,90
12200670,148,348,790,90,-0,90
12200723,148,348,790,90,-0,90
12200777,148,348,790,90,-0,90
12200832,148,348,790,90,-0,90
12200885,147.996,347.983,789.979,90.001,0.011,90.007
12200939,147.995,347.983,789.98,90.001,0.011,90.008
12200994,147.995,347.983,789.98,90.001,0.011,90.008
12201047,147.995,347.983,789.98,90.001,0.011,90.008
12201100,147.994,347.982,789.982,90.002,0.011,90.008
12201153,147.994,347.982,789.983,90.001,0.011,90.008
12201207,147.994,347.982,789.983,90.001,0.011,90.008
12201260,147.994,347.982,789.983,90.001,0.011,90.008
12201313,147.994,347.982,789.983,90.001,0.011,90.008
12201366,147.994,347.984,789.982,90.002,0.011,90.008
12201419,147.994,347.984,789.982,90.002,0.011,90.008
12201472,147.992,347.984,789.983,90.002,0.011,90.008
12201526,147.992,347.984,789.983,90.002,0.011,90.008
12201580,147.992,347.984,789.983,90.002,0.011,90.008
12201633,147.992,347.984,789.983,90.002,0.011,90.008
12201687,147.992,347.984,789.983,90.002,0.011,90.008
12201741,147.992,347.984,789.983,90.002,0.011,90.008
12201794,147.992,347.984,789.983,90.002,0.011,90.008
12201849,147.993,347.991,789.979,90.002,0.011,90.008
12201902,147.997,348.023,789.961,90.002,0.014,90.008
12201956,147.998,348.035,789.954,90.002,0.015,90.008
12202009,147.999,348.057,789.942,90.002,0.017,90.008
12202063,147.993,348.072,789.936,90.002,0.018,90.009
12202117,147.96,348.173,789.888,90.003,0.026,90.016
12202171,147.958,348.714,789.59,90.008,0.072,90.025
12202225,148.107,350.22,788.755,90.022,0.204,90.026
12202278,148.248,351.641,787.922,90.035,0.334,90.028
12202332,148.526,354.513,786.227,90.063,0.598,90.031
12202386,148.853,357.673,784.335,90.093,0.889,90.031
12202440,149.059,359.782,783.065,90.114,1.084,90.034
12202493,149.383,363.05,781.077,90.145,1.386,90.037
12202547,149.703,366.385,779.058,90.177,1.69,90.041
12202601,149.918,369.038,777.425,90.202,1.934,90.051
12202655,150.199,372.796,775.081,90.239,2.281,90.068
12202708,150.176,376.501,772.809,90.273,2.615,90.129
12202761,149.937,379.342,771.1,90.299,2.864,90.207
12202814,149.132,384.458,768.07,90.345,3.301,90.399
12202867,148.333,389.874,764.784,90.394,3.77,90.59
12202922,147.671,393.647,762.482,90.428,4.094,90.735
12202975,146.714,399.468,758.853,90.481,4.6,90.946
12203029,145.705,404.807,755.518,90.529,5.058,91.153
12203082,145.219,408.574,753.089,90.564,5.387,91.266
12203136,144.355,414.26,749.733,90.611,5.833,91.45
12203191,143.75,419.291,747.644,90.637,6.085,91.586
12203244,143.398,422.194,747.101,90.642,6.125,91.663
12203298,142.8,426.004,747.311,90.632,6.032,91.778
12203352,141.525,429.337,749.13,90.596,5.696,91.972
12203407,140.427,430.999,751.16,90.56,5.353,92.127
12203460,138.783,433.949,754.622,90.498,4.757,92.36
12203513,137.298,436.588,758.273,90.431,4.128,92.567
12203567,136.516,438.438,760.557,90.389,3.721,92.679
12203620,135.826,441.57,763.861,90.075,3.042,92.838
12203674,135.039,445.389,767.346,90.063,2.027,92.94
12203727,134.706,449.349,770.546,89.981,0.984,93
12203780,134.664,452.102,772.093,89.906,0.414,93.026
12203834,134.546,455.87,773.785,89.837,-0.199,93.066
12203889,134.412,457.441,773.536,89.864,0.05,93.092
12203942,134.292,459.997,773.557,89.883,0.216,93.121
12203997,134.284,462.716,774.632,89.855,-0.048,93.138
12204051,134.07,464.195,775.396,89.864,0.027,93.172
12204104,133.9,465.204,776.249,89.857,-0.041,93.198
12204157,133.315,466.393,777.288,89.866,0.026,93.275
12204211,132.45,467.366,778.784,89.865,0.004,93.384
12204264,131.738,468.359,779.711,89.866,0.003,93.474
12204317,130.701,469.946,780.795,89.865,-0.014,93.607
12204371,129.584,471.267,781.99,89.869,0.011,93.746
12204425,128.775,471.501,783.226,89.867,-0.019,93.843
12204480,127.517,473.053,784.398,89.867,-0.037,94
12204533,126.36,474.549,785.294,89.871,-0.014,94.143
12204588,125.475,475.86,785.646,89.874,0.006,94.253
12204641,124.179,477.917,786.157,89.873,-0.014,94.414
12204695,122.743,480.698,785.999,89.875,-0.001,94.592
12204749,121.889,481.878,786.529,89.865,-0.104,94.696
12204802,120.579,483.658,786.279,89.886,0.084,94.853
12204857,119.447,485.843,786.774,89.87,-0.076,94.991
12204910,118.805,486.637,786.466,89.893,0.131,95.066
12204964,118.292,488.975,786.811,89.869,-0.1,95.13
12205019,118.133,491.818,785.352,89.897,0.152,95.152
12205072,118.144,494.417,785.1,89.876,-0.05,95.155
12205126,118.206,499.025,782.971,89.889,0.076,95.155
12205179,118.302,504.16,781.213,89.876,-0.05,95.152
12205232,118.334,506.506,780.226,89.883,0.004,95.151
12205287,118.352,507.936,780.182,89.881,-0.027,95.15
12205341,118.323,505.758,782.053,89.881,-0.048,95.148
12205395,118.24,499.902,785.868,89.882,-0.078,95.146
12205448,118.161,494.41,789.235,89.88,-0.124,95.145
12205502,118.024,484.935,794.494,89.887,-0.116,95.142
12205556,117.873,474.351,799.98,89.893,-0.109,95.14
12205610,117.77,467.15,803.47,89.897,-0.099,95.138
12205663,117.612,456.022,808.429,89.908,-0.054,95.135
