Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
12653917,125.023,-466.031,724.62,121.669,-20.649,-11.988
12653970,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654023,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654076,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654129,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654182,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654235,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654288,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654341,125.023,-466.031,724.62,121.669,-20.649,-11.988
12654394,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654447,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654500,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654553,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654606,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654659,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654712,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654765,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654818,125.022,-466.03,724.62,121.67,-20.649,-11.988
12654872,125.023,-466.03,724.62,121.67,-20.649,-11.989
12654925,125.024,-466.03,724.62,121.67,-20.649,-11.989
12654978,125.024,-466.03,724.62,121.67,-20.649,-11.989
12655031,125.024,-466.03,724.62,121.67,-20.649,-11.989
12655084,125.022,-466.031,724.62,121.67,-20.649,-11.989
12655137,125.02,-466.031,724.62,121.67,-20.649,-11.989
12655190,125.02,-466.031,724.62,121.67,-20.649,-11.989
12655244,125.021,-466.031,724.621,121.67,-20.65,-11.99
12655297,125.022,-466.031,724.621,121.67,-20.65,-11.99
12655350,125.009,-466.035,724.621,121.67,-20.65,-11.991
12655403,124.979,-466.043,724.621,121.67,-20.65,-11.995
12655456,124.96,-466.048,724.621,121.67,-20.65,-11.998
12655510,124.949,-466.051,724.621,121.67,-20.65,-11.999
12655563,124.95,-466.051,724.622,121.67,-20.651,-11.999
12655616,124.951,-466.05,724.624,121.67,-20.651,-11.999
12655669,124.952,-466.05,724.625,121.67,-20.652,-12
12655722,124.945,-466.05,724.627,121.669,-20.652,-12.001
12655775,124.902,-466.062,724.627,121.67,-20.652,-12.007
12655828,124.748,-466.103,724.628,121.67,-20.652,-12.026
12655881,124.338,-466.213,724.628,121.67,-20.652,-12.077
12655934,123.308,-466.482,724.701,121.676,-20.705,-12.249
12655988,122.445,-466.886,724.897,121.744,-20.981,-12.609
12656041,122.029,-467.073,725.03,121.89,-21.267,-12.962
12656094,121.367,-467.152,725.161,122.286,-21.769,-13.649
12656147,120.648,-467.028,725.209,122.775,-22.222,-14.361
12656200,120.061,-467.038,725.244,123.024,-22.456,-14.757
12656253,118.785,-467.19,725.216,123.181,-22.542,-15.07
12656307,117.731,-467.456,725.216,123.181,-22.542,-15.199
12656360,116.571,-467.75,725.219,123.182,-22.546,-15.345
12656413,115.912,-467.915,725.219,123.183,-22.547,-15.427
12656466,115.566,-468.001,725.219,123.183,-22.547,-15.469
12656519,115.04,-468.125,725.223,123.182,-22.547,-15.533
12656573,114.5,-468.258,725.223,123.182,-22.547,-15.599
12656626,114.235,-468.324,725.223,123.182,-22.548,-15.632
12656679,113.795,-468.431,725.225,123.184,-22.552,-15.689
12656732,113.657,-468.541,725.29,123.225,-22.659,-15.816
12656785,113.912,-468.565,725.4,123.344,-22.874,-16.025
12656839,114.753,-468.1,725.479,123.824,-23.305,-16.546
12656892,115.536,-467.299,725.471,124.541,-23.773,-17.256
12656945,115.502,-466.838,725.417,125.001,-24.003,-17.727
12656998,114.701,-466.48,725.309,125.445,-24.152,-18.222
12657051,113.658,-466.613,725.294,125.558,-24.202,-18.461
12657104,113.038,-466.811,725.327,125.568,-24.244,-18.579
12657157,112.4,-467.103,725.425,125.599,-24.367,-18.78
12657210,112.393,-467.356,725.602,125.657,-24.589,-19.002
12657263,112.43,-467.529,725.73,125.698,-24.749,-19.158
12657316,112.373,-467.791,725.907,125.755,-24.967,-19.382
12657369,112.127,-467.977,726.001,125.781,-25.086,-19.516
12657422,111.547,-468.267,726.108,125.716,-25.371,-19.484
12657475,111.199,-468.519,726.263,125.521,-25.894,-19.143
12657528,111.163,-468.655,726.409,125.324,-26.369,-18.768
12657581,111.267,-468.909,726.629,125.001,-27.185,-18.143
12657634,111.2,-469.011,726.774,124.8,-27.866,-17.686
12657687,110.935,-468.624,726.684,124.965,-28.064,-17.691
12657741,110.464,-467.414,726.298,125.639,-28.055,-18.11
12657794,109.943,-466.095,725.863,126.428,-28.003,-18.655
12657847,109.379,-465.657,725.701,126.745,-27.988,-18.924
12657901,108.332,-465.667,725.759,126.81,-27.994,-19.104
12657955,107.373,-464.986,726.497,126.707,-28.013,-19.185
12658009,106.746,-464.079,727.335,126.592,-28.036,-19.224
12658062,105.504,-462.022,729.257,126.319,-28.09,-19.284
12658115,104.042,-460.214,731.009,126.067,-28.139,-19.379
12658168,102.801,-459.48,731.832,125.949,-28.162,-19.494
12658221,100.936,-458.875,732.656,125.831,-28.185,-19.687
12658274,99.481,-458.326,733.355,125.73,-28.204,-19.836
12658327,98.752,-457.914,733.815,125.664,-28.217,-19.906
12658380,98.045,-457.095,734.596,125.55,-28.239,-19.957
12658433,97.699,-456.474,735.17,125.46,-28.256,-19.97
12658486,97.073,-455.936,735.726,125.37,-28.273,-20.018
12658539,96.29,-456.343,735.802,125.247,-28.296,-20.054
12658592,95.827,-456.985,735.553,125.175,-28.309,-20.067
12658645,95.441,-458.247,733.847,125.452,-28.257,-20.225
12658699,95.225,-459.93,730.788,126.108,-28.131,-20.532
12658752,95.032,-461.303,728.189,126.67,-28.02,-20.797
12658806,94.745,-463.333,724.317,127.484,-27.855,-21.178
12658859,94.53,-464.872,721.192,128.14,-27.72,-21.485
12658912,94.461,-465.497,719.815,128.429,-27.669,-21.627
12658965,94.658,-465.697,719.159,128.603,-27.758,-21.799
12659018,95.145,-466.209,720.021,128.22,-28.156,-21.849
12659071,95.528,-466.906,720.822,127.84,-28.515,-21.868
12659124,96.249,-468.441,721.686,127.419,-29.144,-22.044
12659177,96.694,-469.478,721.866,127.337,-29.508,-22.245
12659230,97.049,-471.731,720.763,127.596,-29.842,-22.645
12659283,96.904,-474.835,718.473,127.988,-29.928,-22.964
12659336,96.651,-477.645,716.204,128.36,-29.926,-23.208
12659389,96.258,-481.734,712.412,129.122,-29.852,-23.666
12659442,96.273,-484.799,708.748,130.294,-29.82,-24.44
12659495,96.662,-485.649,706.98,131.253,-29.862,-25.139
12659548,97.39,-485.934,705.402,132.481,-29.967,-26.096
12659602,97.706,-486.095,704.931,132.947,-30.067,-26.522
12659655,97.587,-486.317,704.839,132.937,-30.079,-26.537
12659709,96.656,-487.406,704.027,133.045,-30.048,-26.685
12659763,95.145,-489.602,702.188,133.336,-29.963,-26.975
12659816,94.076,-491.351,700.505,133.667,-29.866,-27.237
12659870,92.525,-493.807,697.583,134.417,-29.643,-27.752
12659923,91.566,-494.964,695.354,135.229,-29.395,-28.248
12659976,91.227,-495.49,694.368,135.574,-29.287,-28.447
12660029,90.854,-495.731,694.122,135.638,-29.266,-28.517
12660082,90.275,-495.836,694.122,135.633,-29.263,-28.577
12660135,89.69,-495.997,694.132,135.603,-29.269,-28.625
