Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
45059313,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059367,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059421,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059474,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059527,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059581,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059635,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059689,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059743,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059796,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059850,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059903,78.367,-336.923,728.794,103.675,-22.347,-8.654
45059956,78.367,-336.923,728.794,103.675,-22.347,-8.654
45060009,78.367,-336.923,728.794,103.675,-22.347,-8.654
45060062,78.367,-336.923,728.794,103.675,-22.347,-8.654
45060115,78.367,-336.923,728.794,103.675,-22.347,-8.654
45060168,78.367,-336.923,728.794,103.675,-22.347,-8.654
45060222,78.367,-336.914,728.804,103.668,-22.347,-8.643
45060276,78.366,-336.914,728.804,103.624,-22.373,-8.528
45060329,78.365,-336.914,728.803,103.473,-22.461,-8.131
45060383,78.365,-336.914,728.803,103.356,-22.528,-7.826
45060436,78.365,-336.914,728.804,103.321,-22.547,-7.736
45060490,78.363,-336.914,728.804,103.264,-22.579,-7.587
45060543,78.362,-336.915,728.804,103.221,-22.602,-7.476
45060596,78.361,-336.917,728.805,103.183,-22.623,-7.378
45060649,78.337,-336.91,728.796,103.024,-22.697,-6.96
45060702,78.002,-336.801,728.671,102.731,-22.656,-6.093
45060756,77.495,-336.582,728.509,102.466,-22.488,-5.237
45060809,76.39,-336.222,728.113,102.014,-22.085,-3.626
45060862,75.048,-335.788,727.655,101.602,-21.539,-1.947
45060916,74.103,-335.481,727.349,101.377,-21.131,-0.89
45060969,72.759,-334.912,727,101.136,-20.504,0.446
45061022,71.655,-333.668,727.105,100.968,-19.85,1.396
45061076,71.209,-331.958,727.731,100.814,-19.421,1.865
45061129,70.8,-328.667,729.128,100.562,-18.782,2.374
45061182,70.858,-323.649,731.682,100.087,-18.109,2.776
45061235,71.071,-320.125,733.837,99.583,-17.685,3.046
45061288,71.337,-315.138,737.353,98.608,-17.012,3.593
45061341,71.489,-311.973,739.808,97.859,-16.547,4.04
45061394,71.254,-308.109,742.924,96.831,-15.729,4.9
45061447,70.665,-305.551,745.001,96.067,-14.96,5.93
45061500,70.075,-304.343,745.727,95.781,-14.471,6.695
45061553,68.869,-303.352,745.874,95.652,-13.78,8.041
45061606,67.467,-303.005,745.613,95.616,-13.121,9.611
45061659,66.6,-302.963,745.382,95.564,-12.771,10.839
45061712,65.238,-303.525,744.755,95.543,-12.322,12.736
45061765,64.102,-304.281,744.123,95.473,-12.038,14.715
45061818,63.468,-304.951,743.662,95.446,-11.924,15.845
45061871,62.553,-306.343,742.795,95.47,-11.816,17.281
45061924,62.047,-307.183,742.284,95.5,-11.765,18.015
45061977,61.399,-308.26,741.622,95.586,-11.685,18.744
45062030,60.689,-309.38,740.922,95.792,-11.542,19.006
45062083,60.183,-310.002,740.486,95.98,-11.4,19.011
45062136,59.26,-310.902,739.85,96.298,-11.094,19.032
