Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
45109000,86.276,-343.901,685.413,91.353,4.012,29.073
45109054,86.276,-343.901,685.413,91.353,4.012,29.073
45109108,86.276,-343.901,685.413,91.353,4.012,29.073
45109161,86.276,-343.901,685.413,91.353,4.012,29.073
45109215,86.276,-343.901,685.413,91.353,4.012,29.073
45109270,86.276,-343.901,685.413,91.353,4.012,29.073
45109323,86.276,-343.901,685.413,91.353,4.012,29.073
45109378,86.276,-343.901,685.413,91.353,4.012,29.073
45109431,86.276,-343.901,685.413,91.353,4.012,29.073
45109484,86.276,-343.901,685.413,91.353,4.012,29.073
45109537,86.276,-343.901,685.413,91.353,4.012,29.073
45109591,86.276,-343.901,685.413,91.353,4.012,29.073
45109644,86.276,-343.901,685.413,91.353,4.012,29.073
45109697,86.276,-343.901,685.413,91.353,4.012,29.073
45109751,86.276,-343.901,685.413,91.353,4.012,29.073
45109805,86.276,-343.901,685.413,91.353,4.012,29.073
45109859,86.276,-343.901,685.413,91.353,4.012,29.073
45109912,86.276,-343.901,685.413,91.353,4.012,29.073
45109966,86.276,-343.901,685.413,91.353,4.012,29.073
45110019,86.276,-343.901,685.413,91.353,4.012,29.073
45110073,86.276,-343.901,685.413,91.353,4.012,29.073
45110127,86.276,-343.901,685.413,91.353,4.012,29.073
45110180,86.276,-343.901,685.413,91.353,4.012,29.073
45110234,86.276,-343.901,685.413,91.353,4.012,29.073
45110287,86.276,-343.901,685.413,91.353,4.012,29.073
45110340,86.276,-343.901,685.413,91.353,4.012,29.073
45110393,86.276,-343.901,685.413,91.353,4.012,29.073
45110446,86.276,-343.901,685.413,91.353,4.012,29.073
45110499,86.276,-343.901,685.413,91.353,4.012,29.073
45110552,86.276,-343.901,685.413,91.353,4.012,29.073
45110605,86.276,-343.901,685.413,91.353,4.012,29.073
45110658,86.276,-343.901,685.413,91.353,4.012,29.073
45110711,86.276,-343.901,685.413,91.353,4.012,29.073
45110765,86.276,-343.901,685.413,91.353,4.012,29.073
45110818,86.276,-343.901,685.413,91.353,4.012,29.073
45110873,86.276,-343.901,685.413,91.353,4.012,29.073
45110926,86.276,-343.901,685.413,91.353,4.012,29.073
45110980,86.276,-343.901,685.413,91.353,4.012,29.073
45111035,86.276,-343.901,685.413,91.353,4.012,29.073
45111089,86.276,-343.901,685.413,91.353,4.012,29.073
45111142,86.276,-343.901,685.413,91.353,4.012,29.073
45111197,86.276,-343.901,685.413,91.353,4.012,29.073
45111250,86.276,-343.901,685.413,91.353,4.012,29.073
45111304,86.276,-343.901,685.413,91.353,4.012,29.073
45111357,86.276,-343.901,685.413,91.353,4.012,29.073
45111410,86.276,-343.901,685.413,91.353,4.012,29.073
45111463,86.276,-343.901,685.413,91.353,4.012,29.073
45111516,86.276,-343.901,685.413,91.353,4.012,29.073
45111569,86.276,-343.901,685.413,91.353,4.012,29.073
45111622,86.276,-343.901,685.413,91.353,4.012,29.073
45111675,86.276,-343.901,685.413,91.353,4.012,29.073
45111729,86.276,-343.901,685.413,91.353,4.012,29.073
45111782,86.276,-343.901,685.413,91.353,4.012,29.073
45111836,86.276,-343.901,685.413,91.353,4.012,29.073
45111889,86.276,-343.901,685.413,91.353,4.012,29.073
45111942,86.276,-343.901,685.413,91.353,4.012,29.073
45111995,86.276,-343.901,685.413,91.353,4.012,29.073
45112048,86.276,-343.901,685.413,91.353,4.012,29.073
45112101,86.276,-343.901,685.413,91.353,4.012,29.073
45112154,86.276,-343.901,685.413,91.353,4.012,29.073
45112207,86.276,-343.901,685.413,91.353,4.012,29.073
45112260,86.276,-343.901,685.413,91.353,4.012,29.073
45112313,86.276,-343.901,685.413,91.353,4.012,29.073
45112366,86.276,-343.901,685.413,91.353,4.012,29.073
45112419,86.276,-343.901,685.413,91.353,4.012,29.073
45112472,86.276,-343.901,685.413,91.353,4.012,29.073
45112525,86.276,-343.901,685.413,91.353,4.012,29.073
45112578,86.276,-343.901,685.413,91.353,4.012,29.073
45112631,86.276,-343.901,685.413,91.353,4.012,29.073
45112684,86.276,-343.901,685.413,91.353,4.012,29.073
45112737,86.276,-343.901,685.413,91.353,4.012,29.073
45112790,86.276,-343.901,685.413,91.353,4.012,29.073
45112844,86.276,-343.901,685.413,91.353,4.012,29.073
45112897,86.276,-343.901,685.413,91.353,4.012,29.073
45112950,86.276,-343.901,685.413,91.353,4.012,29.073
45113004,86.276,-343.901,685.413,91.353,4.012,29.073
45113058,86.276,-343.901,685.413,91.353,4.012,29.073
45113112,86.276,-343.901,685.413,91.353,4.012,29.073
45113165,86.276,-343.901,685.413,91.353,4.012,29.073
45113218,86.28,-343.821,685.568,91.334,4.024,29.072
45113271,86.29,-343.617,686.076,91.276,4.06,29.068
45113324,86.314,-343.161,687.881,91.079,4.183,29.054
45113377,86.338,-342.665,689.833,90.865,4.316,29.038
45113431,86.387,-341.66,693.721,90.44,4.58,29.004
45113484,86.453,-340.374,698.498,89.916,4.905,28.961
45113537,86.498,-339.462,701.77,89.556,5.128,28.929
45113590,86.566,-338.105,706.469,89.037,5.449,28.881
45113643,86.636,-336.717,711.095,88.523,5.766,28.83
45113696,86.682,-335.779,714.126,88.186,5.973,28.794
45113751,86.752,-334.384,718.504,87.696,6.274,28.742
45113804,86.826,-332.901,722.992,87.193,6.582,28.684
45113858,86.88,-331.81,726.204,86.831,6.803,28.641
45113912,86.967,-330.07,731.161,86.268,7.142,28.547
