Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
12696614,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696668,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696721,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696774,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696827,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696880,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696933,136.554,-371.969,775.324,84.635,-19.077,-4.97
12696987,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697040,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697094,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697147,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697200,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697253,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697307,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697360,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697413,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697466,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697519,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697572,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697625,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697678,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697731,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697784,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697838,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697891,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697944,136.554,-371.969,775.324,84.635,-19.077,-4.97
12697997,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698050,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698104,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698158,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698211,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698265,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698318,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698371,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698424,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698477,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698531,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698584,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698637,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698691,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698744,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698799,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698852,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698905,136.554,-371.969,775.324,84.635,-19.077,-4.97
12698959,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699012,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699065,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699119,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699172,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699225,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699278,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699332,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699385,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699438,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699492,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699546,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699599,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699652,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699705,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699758,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699811,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699864,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699917,136.554,-371.969,775.324,84.635,-19.077,-4.97
12699971,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700025,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700078,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700132,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700185,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700238,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700291,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700344,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700397,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700450,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700504,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700557,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700610,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700663,136.554,-371.969,775.324,84.635,-19.077,-4.97
12700716,136.55,-371.97,775.328,84.633,-19.075,-4.969
12700769,136.549,-371.971,775.328,84.633,-19.075,-4.969
12700823,136.549,-371.971,775.328,84.633,-19.075,-4.969
12700876,136.549,-371.971,775.328,84.633,-19.075,-4.969
12700929,136.549,-371.971,775.328,84.633,-19.075,-4.969
12700982,136.548,-371.972,775.329,84.632,-19.075,-4.969
12701035,136.546,-371.975,775.333,84.63,-19.076,-4.969
12701089,136.544,-372.012,775.389,84.602,-19.077,-4.959
12701142,136.54,-372.294,775.834,84.38,-19.092,-4.887
12701195,136.534,-372.782,776.611,83.994,-19.117,-4.759
12701248,136.53,-373.161,777.222,83.692,-19.137,-4.659
12701301,136.525,-373.666,778.048,83.284,-19.162,-4.525
12701354,136.522,-373.907,778.445,83.088,-19.173,-4.46
12701407,136.519,-373.942,778.497,83.062,-19.175,-4.452
12701460,136.512,-373.951,778.496,83.062,-19.176,-4.453
12701513,136.433,-373.981,778.498,83.061,-19.177,-4.465
12701566,136.399,-373.995,778.497,83.061,-19.177,-4.47
12701619,136.397,-373.993,778.492,83.063,-19.176,-4.471
12701673,136.397,-373.993,778.492,83.064,-19.176,-4.471
12701726,136.434,-373.991,778.502,83.066,-19.199,-4.469
12701779,136.696,-373.982,778.589,83.077,-19.36,-4.448
12701832,137.086,-373.964,778.714,83.096,-19.601,-4.418
12701885,137.592,-373.962,778.878,83.118,-19.914,-4.378
12701939,137.675,-374.186,778.777,83.144,-19.973,-4.38
12701992,137.645,-375.08,778.241,83.231,-19.968,-4.412
12702045,137.474,-377.421,776.835,83.458,-19.945,-4.51
12702098,136.813,-380.921,774.811,83.784,-19.924,-4.714
12702151,136.146,-383.304,773.467,83.999,-19.911,-4.883
12702204,135.276,-386.28,771.787,84.268,-19.899,-5.1
12702257,134.535,-387.963,771.046,84.444,-19.909,-5.416
12702311,133.974,-387.88,771.945,84.492,-19.966,-5.98
12702364,132.878,-386.794,775.265,84.485,-20.129,-7.38
12702417,131.332,-385.135,780.065,84.491,-20.385,-9.43
12702471,130.263,-383.909,783.507,84.543,-20.594,-11.015
12702524,129.035,-381.867,788.688,84.661,-20.943,-13.424
12702578,128.623,-379.608,793.588,84.71,-21.276,-15.38
12702632,128.665,-378.435,795.906,84.716,-21.435,-16.212
12702686,128.757,-377.292,798.119,84.553,-21.548,-16.546
12702739,128.675,-377.142,799.184,84.278,-21.552,-16.443
12702792,128.467,-377.905,799.471,84.005,-21.501,-16.365
12702845,128.057,-380.589,799.465,83.539,-21.409,-16.219
12702898,127.814,-384.718,798.733,83.116,-21.392,-15.835
12702951,127.708,-387.622,798.069,82.829,-21.384,-15.413
12703004,127.626,-391.435,797.069,82.492,-21.386,-14.822
12703057,127.733,-393.318,796.611,82.386,-21.486,-14.622
12703110,127.968,-395.607,796.143,82.32,-21.7,-14.554
12703163,128.06,-397.181,796.359,82.052,-21.859,-14.453
12703217,128.015,-398.39,796.76,81.793,-21.956,-14.54
12703270,127.925,-400.507,797.81,81.434,-22.237,-15.268
12703323,127.838,-402.795,798.578,81.421,-22.612,-16.686
12703376,127.785,-404.283,798.865,81.641,-22.894,-17.996
12703429,127.708,-406.401,798.686,82.293,-23.262,-20.199
12703482,127.659,-407.751,798.382,83.214,-23.585,-22.697
12703536,127.642,-408.191,798.567,83.681,-23.789,-24.139
12703590,127.569,-408.74,799.861,83.802,-24.148,-25.639
12703643,127.231,-409.568,802.017,83.062,-24.436,-25.999
12703696,126.866,-410.339,803.753,82.213,-24.581,-25.792
12703749,126.237,-411.516,806.48,80.801,-24.755,-25.321
12703802,125.771,-412.438,808.712,79.689,-24.92,-24.983
12703855,125.613,-412.81,809.69,79.246,-25.022,-24.889
