Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
45393365,57.321,-139.485,811.552,84.031,-4.776,-20.534
45393417,57.321,-139.485,811.552,84.031,-4.776,-20.534
45393470,57.321,-139.485,811.552,84.031,-4.776,-20.534
45393523,57.321,-139.485,811.552,84.031,-4.776,-20.534
45393576,57.321,-139.485,811.552,84.031,-4.776,-20.534
45393629,57.321,-139.485,811.552,84.031,-4.776,-20.534
45393683,57.323,-139.48,811.555,84.029,-4.776,-20.535
45393737,57.331,-139.496,811.549,84.029,-4.785,-20.534
45393790,57.341,-139.5,811.551,84.027,-4.791,-20.533
45393843,57.353,-139.508,811.553,84.026,-4.799,-20.532
45393896,57.375,-139.523,811.559,84.021,-4.814,-20.53
45393949,57.564,-139.656,811.61,83.984,-4.947,-20.515
45394003,57.87,-139.833,811.651,83.945,-5.153,-20.493
45394057,58.542,-140.222,811.736,83.864,-5.607,-20.444
45394110,59.283,-140.65,811.839,83.773,-6.107,-20.39
45394163,59.704,-140.896,811.904,83.719,-6.393,-20.358
45394216,60.167,-141.168,811.981,83.659,-6.706,-20.322
45394270,60.515,-141.393,812.065,83.601,-6.947,-20.293
45394324,60.676,-141.584,812.216,83.519,-7.075,-20.271
45394377,60.724,-142.055,812.795,83.232,-7.192,-20.219
45394430,60.464,-142.595,813.649,82.824,-7.148,-20.165
45394483,60.212,-143.022,814.362,82.487,-7.086,-20.123
45394536,59.856,-143.618,815.374,82.011,-6.996,-20.064
45394589,59.746,-143.805,815.834,81.795,-6.956,-20.037
45394642,60.398,-142.697,816.354,81.521,-6.906,-20.004
45394695,62.063,-139.95,817.003,81.143,-6.863,-19.955
45394748,63.543,-137.989,817.604,80.79,-6.967,-19.89
45394801,66.626,-134.321,818.867,80.037,-7.309,-19.728
45394854,69.242,-131.62,820.192,79.269,-7.698,-19.545
45394907,70.352,-130.772,820.858,78.895,-7.944,-19.443
45394960,71.368,-130.226,821.312,78.63,-8.255,-19.345
45395014,71.874,-130.41,821.403,78.563,-8.56,-19.279
45395067,72.05,-130.549,821.428,78.544,-8.69,-19.253
45395121,72.175,-130.804,821.435,78.533,-8.831,-19.227
45395174,72.321,-130.895,821.46,78.516,-8.93,-19.204
45395227,72.522,-130.974,821.496,78.492,-9.044,-19.167
45395280,73.099,-130.935,821.54,78.461,-9.208,-18.985
45395333,74.115,-130.805,821.559,78.448,-9.389,-18.568
45395386,74.78,-131.031,821.534,78.474,-9.542,-18.215
45395439,75.992,-131.198,821.488,78.516,-9.745,-17.584
45395492,76.794,-131.16,821.463,78.539,-9.84,-17.181
45395546,77.661,-131.276,821.364,78.62,-9.874,-16.62
45395599,78.828,-130.677,821.359,78.63,-9.881,-16.083
45395653,79.548,-130.283,821.352,78.636,-9.882,-15.754
45395706,80.66,-129.6,821.361,78.632,-9.882,-15.263
45395759,81.963,-128.846,821.399,78.611,-9.925,-14.709
45395812,83.12,-128.404,821.468,78.572,-10.106,-14.284
45395865,85.245,-127.873,821.669,78.459,-10.607,-13.579
45395918,87.641,-127.326,821.921,78.321,-11.222,-12.804
45395971,89.273,-126.871,822.078,78.237,-11.613,-12.263
45396025,91.441,-126.073,822.254,78.145,-12.041,-11.495
45396078,93.469,-125.02,822.31,78.12,-12.228,-10.636
45396131,94.449,-124.762,822.241,78.172,-12.268,-10.097
45396184,95.477,-125.462,821.96,78.37,-12.309,-9.286
45396238,96.137,-127.291,821.503,78.68,-12.361,-8.485
45396291,96.252,-129.489,821.057,78.972,-12.42,-7.988
45396344,96.402,-133.13,820.307,79.44,-12.514,-7.255
45396397,96.507,-135.578,819.79,79.747,-12.576,-6.8
45396450,96.614,-139.354,819,80.2,-12.665,-6.18
45396503,97.012,-142.181,818.59,80.44,-12.712,-5.572
45396556,97.367,-143.611,818.964,80.28,-12.68,-5.14
45396609,98.004,-145.14,820.749,79.45,-12.512,-4.421
45396663,98.775,-146.15,823.823,78.024,-12.218,-3.6
45396716,99.34,-146.701,825.947,77.052,-12.013,-3.051
45396770,100.265,-147.321,829.311,75.534,-11.679,-2.214
45396824,101.388,-147.328,831.144,74.719,-11.489,-1.513
45396877,102.278,-146.855,831.489,74.566,-11.453,-1.117
45396930,103.794,-145.796,831.478,74.571,-11.454,-0.524
45396983,105.224,-144.768,831.479,74.57,-11.454,0.04
45397036,106.158,-144.09,831.481,74.57,-11.454,0.411
45397089,107.509,-143.091,831.478,74.571,-11.453,0.951
45397143,108.803,-142.109,831.478,74.571,-11.453,1.471
45397197,109.637,-141.467,831.478,74.571,-11.453,1.808
45397250,110.879,-140.495,831.478,74.571,-11.453,2.312
45397303,112.165,-139.471,831.478,74.571,-11.453,2.838
45397356,113.034,-138.767,831.478,74.571,-11.453,3.196
45397409,114.261,-137.761,831.478,74.572,-11.453,3.705
45397462,115.666,-136.596,831.475,74.573,-11.453,4.292
45397515,116.553,-135.841,831.475,74.573,-11.453,4.665
45397568,117.811,-134.753,831.475,74.573,-11.453,5.197
45397622,118.603,-134.063,831.473,74.574,-11.454,5.534
45397675,119.723,-133.186,831.449,74.586,-11.457,6.019
45397729,120.677,-133.135,831.294,74.66,-11.474,6.457
45397782,121.142,-134.171,831.003,74.799,-11.505,6.699
45397835,121.753,-136.622,830.393,75.082,-11.567,7.038
45397888,122.209,-140.811,829.435,75.535,-11.687,7.224
45397942,122.514,-144.163,828.658,75.931,-11.829,7.13
45397995,123.131,-148.685,827.547,76.468,-12.004,7.113
45398048,123.812,-152.883,826.466,76.927,-12.115,7.327
45398101,124.311,-155.443,825.801,77.198,-12.195,7.489
45398155,125.334,-158.159,825.075,77.506,-12.42,7.675
45398208,126.674,-160.272,824.533,77.719,-12.751,7.971
45398262,127.778,-161.317,824.273,77.826,-13.063,8.17
45398315,129.658,-161.97,824.14,77.893,-13.625,8.492
45398368,131.494,-162.251,824.08,77.941,-14.147,8.793
45398421,132.518,-162.439,824.016,77.986,-14.414,8.95
45398474,133.826,-162.646,823.843,78.085,-14.642,9.176
45398527,134.878,-163.313,823.463,78.259,-14.701,9.378
45398581,135.558,-164.03,823.146,78.396,-14.738,9.507
45398633,136.487,-165.41,822.572,78.627,-14.781,9.698
45398686,137.052,-166.822,822.084,78.807,-14.815,9.829
45398740,137.869,-168.737,821.401,79.058,-14.864,10.005
45398794,138.659,-170.462,820.783,79.288,-14.912,10.147
45398848,139.317,-171.767,820.303,79.456,-14.943,10.299
45398901,140.309,-173.373,819.669,79.672,-14.98,10.554
45398955,141.323,-174.657,819.11,79.857,-15.013,10.827
45399008,142.356,-175.861,818.566,80.035,-15.043,11.102
45399061,143.059,-176.234,818.316,80.116,-15.059,11.301
45399114,144.159,-176.061,818.121,80.179,-15.07,11.634
45399167,144.967,-175.528,818.086,80.19,-15.073,11.893
45399220,146.231,-174.446,818.095,80.188,-15.072,12.308
45399273,147.432,-173.42,818.091,80.19,-15.073,12.703
45399326,148.196,-172.758,818.09,80.19,-15.073,12.956
45399380,149.285,-171.791,818.055,80.207,-15.076,13.314
45399434,150.278,-170.616,817.601,80.426,-15.112,13.596
45399488,150.885,-169.672,817.008,80.711,-15.158,13.735
45399542,151.644,-168.06,815.677,81.358,-15.264,13.844
45399595,152.2,-166.835,814.675,81.847,-15.342,13.923
45399648,152.508,-166.273,814.29,82.036,-15.372,13.986
45399701,152.957,-165.801,814.211,82.075,-15.378,14.132
45399755,153.293,-165.491,814.21,82.076,-15.378,14.248
45399809,153.408,-165.383,814.21,82.076,-15.378,14.288
45399862,153.551,-165.243,814.199,82.081,-15.379,14.336
45399915,153.758,-164.866,813.94,82.207,-15.399,14.38
45399969,153.903,-164.368,813.342,82.497,-15.444,14.364
45400022,154.079,-163.516,811.92,83.187,-15.555,14.258
45400075,154.495,-164.132,810.16,83.996,-15.78,14.106
45400128,155.201,-164.871,809.125,84.47,-16.123,14.053
45400181,156.802,-167.062,807.48,85.201,-16.865,13.989
45400235,158.978,-171.144,805.598,85.979,-17.798,13.921
45400288,160.504,-173.653,804.57,86.407,-18.477,13.885
45400341,162.646,-177.019,803.245,86.971,-19.471,13.81
45400394,164.361,-180.168,801.871,87.575,-20.344,13.64
45400447,165.081,-181.587,801.021,87.969,-20.753,13.499
45400500,165.835,-183.131,799.806,88.552,-21.225,13.27
45400553,166.437,-184.753,799.043,88.885,-21.55,13.136
45400607,167.305,-188.065,797.909,89.313,-21.946,12.958
45400660,168.022,-191.672,796.763,89.687,-22.209,12.805
45400713,168.364,-194.075,795.902,89.969,-22.317,12.686
45400766,168.767,-197.192,794.468,90.483,-22.434,12.48
45400819,169.105,-199.384,792.936,91.113,-22.568,12.233
45400872,169.404,-200.608,791.9,91.574,-22.725,12.046
45400925,170.168,-202.645,790.136,92.398,-23.154,11.695
45400978,171.234,-204.866,788.515,93.182,-23.756,11.332
45401031,172.041,-206.221,787.552,93.677,-24.223,11.085
45401084,173.372,-208.147,786.004,94.521,-25.014,10.646
45401137,174.212,-208.681,785.126,95.092,-25.56,10.336
45401191,175.414,-208.863,784.145,95.849,-26.375,9.894
45401244,176.586,-208.761,783.846,96.282,-27.17,9.581
45401297,177.294,-208.909,783.936,96.375,-27.627,9.467
45401350,178.048,-209.191,784.189,96.375,-28.102,9.392
