Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
45028613,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028667,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028720,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028773,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028826,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028881,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028934,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45028988,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45029041,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45029094,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45029148,-77.483,-247.924,865.118,83.418,-9.997,-37.349
45029202,-77.468,-247.912,865.123,83.417,-9.997,-37.35
45029256,-77.385,-247.834,865.16,83.408,-9.995,-37.348
45029309,-76.97,-247.448,865.342,83.361,-9.987,-37.34
45029362,-75.582,-246.157,865.947,83.206,-9.961,-37.313
45029415,-74.517,-245.167,866.408,83.088,-9.941,-37.293
45029468,-72.432,-243.228,867.3,82.855,-9.901,-37.253
45029521,-70.28,-241.226,868.208,82.616,-9.86,-37.211
45029575,-68.955,-239.994,868.761,82.468,-9.835,-37.186
45029628,-66.674,-237.873,869.697,82.216,-9.792,-37.143
45029682,-64.607,-235.951,870.531,81.989,-9.752,-37.105
45029736,-63.351,-234.783,871.032,81.851,-9.728,-37.081
45029789,-61.043,-232.636,871.941,81.597,-9.684,-37.039
45029844,-58.541,-230.31,872.908,81.323,-9.636,-36.993
45029897,-56.903,-228.787,873.431,81.189,-9.613,-36.97
45029952,-53.231,-225.373,874.073,81.111,-9.6,-36.957
45030006,-49.515,-221.919,873.832,81.413,-9.655,-37.009
45030060,-46.968,-219.553,873.173,81.836,-9.731,-37.081
45030113,-43.034,-215.898,871.777,82.656,-9.876,-37.221
45030166,-39.929,-213.018,870.448,83.405,-10.008,-37.351
45030219,-38.286,-211.495,869.841,83.758,-10.069,-37.412
45030272,-36.327,-209.678,869.447,84.024,-10.115,-37.459
45030326,-35.034,-208.478,869.335,84.129,-10.133,-37.477
45030379,-34.375,-207.869,869.376,84.136,-10.135,-37.477
45030434,-33.377,-206.955,869.251,84.234,-10.152,-37.491
45030488,-32.629,-206.281,868.853,84.449,-10.19,-37.525
45030541,-32.406,-206.088,868.508,84.619,-10.219,-37.551
45030594,-32.274,-205.983,867.863,84.926,-10.271,-37.602
45030648,-33.011,-206.706,866.694,85.44,-10.357,-37.686
45030701,-33.744,-207.591,865.765,85.845,-10.462,-37.729
45030755,-34.317,-209.614,864.292,86.473,-10.85,-37.623
45030809,-35.284,-213.193,862.718,87.089,-11.466,-37.363
45030863,-36.472,-216.593,861.652,87.455,-11.896,-37.095
45030917,-37.942,-221.256,860.218,87.925,-12.39,-36.668
45030970,-40.424,-226.796,858.245,88.563,-12.667,-36.221
45031023,-41.601,-229.998,856.832,89.045,-12.743,-35.903
45031078,-42.024,-233.714,854.679,89.853,-12.861,-35.41
45031132,-41.406,-236.21,852.543,90.731,-12.89,-34.932
45031185,-40.522,-237.144,851.413,91.219,-12.809,-34.597
45031238,-39.003,-238.545,850.49,91.576,-12.689,-34.003
