Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
45459848,164.465,-407.576,685.918,150.364,-22.551,-19.777
45459901,164.465,-407.576,685.918,150.364,-22.551,-19.777
45459955,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460009,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460062,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460115,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460168,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460221,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460275,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460329,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460381,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460435,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460489,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460542,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460595,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460649,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460701,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460755,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460808,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460864,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460918,164.465,-407.576,685.918,150.364,-22.551,-19.777
45460971,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461024,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461077,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461131,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461184,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461237,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461290,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461345,164.465,-407.576,685.918,150.364,-22.551,-19.777
45461398,164.464,-407.577,685.915,150.365,-22.55,-19.778
45461452,164.463,-407.577,685.915,150.365,-22.55,-19.778
45461505,164.459,-407.579,685.915,150.365,-22.55,-19.779
45461558,164.454,-407.581,685.916,150.365,-22.55,-19.78
