Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
5130963,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131017,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131071,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131125,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131179,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131232,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131285,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131339,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131393,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131446,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131499,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131554,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131608,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131662,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131716,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131770,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131824,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131878,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131931,325.569,-252.811,818.981,98.791,-10.235,-5.899
5131985,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132038,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132092,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132145,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132198,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132251,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132304,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132358,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132411,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132465,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132518,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132572,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132625,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132678,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132732,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132785,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132839,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132892,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132945,325.569,-252.811,818.981,98.791,-10.235,-5.899
5132998,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133052,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133105,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133159,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133212,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133266,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133319,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133372,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133425,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133479,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133533,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133587,325.569,-252.811,818.981,98.791,-10.235,-5.899
5133640,325.571,-252.813,818.979,98.791,-10.235,-5.899
5133693,325.572,-252.814,818.972,98.793,-10.234,-5.9
5133748,325.57,-252.816,818.972,98.793,-10.234,-5.9
5133801,325.564,-252.824,818.972,98.793,-10.234,-5.901
5133855,325.536,-252.86,818.972,98.793,-10.234,-5.908
5133909,325.455,-252.962,818.97,98.794,-10.233,-5.926
5133963,325,-253.534,818.962,98.797,-10.23,-6.028
5134016,324.374,-254.321,818.952,98.801,-10.227,-6.169
5134070,323.029,-256,818.93,98.81,-10.22,-6.471
5134123,321.315,-257.945,818.775,98.874,-10.168,-6.848
5134176,320.017,-259.136,818.456,99.005,-10.063,-7.126
5134230,317.978,-260.755,817.783,99.283,-9.841,-7.555
5134283,315.757,-262.192,816.835,99.677,-9.524,-8.011
5134337,314.221,-263.194,816.205,99.94,-9.312,-8.326
5134390,311.947,-264.899,815.467,100.249,-9.062,-8.794
5134444,309.647,-266.958,814.999,100.446,-8.903,-9.273
5134497,308.012,-268.491,814.737,100.556,-8.813,-9.612
5134551,305.416,-270.95,814.37,100.691,-8.713,-10.016
5134604,302.658,-273.42,813.913,100.792,-8.673,-9.964
5134657,300.742,-275.083,813.581,100.842,-8.678,-9.734
5134711,297.797,-277.685,813.141,100.824,-8.796,-8.938
5134764,294.761,-280.575,812.891,100.655,-9.055,-7.746
5134817,292.692,-282.608,812.797,100.463,-9.298,-6.686
5134871,289.201,-286.108,812.742,100.137,-9.664,-5.255
5134924,285.751,-289.51,812.688,99.814,-10,-3.918
5134978,283.312,-291.914,812.594,99.635,-10.186,-3.204
5135031,279.281,-295.649,812.401,99.46,-10.381,-2.553
5135085,274.732,-299.387,812.001,99.484,-10.445,-2.458
5135138,271.71,-301.59,811.569,99.622,-10.416,-2.594
5135192,266.047,-305.488,810.683,99.995,-10.284,-3.224
5135246,260.487,-308.815,809.549,100.528,-10.072,-3.967
5135299,256.846,-310.836,808.752,100.906,-9.927,-4.426
5135352,251.579,-313.469,807.469,101.503,-9.719,-4.93
5135405,246.759,-315.589,806.173,102.072,-9.576,-5.052
5135458,244.161,-316.584,805.404,102.374,-9.556,-4.807
5135512,240.087,-318.329,804.388,102.701,-9.647,-4.125
5135566,236.718,-319.654,803.509,102.88,-9.89,-2.849
5135620,234.793,-320.568,803.135,102.867,-10.124,-1.869
5135674,232.241,-321.948,802.768,102.772,-10.537,-0.468
5135728,230.072,-323.445,802.551,102.665,-11.199,0.869
5135781,228.747,-324.505,802.343,102.665,-11.694,1.524
5135835,227.144,-326.62,801.057,103.022,-12.54,2.014
5135889,225.445,-329.362,798.554,103.834,-13.246,1.739
5135942,224.151,-331.595,796.264,104.591,-13.633,1.204
5135997,222.063,-335.345,792.599,105.79,-14.146,0.122
5136051,220.124,-339.481,789.238,106.799,-14.772,-0.963
5136104,218.956,-342.228,787.21,107.372,-15.229,-1.658
5136157,217.32,-345.257,785.003,108.155,-16.086,-2.714
5136211,215.387,-348.101,783.029,108.917,-16.97,-3.83
5136264,214.067,-349.434,782.027,109.364,-17.509,-4.52
5136317,211.784,-351.316,780.699,110.003,-18.297,-5.583
5136371,209.476,-353.627,779.328,110.641,-19.058,-6.66
5136425,208.042,-355.334,778.098,111.102,-19.492,-7.351
5136478,205.918,-358.679,775.462,111.871,-19.975,-8.36
5136531,204.081,-362.202,772.441,112.639,-20.302,-9.257
5136584,203.034,-364.449,770.575,113.07,-20.48,-9.768
5136637,201.653,-368.082,768.036,113.459,-20.757,-10.383
5136690,200.246,-371.974,766.2,113.371,-21.139,-10.574
5136743,199.167,-374.525,765.671,112.948,-21.557,-10.263
5136796,197.53,-378.468,765.311,111.994,-22.425,-9.33
