Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
5101016,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101070,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101124,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101177,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101231,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101284,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101338,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101392,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101445,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101498,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101552,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101605,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101659,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101712,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101767,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101820,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101873,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101926,409.348,-390.169,689.257,138.138,-20.695,-16.081
5101980,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102034,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102087,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102140,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102193,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102247,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102301,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102354,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102408,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102461,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102514,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102569,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102622,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102676,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102729,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102782,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102835,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102888,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102942,409.348,-390.169,689.257,138.138,-20.695,-16.081
5102996,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103050,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103103,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103157,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103210,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103264,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103319,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103373,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103426,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103480,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103533,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103588,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103641,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103695,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103748,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103802,409.348,-390.169,689.257,138.138,-20.695,-16.081
5103855,409.348,-390.169,689.257,138.138,-20.695,-16.081
