Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
12258808,143.042,-75.095,877.981,-115.598,1.198,-103.45
12258861,143.042,-75.095,877.981,-115.598,1.198,-103.45
12258916,143.042,-75.095,877.981,-115.598,1.198,-103.45
12258970,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259024,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259078,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259132,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259186,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259239,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259292,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259346,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259400,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259453,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259508,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259561,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259615,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259668,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259721,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259775,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259829,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259883,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259936,143.042,-75.095,877.981,-115.598,1.198,-103.45
12259990,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260044,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260097,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260150,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260203,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260256,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260309,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260362,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260415,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260468,143.042,-75.095,877.981,-115.598,1.198,-103.45
12260521,143.042,-75.095,877.981,-115.598,1.198,-103.45
