Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
9425956,221.48,-237.492,883.573,63.685,16.21,74.297
9426010,221.48,-237.492,883.573,63.685,16.21,74.297
9426063,221.48,-237.492,883.573,63.685,16.21,74.297
9426117,221.48,-237.492,883.573,63.685,16.21,74.297
9426170,221.48,-237.492,883.573,63.685,16.21,74.297
9426223,221.491,-237.539,883.56,63.685,16.207,74.295
9426276,221.697,-238.206,883.364,63.695,16.18,74.295
9426329,222.402,-240.252,882.92,63.695,16.182,74.295
9426382,223.14,-242.396,882.451,63.693,16.185,74.295
9426435,224.386,-246.008,881.743,63.667,16.222,74.289
9426488,225.767,-250.006,881.264,63.562,16.366,74.261
9426541,226.655,-252.537,881.043,63.469,16.483,74.24
9426595,228.027,-256.182,881.111,63.204,16.75,74.197
9426649,229.592,-259.772,881.573,62.76,17.077,74.161
9426702,230.796,-262.341,881.817,62.425,17.261,74.152
9426756,232.762,-266.404,881.854,61.944,17.429,74.172
9426809,234.919,-270.728,881.107,61.579,17.349,74.257
9426862,236.473,-273.809,880.177,61.398,17.167,74.346
9426915,238.868,-278.783,877.875,61.325,16.666,74.521
9426968,241.644,-284.652,874.873,61.306,16.017,74.731
9427021,243.513,-288.58,872.828,61.286,15.577,74.871
9427074,246.263,-294.348,869.765,61.253,14.926,75.074
9427127,248.723,-299.428,867.013,61.205,14.338,75.257
9427180,250.418,-303.136,864.97,61.211,13.938,75.372
9427234,252.543,-307.669,862.434,61.195,13.432,75.519
9427287,253.795,-310.387,860.892,61.195,13.134,75.603
9427340,255.489,-314.241,858.677,61.23,12.739,75.707
9427393,257.082,-318.117,856.404,61.326,12.382,75.791
9427446,258.032,-320.296,855.095,61.377,12.176,75.846
9427499,259.486,-323.84,852.961,61.478,11.857,75.919
9427552,261.169,-326.939,850.92,61.574,11.556,76.042
9427605,262.793,-328.3,849.715,61.598,11.355,76.223
9427658,265.848,-329.653,847.95,61.668,11.089,76.605
9427711,269.605,-330.691,845.98,61.822,10.853,77.09
9427764,272.557,-331.389,844.469,61.947,10.68,77.47
9427817,277.373,-332.591,841.99,62.136,10.396,78.078
9427870,282.181,-334.291,839.188,62.354,10.076,78.653
9427924,285.304,-335.661,837.212,62.509,9.857,79.009
9427977,289.668,-337.877,834.275,62.744,9.542,79.482
9428030,293.25,-340.203,831.509,63.05,9.313,79.835
9428083,295.321,-341.649,829.915,63.23,9.208,80.029
9428137,298.228,-343.628,828.334,63.364,9.293,80.276
9428191,300.108,-344.701,827.812,63.363,9.487,80.429
9428244,302.895,-345.437,828.289,63.184,10.098,80.663
9428297,305.682,-344.937,829.346,62.99,10.784,80.945
9428351,307.438,-344.159,830.248,62.874,11.269,81.137
9428404,310.045,-342.519,831.555,62.775,11.967,81.447
9428458,312.34,-341.187,832.277,62.834,12.531,81.719
9428512,313.948,-340.472,832.221,62.992,12.793,81.915
9428565,316.839,-340.1,830.965,63.401,12.95,82.262
9428618,320.319,-340.492,828.881,63.831,12.933,82.655
9428671,322.929,-341.215,827.174,64.069,12.842,82.931
9428724,327.312,-343.034,824.096,64.335,12.568,83.366
9428778,331.928,-345.469,820.512,64.596,12.201,83.794
9428832,334.798,-346.869,818.311,64.75,11.973,84.062
9428885,338.87,-349.359,814.88,64.989,11.621,84.41
9428939,341.818,-351.55,812.138,65.18,11.34,84.64
9428993,343.153,-352.269,811.023,65.258,11.223,84.756
9429046,344.777,-352.773,809.882,65.335,11.107,84.915
9429099,346.295,-352.635,809.144,65.384,11.032,85.094
9429152,347.1,-352.335,808.875,65.402,11.004,85.2
9429205,347.966,-351.614,808.823,65.4,11.001,85.333
9429258,348.456,-351.002,808.911,65.392,11.015,85.419
9429312,348.52,-350.935,808.913,65.392,11.015,85.429
9429364,348.509,-350.946,808.913,65.392,11.015,85.428
9429417,348.508,-350.945,808.909,65.393,11.014,85.428
9429470,348.508,-350.945,808.909,65.393,11.014,85.428
9429523,348.505,-350.95,808.908,65.393,11.013,85.427
9429576,348.503,-350.955,808.903,65.394,11.013,85.427
9429629,348.503,-350.955,808.892,65.396,11.01,85.427
9429682,348.511,-350.969,808.828,65.405,10.997,85.429
9429736,348.548,-351.036,808.765,65.409,10.991,85.43
9429789,348.547,-351.036,808.737,65.415,10.983,85.431
9429842,348.541,-351.025,808.613,65.44,10.944,85.435
9429895,348.497,-350.946,808.288,65.514,10.834,85.449
9429948,348.38,-350.735,807.521,65.691,10.568,85.481
9430001,348.215,-350.441,806.247,65.979,10.138,85.531
9430054,348.134,-350.297,805.124,66.219,9.777,85.572
9430107,348.535,-351.027,802.625,66.633,9.153,85.638
9430160,349.294,-352.402,799.997,66.999,8.602,85.694
9430213,350.038,-353.746,798.284,67.184,8.32,85.721
9430266,351.627,-356.565,795.724,67.361,8.041,85.75
9430319,353.71,-360.178,792.505,67.565,7.718,85.787
9430372,354.869,-362.27,790.649,67.685,7.535,85.803
9430425,355.843,-363.987,789.104,67.784,7.383,85.819
9430478,356.057,-364.051,788.95,67.79,7.365,85.838
9430532,357.175,-362.901,789.04,67.78,7.373,86.017
9430585,359.166,-360.846,789.097,67.776,7.379,86.336
9430639,360.61,-359.404,789.099,67.775,7.379,86.565
9430693,362.861,-357.134,789.105,67.775,7.382,86.925
9430748,364.522,-355.428,789.126,67.774,7.386,87.192
9430801,365.067,-354.735,789.327,67.759,7.408,87.286
9430855,365.239,-353.519,790.922,67.642,7.586,87.36
9430908,365.632,-351.414,793.519,67.45,7.876,87.499
9430962,366.02,-349.536,795.701,67.289,8.121,87.629
9431015,366.458,-346.859,798.906,67.057,8.485,87.8
9431068,366.651,-344.956,801.336,66.966,8.827,87.904
9431121,366.947,-344.662,801.886,67.05,8.99,87.939
9431174,368.037,-346.11,800.879,67.368,9.094,87.959
9431227,369.889,-348.934,798.337,67.773,9.027,87.988
9431280,371.734,-351.104,796.122,67.974,8.856,88.06
9431333,375.047,-353.897,792.909,68.176,8.554,88.247
9431386,377.252,-355.238,791.557,68.244,8.44,88.392
9431439,378.037,-355.417,791.675,68.224,8.468,88.455
9431492,378.403,-355.427,792.583,68.147,8.584,88.478
9431545,378.481,-355.545,793.151,68.107,8.647,88.472
9431598,378.437,-355.545,792.919,68.181,8.559,88.477
9431651,378.211,-355.638,791.304,68.599,8.162,88.491
9431704,377.939,-355.83,789.394,69.113,7.734,88.497
9431757,377.683,-356.346,785.474,70.057,6.821,88.526
9431810,377.588,-356.761,781.439,70.929,5.805,88.569
9431863,377.754,-357.223,779.445,71.305,5.341,88.588
9431917,378.336,-358.272,777.716,71.536,5.054,88.599
9431970,378.92,-359.321,776.749,71.62,4.988,88.598
9432024,379.139,-359.928,776.215,71.703,4.972,88.586
9432077,379.161,-360.619,775.662,71.899,5.035,88.552
9432130,378.967,-361.247,775.221,72.165,5.163,88.501
9432183,378.821,-361.723,774.891,72.365,5.26,88.464
9432236,378.545,-362.465,774.388,72.697,5.427,88.402
9432289,378.19,-363.047,774.038,73.011,5.602,88.343
9432343,378.053,-363.416,773.791,73.176,5.684,88.313
9432396,378.255,-364.093,773.194,73.302,5.692,88.299
9432450,378.771,-364.922,772.376,73.354,5.615,88.304
9432503,379.123,-365.482,771.82,73.387,5.562,88.307
9432557,379.821,-366.605,770.706,73.456,5.458,88.314
9432611,380.469,-367.645,769.669,73.521,5.362,88.32
9432664,380.861,-368.274,769.039,73.56,5.303,88.324
9432717,381.211,-368.834,768.477,73.594,5.251,88.327
9432771,381.335,-369.03,768.28,73.605,5.232,88.328
9432824,381.377,-369.098,768.211,73.61,5.225,88.329
9432877,381.389,-369.117,768.191,73.611,5.223,88.329
9432930,381.389,-369.117,768.191,73.611,5.223,88.329
9432983,381.388,-369.116,768.188,73.612,5.222,88.329
9433036,381.388,-369.115,768.185,73.612,5.221,88.329
9433089,381.386,-369.113,768.181,73.613,5.22,88.329
9433142,381.379,-369.101,768.153,73.62,5.209,88.329
9433195,381.377,-369.098,768.147,73.622,5.207,88.33
9433248,381.375,-369.094,768.138,73.624,5.204,88.33
9433301,381.364,-369.077,768.098,73.634,5.189,88.331
9433354,381.23,-368.863,767.61,73.753,5.009,88.341
9433407,380.997,-368.492,766.772,73.958,4.699,88.357
9433460,380.56,-367.794,765.232,74.337,4.126,88.384
9433513,380.204,-367.225,764.009,74.639,3.668,88.404
9433566,380.102,-367.062,763.664,74.725,3.539,88.408
9433619,380.103,-367.063,763.666,74.724,3.54,88.408
9433672,380.103,-367.063,763.666,74.724,3.54,88.408
9433725,380.108,-367.071,763.678,74.721,3.545,88.408
9433778,380.113,-367.079,763.688,74.718,3.549,88.408
9433831,380.116,-367.084,763.686,74.718,3.549,88.408
9433884,380.116,-367.084,763.686,74.718,3.549,88.408
9433937,380.117,-367.086,763.684,74.718,3.549,88.408
9433990,380.119,-367.088,763.69,74.717,3.551,88.408
9434044,380.128,-367.103,763.72,74.709,3.562,88.408
9434097,380.127,-367.105,763.722,74.709,3.564,88.407
9434150,380.129,-367.109,763.723,74.708,3.564,88.407
9434203,380.204,-367.223,763.614,74.712,3.554,88.408
9434256,380.713,-368.035,762.84,74.753,3.49,88.41
9434309,381.331,-369.028,761.842,74.813,3.399,88.414


