Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
1631590,197.958,-359.283,791.984,84.944,-8.725,50.443
1631643,197.958,-359.283,791.984,84.944,-8.725,50.443
1631696,197.958,-359.283,791.984,84.944,-8.725,50.443
1631749,197.958,-359.283,791.984,84.944,-8.725,50.443
1631802,197.958,-359.283,791.984,84.944,-8.725,50.443
1631855,197.958,-359.283,791.984,84.944,-8.725,50.443
1631908,197.958,-359.283,791.984,84.944,-8.725,50.443
1631961,197.958,-359.283,791.984,84.944,-8.725,50.443
1632015,197.958,-359.283,791.984,84.944,-8.725,50.443
1632068,197.958,-359.283,791.984,84.944,-8.725,50.443
1632121,197.958,-359.283,791.984,84.944,-8.725,50.443
1632174,197.958,-359.283,791.984,84.944,-8.725,50.443
1632227,197.958,-359.283,791.984,84.944,-8.725,50.443
1632280,197.958,-359.283,791.984,84.944,-8.725,50.443
1632334,197.958,-359.283,791.984,84.944,-8.725,50.443
1632387,197.958,-359.283,791.984,84.944,-8.725,50.443
1632440,197.958,-359.283,791.984,84.944,-8.725,50.443
1632493,197.958,-359.283,791.984,84.944,-8.725,50.443
1632546,197.958,-359.283,791.984,84.944,-8.725,50.443
1632599,197.958,-359.283,791.984,84.944,-8.725,50.443
1632652,197.958,-359.283,791.984,84.944,-8.725,50.443
1632705,197.958,-359.283,791.984,84.944,-8.725,50.443
1632758,197.958,-359.283,791.984,84.944,-8.725,50.443
1632811,197.958,-359.283,791.984,84.944,-8.725,50.443
1632865,197.958,-359.283,791.984,84.944,-8.725,50.443
1632918,197.958,-359.283,791.984,84.944,-8.725,50.443
1632971,197.958,-359.283,791.984,84.944,-8.725,50.443
1633024,197.958,-359.283,791.984,84.944,-8.725,50.443
1633077,197.958,-359.283,791.984,84.944,-8.725,50.443
1633130,197.958,-359.283,791.984,84.944,-8.725,50.443
1633183,197.958,-359.283,791.984,84.944,-8.725,50.443
1633236,197.958,-359.283,791.984,84.944,-8.725,50.443
1633289,197.958,-359.283,791.984,84.944,-8.725,50.443
1633342,197.958,-359.283,791.984,84.944,-8.725,50.443
1633395,197.958,-359.283,791.984,84.944,-8.725,50.443
1633448,197.958,-359.283,791.984,84.944,-8.725,50.443
1633501,197.958,-359.283,791.984,84.944,-8.725,50.443
1633554,197.958,-359.283,791.984,84.944,-8.725,50.443
1633607,197.958,-359.283,791.984,84.944,-8.725,50.443
1633660,197.958,-359.283,791.984,84.944,-8.725,50.443
1633713,197.958,-359.283,791.984,84.944,-8.725,50.443
1633766,197.958,-359.283,791.984,84.944,-8.725,50.443
1633819,197.958,-359.283,791.984,84.944,-8.725,50.443
1633872,197.958,-359.283,791.984,84.944,-8.725,50.443
1633925,197.958,-359.283,791.984,84.944,-8.725,50.443
1633978,197.958,-359.283,791.984,84.944,-8.725,50.443
1634031,197.958,-359.283,791.984,84.944,-8.725,50.443
1634084,197.958,-359.283,791.984,84.944,-8.725,50.443
1634138,197.958,-359.283,791.984,84.944,-8.725,50.443
1634191,197.958,-359.283,791.984,84.944,-8.725,50.443
1634244,197.958,-359.283,791.984,84.944,-8.725,50.443
1634297,197.958,-359.283,791.984,84.944,-8.725,50.443
1634351,197.958,-359.283,791.984,84.944,-8.725,50.443
1634404,197.958,-359.283,791.984,84.944,-8.725,50.443
1634457,197.958,-359.283,791.984,84.944,-8.725,50.443
1634510,197.958,-359.283,791.984,84.944,-8.725,50.443
1634563,197.958,-359.283,791.984,84.944,-8.725,50.443
1634616,197.958,-359.283,791.984,84.944,-8.725,50.443
1634669,197.958,-359.283,791.984,84.944,-8.725,50.443
1634722,197.958,-359.283,791.984,84.944,-8.725,50.443
1634776,197.958,-359.283,791.984,84.944,-8.725,50.443
1634830,197.958,-359.283,791.984,84.944,-8.725,50.443
1634884,197.958,-359.283,791.984,84.944,-8.725,50.443
1634937,197.958,-359.283,791.984,84.944,-8.725,50.443
1634990,197.958,-359.283,791.984,84.944,-8.725,50.443
1635043,197.958,-359.283,791.984,84.944,-8.725,50.443
1635096,197.962,-359.3,791.982,84.942,-8.724,50.443
1635150,197.968,-359.331,792.017,84.927,-8.712,50.446
1635203,197.986,-359.436,792.134,84.88,-8.671,50.453
1635256,198.058,-359.824,792.569,84.702,-8.523,50.48
1635309,198.181,-360.486,793.319,84.396,-8.268,50.526
1635362,198.286,-361.067,793.985,84.126,-8.043,50.564
1635415,198.464,-362.083,795.167,83.653,-7.643,50.63
1635468,198.64,-363.354,796.655,83.069,-7.14,50.7
1635521,198.77,-364.183,797.658,82.678,-6.804,50.746
1635574,198.96,-365.508,799.289,82.053,-6.26,50.813
1635627,199.142,-366.803,800.927,81.43,-5.724,50.873
1635680,199.256,-367.571,801.922,81.053,-5.405,50.906
1635733,199.324,-368.491,803.097,80.615,-5.025,50.933
1635786,198.875,-369.283,803.782,80.361,-4.805,50.872
1635840,197.84,-369.991,803.974,80.289,-4.744,50.714
1635893,195.45,-371.285,804.003,80.278,-4.735,50.345
1635946,193.528,-372.296,804.005,80.277,-4.735,50.048
1635999,190.384,-373.917,804.009,80.273,-4.737,49.565
1636052,187.214,-375.515,804.017,80.267,-4.742,49.08
1636105,185.16,-376.537,804.018,80.265,-4.744,48.766
1636158,182.4,-378.003,804.008,80.251,-4.743,48.345
1636211,179.832,-379.606,804.42,80.083,-4.623,47.96
1636264,178.546,-380.818,805.198,79.769,-4.421,47.773
1636317,177.231,-382.906,807.158,78.999,-3.898,47.592
1636370,176.055,-385.376,809.836,77.982,-3.152,47.436
1636423,175.25,-387.149,811.908,77.239,-2.533,47.33
1636477,173.835,-389.799,815.022,76.152,-1.594,47.13
1636530,172.024,-392.308,817.471,75.285,-0.847,46.858
1636583,170.659,-393.679,818.56,74.898,-0.515,46.653
1636637,168.649,-394.887,819.069,74.72,-0.362,46.355
1636690,166.524,-395.771,819.04,74.731,-0.398,45.945
1636743,165.251,-396.304,819.04,74.733,-0.492,45.417
1636796,163.4,-397.067,819.034,74.745,-0.741,44.245
1636850,162.226,-397.547,819.032,74.758,-0.96,43.275
1636903,160.677,-398.172,819.026,74.785,-1.311,41.767
1636956,159.343,-398.702,819.015,74.817,-1.613,40.475
1637009,158.501,-399.037,819.015,74.832,-1.75,39.849
1637062,157.423,-399.467,819.02,74.84,-1.837,39.368
1637115,156.393,-399.87,819.019,74.841,-1.836,39.221
1637168,155.642,-400.161,819.018,74.843,-1.835,39.113
1637221,154.38,-400.65,819.018,74.842,-1.833,38.937
1637274,152.824,-401.246,819.018,74.842,-1.833,38.715
1637327,151.667,-401.685,819.018,74.842,-1.833,38.55
1637381,149.489,-402.501,819.018,74.842,-1.833,38.239
1637434,146.94,-403.439,819.018,74.842,-1.834,37.877
1637487,145.325,-404.024,819.019,74.841,-1.834,37.648
1637540,143.438,-404.7,819.022,74.84,-1.835,37.381
1637593,141.916,-405.244,819.037,74.834,-1.831,37.166
1637646,140.656,-405.691,819.051,74.829,-1.827,36.988
1637699,138.039,-406.588,819.052,74.83,-1.825,36.619
1637753,135.594,-407.409,819.052,74.83,-1.825,36.275
1637806,131.868,-408.628,819.047,74.832,-1.824,35.753
1637859,128.003,-409.854,819.046,74.833,-1.824,35.214
1637912,125.543,-410.614,819.046,74.833,-1.823,34.877
1637965,122.417,-411.558,819.047,74.831,-1.82,34.456
1638018,120.141,-412.236,819.059,74.823,-1.801,34.21
1638071,119.125,-412.546,819.084,74.806,-1.748,34.251
1638124,117.482,-413.196,819.409,74.677,-1.565,34.389
1638177,116.17,-414.201,820.571,74.25,-1.187,34.477
1638230,115.171,-415.159,821.847,73.791,-0.843,34.38
1638284,113.441,-416.887,824.135,72.967,-0.236,34.157
1638337,111.118,-418.828,826.355,72.156,0.358,33.842
1638390,109.424,-420.146,827.355,71.759,0.651,33.613
1638443,106.851,-422.944,827.001,71.613,0.758,33.276
1638496,104.996,-425.549,825.606,71.772,0.643,33.043
1638550,101.953,-430.694,822.745,72.085,0.413,32.672
1638603,98.829,-436.866,819.135,72.474,0.117,32.308
1638656,97.35,-440.913,816.689,72.688,-0.147,32.151
1638709,96.361,-446.061,813.574,72.786,-0.734,32.077
1638762,96.449,-449.3,811.778,72.561,-1.484,32.137
1638815,96.107,-450.377,811.364,72.359,-1.873,32.116
1638869,94.59,-451.015,811.416,72.118,-2.218,31.94
1638923,92.276,-451.483,811.533,72.015,-2.348,31.633
1638976,90.607,-451.795,811.569,72.005,-2.396,31.309
1639029,88.401,-452.102,811.709,71.995,-2.537,30.596
1639082,86.811,-452.259,811.875,71.967,-2.811,29.703
1639135,86.206,-452.41,811.945,71.925,-3.099,29.029
1639188,85.703,-452.606,812.052,71.842,-3.534,28.154
1639241,85.945,-452.954,812.7,71.513,-3.929,27.472
1639294,86.286,-453.456,813.757,71.061,-4.049,27.093
1639347,86.642,-454.549,816.093,70.142,-3.964,26.575
1639401,86.546,-455.912,818.906,69.126,-3.541,26.07
1639454,86.466,-456.701,820.706,68.484,-3.243,25.815
1639507,86.373,-457.548,822.729,67.768,-2.883,25.569
1639560,86.387,-457.795,823.352,67.544,-2.762,25.54
1639613,86.436,-457.734,823.443,67.523,-2.75,25.547
1639667,86.462,-457.664,823.489,67.518,-2.745,25.552
1639720,86.504,-457.598,823.516,67.518,-2.745,25.557
1639773,86.552,-457.417,823.609,67.512,-2.742,25.561
1639826,86.732,-456.823,823.947,67.484,-2.724,25.577
1639879,86.967,-455.962,824.375,67.464,-2.712,25.597
1639932,87.72,-453.682,825.345,67.457,-2.708,25.663
1639985,88.169,-451.196,826.652,67.378,-2.66,25.692
1640038,88.32,-449.719,827.618,67.274,-2.597,25.697
1640091,88.535,-447.621,829.006,67.12,-2.502,25.704
1640144,88.679,-446.21,829.93,67.017,-2.439,25.708
1640198,88.748,-445.534,830.365,66.97,-2.41,25.71
1640251,88.797,-445.137,830.623,66.941,-2.392,25.712
1640304,88.797,-445.137,830.623,66.941,-2.392,25.712
1640357,88.797,-445.137,830.623,66.941,-2.392,25.712
1640410,88.797,-445.137,830.623,66.941,-2.392,25.712
1640463,88.797,-445.137,830.623,66.941,-2.392,25.712
1640516,88.797,-445.137,830.623,66.941,-2.392,25.712
1640569,88.797,-445.137,830.623,66.941,-2.392,25.712
1640622,88.797,-445.137,830.623,66.941,-2.392,25.712
1640675,88.821,-445.107,830.629,66.94,-2.398,25.716
1640728,88.824,-445.105,830.626,66.941,-2.4,25.716
1640781,88.824,-445.104,830.623,66.942,-2.401,25.716
1640835,88.823,-445.111,830.608,66.946,-2.403,25.716
1640888,88.823,-445.111,830.601,66.948,-2.404,25.716
1640941,88.82,-445.143,830.562,66.956,-2.409,25.716
1640994,88.832,-445.02,830.216,67.079,-2.485,25.71
1641047,88.885,-444.484,828.879,67.564,-2.784,25.686
1641101,88.954,-443.832,827.301,68.138,-3.14,25.656
1641154,89.084,-442.535,824.308,69.238,-3.816,25.586
1641207,89.174,-441.676,822.422,69.936,-4.247,25.536
1641260,89.26,-440.874,820.722,70.57,-4.638,25.486
1641313,89.268,-440.827,820.632,70.604,-4.661,25.484
1641366,89.284,-440.865,820.716,70.569,-4.651,25.49
1641419,89.436,-440.878,820.768,70.517,-4.721,25.517
1641472,89.82,-440.893,820.859,70.399,-4.915,25.586
1641525,90.076,-440.91,820.915,70.321,-5.045,25.632
1641578,90.381,-440.93,820.986,70.226,-5.199,25.688
1641631,90.53,-440.945,821.017,70.18,-5.275,25.715
1641684,90.541,-440.953,821.015,70.177,-5.281,25.717
1641737,90.54,-440.956,821.013,70.177,-5.281,25.717
1641790,90.54,-440.956,821.014,70.177,-5.281,25.717
1641843,90.54,-440.956,821.014,70.177,-5.281,25.717
1641896,90.54,-440.956,821.014,70.177,-5.281,25.717
1641949,90.54,-440.959,821.012,70.177,-5.281,25.717
1642002,90.539,-440.958,821.012,70.177,-5.281,25.717
1642055,90.539,-440.958,821.012,70.178,-5.28,25.717
1642108,90.539,-440.958,821.012,70.178,-5.28,25.717
1642161,90.539,-440.959,821.013,70.177,-5.28,25.718
1642214,90.539,-440.959,821.013,70.177,-5.28,25.718
1642267,90.537,-440.979,821,70.179,-5.281,25.718
1642320,90.532,-441.028,820.967,70.182,-5.283,25.717
1642373,90.52,-441.142,820.892,70.191,-5.288,25.716
1642426,90.508,-441.261,820.814,70.2,-5.294,25.716
1642479,90.499,-441.348,820.757,70.206,-5.298,25.715
1642532,90.497,-441.368,820.744,70.208,-5.299,25.715
1642585,90.491,-441.425,820.707,70.212,-5.301,25.714
1642638,90.431,-442.017,820.323,70.254,-5.327,25.711
1642691,90.309,-443.206,819.539,70.343,-5.381,25.702
1642744,90.028,-445.988,817.689,70.552,-5.51,25.683
1642797,89.797,-449.542,815.422,70.768,-5.678,25.681
1642851,89.908,-451.682,814.499,70.711,-5.8,25.734
1642904,90.399,-453.943,814.642,70.199,-5.972,25.895
1642957,90.86,-455.152,816.647,69.279,-5.813,26.081
1643010,90.801,-455.809,818.083,68.744,-5.485,26.136
1643063,90.716,-456.627,820.075,68.02,-5.029,26.204
1643116,90.544,-457.039,821.007,67.706,-4.742,26.208
1643170,90.272,-457.04,820.952,67.785,-4.604,26.154
1643223,89.845,-457.03,820.836,67.92,-4.392,26.067
1643276,89.476,-457.015,820.728,68.04,-4.212,25.992
1643329,89.361,-457.008,820.697,68.077,-4.156,25.969
1643382,89.335,-457.005,820.693,68.085,-4.142,25.964
1643436,89.333,-457.005,820.693,68.085,-4.142,25.963
1643489,89.334,-457.004,820.691,68.086,-4.143,25.964
1643542,89.333,-457.044,820.664,68.088,-4.146,25.964
1643596,89.329,-457.111,820.619,68.092,-4.15,25.964
1643650,89.325,-457.151,820.592,68.095,-4.152,25.964
1643703,89.329,-457.158,820.589,68.094,-4.155,25.965
1643756,89.338,-457.166,820.586,68.092,-4.16,25.967
1643810,89.351,-457.181,820.579,68.088,-4.168,25.97
1643863,89.35,-457.266,820.524,68.092,-4.176,25.97
1643916,89.348,-457.335,820.477,68.096,-4.181,25.971
1643969,89.334,-457.501,820.365,68.107,-4.191,25.971
