Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
3136679,262,-394,808,86,0,16
3136732,262,-394,808,86,0,16
3136786,262,-394,808,86,0,16
3136839,262,-394,808,86,0,16
3136893,261.996,-394.009,807.996,86,-0.002,16.001
3136946,261.996,-394.009,807.996,86,-0.002,16.002
3136999,261.994,-394.01,807.996,86,-0.002,16.003
3137052,261.989,-394.015,807.997,85.999,0.002,16.051
3137106,261.987,-394.017,807.999,85.999,0.037,16.559
3137159,261.988,-394.018,808,85.999,0.086,17.261
3137212,261.985,-394.021,808.003,86.002,0.204,18.942
3137265,261.937,-394.087,808.041,85.995,0.368,21.282
3137319,261.926,-394.225,808.188,85.937,0.502,23.134
3137373,261.934,-394.618,808.642,85.75,0.745,26.21
3137426,261.574,-395.525,809.412,85.434,1.065,29.594
3137479,260.972,-396.422,809.995,85.203,1.3,31.709
3137532,259.877,-397.899,810.896,84.869,1.693,34.856
3137585,258.638,-399.526,811.887,84.525,2.139,37.949
3137638,257.759,-400.641,812.56,84.301,2.436,39.745
3137691,256.562,-402.086,813.405,84.076,2.908,42.687
3137744,255.806,-402.864,813.78,84.022,3.193,44.589
3137797,254.678,-403.855,814.133,84.057,3.592,47.51
3137850,253.621,-404.547,814.165,84.216,3.87,50.032
3137904,253.11,-404.886,814.166,84.306,4,51.587
3137957,253.01,-405.037,814.166,84.352,4.059,53.695
3138010,253.101,-405.076,814.166,84.382,4.104,55.807
3138063,253.103,-405.145,814.167,84.386,4.118,57.13
3138116,252.995,-405.314,814.17,84.398,4.156,59.17
3138169,253.113,-405.326,814.169,84.413,4.202,61.071
3138222,253.301,-405.292,814.171,84.389,4.202,62.362
3138275,253.548,-405.301,814.177,84.295,4.16,64.363
3138328,253.675,-405.398,814.193,84.166,4.11,66.343
3138381,253.631,-405.543,814.201,84.073,4.078,67.543
3138435,253.102,-406.03,814.22,83.931,4.031,68.965
3138488,251.894,-406.934,814.24,83.74,3.928,69.693
3138541,250.683,-407.801,814.257,83.555,3.796,69.683
3138594,248.14,-409.557,814.293,83.217,3.533,69.259
3138647,245.935,-411.033,814.324,82.967,3.34,68.903
3138700,241.937,-413.661,814.386,82.525,2.998,68.261
3138753,237.692,-416.455,814.482,81.949,2.553,67.571
3138806,235.412,-418.017,814.568,81.493,2.201,67.18
3138859,231.822,-420.528,814.759,80.626,1.535,66.551
3138912,229.043,-422.59,815.001,79.703,0.828,66.038
3138966,227.209,-423.936,815.182,79.094,0.364,65.707
3139019,224.169,-426.025,815.449,78.285,-0.252,65.197
3139072,220.776,-428.144,815.666,77.68,-0.711,64.673
3139125,218.736,-429.403,815.807,77.311,-0.99,64.362
3139178,216.03,-431.073,816.016,76.784,-1.389,63.949
3139231,213.596,-432.543,816.202,76.327,-1.737,63.585
3139283,212.029,-433.463,816.315,76.059,-1.942,63.355
3139336,209.811,-434.747,816.478,75.697,-2.213,63.033
3139389,208.384,-435.562,816.578,75.46,-2.397,62.827
3139442,206.271,-436.771,816.741,75.085,-2.687,62.523
3139495,204.479,-437.899,816.982,74.569,-3.08,62.255
3139549,203.357,-438.607,817.142,74.218,-3.354,62.088
3139602,201.472,-439.667,817.261,73.698,-3.85,61.812
3139655,199.527,-440.458,816.98,73.306,-4.486,61.529
3139708,198.066,-440.847,816.501,73.16,-4.988,61.318
3139761,196.081,-441.041,815.353,73.091,-5.874,61.019
3139814,194.005,-441.19,813.966,73.042,-6.897,60.693
3139867,193.057,-441.168,813.123,72.93,-7.619,60.526
3139921,192.018,-441.477,812.049,72.599,-8.676,60.32
3139974,191.283,-443.498,810.316,72.221,-9.71,60.122
3140027,190.789,-446.224,808.327,72.038,-10.429,59.969
3140080,190.457,-452.092,803.823,71.918,-11.651,59.749
3140133,190.518,-456.244,800.518,71.877,-12.474,59.629
3140187,191.392,-463.9,794.642,71.83,-13.689,59.522
3140240,191.978,-469.839,790.785,71.522,-14.547,59.461
3140293,192.017,-472.063,789.676,71.172,-15,59.426
3140346,191.997,-472.874,790.081,70.442,-15.508,59.439
3140399,191.978,-472.428,791.224,69.811,-15.838,59.48
3140452,191.69,-471.78,792.096,69.53,-15.934,59.476
3140505,190.854,-470.991,793.168,69.288,-15.967,59.412
3140559,189.775,-470.877,793.635,69.216,-15.962,59.284
3140612,189.354,-471.024,793.702,69.198,-16.014,59.155
3140666,188.997,-471.537,793.675,69.166,-16.353,58.595
3140720,188.671,-471.911,794.036,68.992,-16.931,57.771
3140773,188.355,-472.229,794.438,68.798,-17.445,57.09
3140826,187.71,-472.66,795.372,68.415,-18.257,56.065
3140879,186.955,-472.539,797.449,67.773,-19.03,55.174
3140932,186.651,-471.958,799.441,67.226,-19.402,54.822
3140986,186.75,-470.49,802.906,66.269,-19.764,54.707
3141039,187.462,-468.587,806.455,65.268,-19.92,54.983
3141092,188.095,-467.187,808.826,64.617,-19.986,55.21
3141145,188.98,-464.862,812.506,63.689,-20.011,55.55
3141198,189.498,-463.543,814.567,63.156,-20.039,55.747
3141251,190.274,-461.777,816.896,62.495,-20.241,55.998
3141304,191.161,-460.693,817.204,62.163,-20.952,56.139
3141358,191.875,-460.471,816.261,62.108,-21.752,56.173
3141411,193.205,-461.202,813.461,62.14,-23.346,56.169
3141464,194.683,-462.579,810.321,62.11,-25.072,56.162
3141518,195.479,-464.39,808.228,62.002,-26.094,56.158
3141571,195.13,-467.944,805.777,61.726,-27.265,56.032
3141624,192.953,-472.787,804.164,61.245,-27.996,55.802
3141677,191.248,-475.474,803.824,60.847,-28.31,55.674
3141730,188.549,-478.281,804.076,60.252,-28.673,55.493
3141784,185.724,-479.526,805.06,59.738,-28.918,55.296
3141837,183.858,-479.747,805.821,59.502,-29.033,55.14
3141890,180.969,-479.884,806.655,59.348,-29.17,54.832
3141943,177.632,-479.769,807.192,59.405,-29.343,54.394
3141996,175.31,-479.518,807.082,59.606,-29.599,54.015
3142050,171.958,-478.805,806.226,60.115,-30.255,53.352
3142104,169.083,-478.027,804.433,60.832,-31.197,52.622
3142156,167.378,-477.606,802.942,61.33,-31.949,52.125
3142209,165.103,-478.193,799.987,62.091,-33.116,51.387
3142262,163.91,-479.501,797.664,62.546,-33.856,50.951
3142316,162.511,-483.244,793.339,63.238,-34.804,50.362
3142369,161.428,-488.423,788.758,63.777,-35.49,49.928
3142422,160.686,-492.402,785.804,63.958,-35.735,49.829
3142475,159.798,-497.584,781.889,64.04,-35.923,49.991
3142528,158.72,-500.8,779.31,63.898,-35.924,50.436
3142581,157.692,-501.981,778.163,63.802,-35.928,50.702
3142634,156.346,-502.064,777.161,63.905,-36.136,50.759
3142687,155.593,-501.069,775.944,64.417,-36.694,50.428
3142741,155.196,-500.074,774.86,64.934,-37.236,50.066
3142794,154.933,-498.368,773.18,65.75,-38.078,49.54
3142847,154.922,-496.946,771.89,66.337,-38.698,49.241
3142900,154.945,-496.395,771.406,66.477,-38.887,49.262
3142953,154.957,-496.115,771.164,66.399,-38.903,49.508
3143006,154.957,-496.146,771.133,66.216,-38.806,49.803
3143059,154.963,-496.2,771.082,66.147,-38.779,49.913
3143112,155.129,-496.26,771.217,65.961,-38.828,50.045
3143166,155.413,-496.346,771.468,65.731,-38.959,50.131
3143219,155.703,-496.495,771.812,65.419,-39.141,50.229
3143273,155.033,-496.772,771.901,65.336,-39.19,50.169
3143326,154.065,-497.073,771.901,65.336,-39.19,50.057
3143379,152.579,-497.534,771.906,65.332,-39.193,49.887
3143432,151.835,-497.739,771.925,65.33,-39.191,49.802
3143485,151.512,-497.831,771.93,65.33,-39.191,49.765
3143539,151.312,-497.892,771.93,65.33,-39.191,49.742
3143592,151.345,-497.863,771.945,65.328,-39.189,49.747
3143645,151.346,-497.84,771.964,65.326,-39.187,49.748
3143698,151.346,-497.833,771.969,65.326,-39.186,49.749
3143752,151.347,-497.819,771.98,65.325,-39.185,49.75
3143805,151.349,-497.78,772.012,65.322,-39.182,49.752
3143858,151.349,-497.769,772.021,65.321,-39.181,49.753
3143911,151.38,-497.76,772.021,65.32,-39.181,49.757
3143964,151.404,-497.752,772.021,65.32,-39.181,49.759
3144018,151.408,-497.751,772.021,65.32,-39.181,49.76
3144071,151.408,-497.752,772.022,65.32,-39.181,49.76
3144124,151.408,-497.752,772.022,65.32,-39.181,49.76
3144177,151.408,-497.752,772.022,65.32,-39.181,49.76
3144230,151.408,-497.752,772.022,65.32,-39.181,49.76
3144283,151.408,-497.752,772.022,65.32,-39.181,49.76
3144336,151.408,-497.752,772.022,65.32,-39.181,49.76
3144390,151.408,-497.752,772.022,65.32,-39.181,49.76
3144443,151.408,-497.752,772.022,65.32,-39.181,49.76
3144496,151.408,-497.752,772.022,65.32,-39.181,49.76
3144549,151.408,-497.752,772.022,65.32,-39.181,49.76
