Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
14379897,262,-394,808,86,0,16
14379950,262,-394,808,86,0,16
14380003,262,-394,808,86,0,16
14380056,262,-394,808,86,0,16
14380109,262,-394,808,86,0,16
14380162,262,-394,808,86,0,16
14380215,262,-394,808,86,0,16
14380268,262,-394,808,86,0,16
14380322,262,-394,808,86,0,16
14380375,262,-394,808,86,0,16
14380428,262,-394,808,86,0,16
14380481,262,-394,808,86,0,16
14380534,262,-394,808,86,0,16
14380587,262,-394,808,86,0,16
14380640,262,-394,808,86,0,16
14380693,262,-394,808,86,0,16
14380747,262,-394,808,86,0,16
14380800,262,-394,808,86,0,16
14380854,262,-394,808,86,0,16
14380907,262,-394,808,86,0,16
14380960,262,-394,808,86,0,16
14381014,262,-394,808,86,0,16
14381067,262.029,-393.962,808.03,85.995,-0.006,16.001
14381120,262.033,-393.959,808.03,85.995,-0.006,16.001
14381173,262.045,-393.952,808.03,85.995,-0.007,16.003
14381227,262.087,-393.925,808.03,85.995,-0.009,16.008
14381281,262.096,-393.915,808.035,85.994,-0.011,16.01
14381335,262.118,-393.897,808.038,85.994,-0.012,16.013
14381388,262.151,-393.875,808.039,85.994,-0.014,16.017
14381441,262.239,-393.815,808.042,85.994,-0.018,16.03
14381494,262.674,-393.537,808.045,85.996,-0.052,16.088
14381547,263.971,-392.712,808.05,86.002,-0.16,16.26
14381600,265.147,-391.964,808.064,86.009,-0.291,16.411
14381653,267.123,-390.731,808.066,86.024,-0.516,16.664
14381706,269.194,-389.442,808.071,86.043,-0.792,16.923
14381759,270.491,-388.621,808.077,86.054,-0.958,17.086
14381812,272.332,-387.476,808.087,86.074,-1.257,17.309
14381865,273.605,-386.644,808.108,86.084,-1.434,17.47
14381918,275.649,-385.238,808.164,86.095,-1.678,17.736
14381972,277.995,-383.5,808.278,86.092,-1.866,18.062
14382025,279.449,-382.4,808.328,86.09,-1.928,18.273
14382078,281.578,-380.805,808.381,86.089,-2.014,18.582
14382131,283.453,-379.328,808.449,86.084,-2.059,18.863
14382184,284.778,-378.13,808.578,86.067,-2.061,19.073
14382237,286.112,-375.736,809.393,85.964,-2.068,19.348
14382290,286.996,-372.338,810.971,85.766,-2.081,19.627
14382343,287.286,-369.55,812.443,85.581,-2.094,19.809
14382396,287.341,-364.543,815.27,85.218,-2.12,20.087
14382449,287.308,-359.656,818.298,84.761,-2.151,20.357
14382502,287.273,-356.192,820.524,84.4,-2.176,20.551
14382555,287.774,-351.623,823.142,83.973,-2.205,20.874
14382609,288.474,-348.949,824.285,83.817,-2.216,21.11
14382662,290.274,-345.415,825.345,83.681,-2.226,21.527
14382715,293.151,-342.755,825.456,83.667,-2.226,22.019
14382768,295.173,-341.021,825.453,83.668,-2.226,22.358
14382821,298.218,-338.604,825.328,83.684,-2.225,22.857
14382874,301.175,-335.976,825.328,83.684,-2.225,23.359
14382927,303.143,-334.203,825.33,83.683,-2.225,23.696
14382981,305.845,-331.734,825.332,83.683,-2.224,24.161
14383034,308.333,-329.428,825.338,83.68,-2.224,24.592
14383087,309.891,-327.97,825.346,83.676,-2.224,24.863
14383140,312.098,-325.925,825.406,83.647,-2.224,25.248
14383193,314.203,-324.353,825.899,83.414,-2.239,25.599
14383246,315.618,-323.605,826.583,83.092,-2.26,25.823
14383300,317.769,-322.845,828.072,82.395,-2.306,26.145
14383353,319.959,-322.448,830.078,81.464,-2.366,26.458
14383406,321.475,-322.162,831.503,80.809,-2.408,26.675
14383459,324.033,-321.294,833.536,79.882,-2.466,27.06
14383512,325.633,-320.546,834.605,79.398,-2.497,27.309
14383565,328.298,-318.632,835.614,78.944,-2.525,27.753
14383618,330.37,-316.865,836.065,78.739,-2.537,28.11
14383671,331.458,-315.816,836.15,78.698,-2.54,28.303
14383724,332.534,-314.685,836.151,78.697,-2.534,28.499
14383777,332.815,-314.385,836.147,78.698,-2.533,28.55
14383831,332.815,-314.385,836.147,78.699,-2.533,28.549
14383884,332.814,-314.384,836.144,78.7,-2.533,28.548
14383937,332.817,-314.389,836.142,78.699,-2.533,28.548
14383990,332.814,-314.384,836.133,78.703,-2.533,28.548
14384043,332.813,-314.379,836.124,78.708,-2.534,28.548
14384096,332.813,-314.374,836.117,78.711,-2.534,28.549
