Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
12860766,385.647,-376.156,746.417,76.354,-1.245,85.787
12860819,385.647,-376.156,746.417,76.354,-1.245,85.787
12860873,385.647,-376.156,746.417,76.354,-1.245,85.787
12860926,385.647,-376.156,746.417,76.354,-1.245,85.787
12860979,385.647,-376.156,746.417,76.354,-1.245,85.787
12861033,385.647,-376.156,746.417,76.354,-1.245,85.787
12861087,385.647,-376.156,746.417,76.354,-1.245,85.787
12861140,385.647,-376.156,746.417,76.354,-1.245,85.787
12861193,385.647,-376.156,746.417,76.354,-1.245,85.787
12861246,385.647,-376.156,746.417,76.354,-1.245,85.787
12861299,385.647,-376.156,746.417,76.354,-1.245,85.787
12861352,385.647,-376.156,746.417,76.354,-1.245,85.787
12861405,385.647,-376.156,746.417,76.354,-1.245,85.787
12861458,385.647,-376.156,746.417,76.354,-1.245,85.787
12861511,385.647,-376.156,746.417,76.354,-1.245,85.787
12861564,385.647,-376.156,746.417,76.354,-1.245,85.787
12861618,385.647,-376.156,746.417,76.354,-1.245,85.787
12861671,385.647,-376.156,746.417,76.354,-1.245,85.787
12861724,385.647,-376.156,746.417,76.354,-1.245,85.787
12861777,385.647,-376.156,746.417,76.354,-1.245,85.787
12861830,385.647,-376.156,746.417,76.354,-1.245,85.787
12861883,385.647,-376.156,746.417,76.354,-1.245,85.787
12861936,385.647,-376.156,746.417,76.354,-1.245,85.787
12861989,385.647,-376.156,746.417,76.354,-1.245,85.787
12862042,385.647,-376.156,746.417,76.354,-1.245,85.787
12862095,385.647,-376.156,746.417,76.354,-1.245,85.787
12862148,385.647,-376.156,746.417,76.354,-1.245,85.787
12862201,385.647,-376.156,746.417,76.354,-1.245,85.787
12862254,385.647,-376.156,746.417,76.354,-1.245,85.787
12862307,385.647,-376.156,746.417,76.354,-1.245,85.787
12862360,385.647,-376.156,746.417,76.354,-1.245,85.787
12862413,385.647,-376.156,746.417,76.354,-1.245,85.787
12862466,385.647,-376.156,746.417,76.354,-1.245,85.787
12862519,385.647,-376.156,746.417,76.354,-1.245,85.787
12862572,385.647,-376.156,746.417,76.354,-1.245,85.787
12862625,385.647,-376.156,746.417,76.354,-1.245,85.787
12862678,385.647,-376.156,746.417,76.354,-1.245,85.787
12862731,385.647,-376.156,746.417,76.354,-1.245,85.787
12862784,385.647,-376.156,746.417,76.354,-1.245,85.787
12862837,385.647,-376.156,746.417,76.354,-1.245,85.787
12862890,385.647,-376.156,746.417,76.354,-1.245,85.787
12862943,385.647,-376.156,746.417,76.354,-1.245,85.787
12862996,385.647,-376.156,746.417,76.354,-1.245,85.787
12863050,385.647,-376.156,746.417,76.354,-1.245,85.787
12863104,385.647,-376.156,746.417,76.354,-1.245,85.787
12863157,385.647,-376.156,746.417,76.354,-1.245,85.787
12863210,385.647,-376.156,746.417,76.354,-1.245,85.787
12863264,385.647,-376.156,746.417,76.354,-1.245,85.787
12863317,385.647,-376.156,746.417,76.354,-1.245,85.787
12863370,385.647,-376.156,746.417,76.354,-1.245,85.787
12863424,385.647,-376.156,746.417,76.354,-1.245,85.787
12863477,385.647,-376.156,746.417,76.354,-1.245,85.787
12863530,385.647,-376.156,746.417,76.354,-1.245,85.787
12863584,385.647,-376.156,746.417,76.354,-1.245,85.787
12863637,385.647,-376.156,746.417,76.354,-1.245,85.787
12863690,385.647,-376.156,746.417,76.354,-1.245,85.787
12863743,385.647,-376.156,746.417,76.354,-1.245,85.787
12863796,385.647,-376.156,746.417,76.354,-1.245,85.787
12863849,385.647,-376.156,746.417,76.354,-1.245,85.787
12863902,385.647,-376.156,746.417,76.354,-1.245,85.787
12863955,385.647,-376.156,746.417,76.354,-1.245,85.787
12864008,385.647,-376.156,746.417,76.354,-1.245,85.787
12864061,385.647,-376.156,746.417,76.354,-1.245,85.787
12864114,385.647,-376.156,746.417,76.354,-1.245,85.787
12864167,385.647,-376.156,746.417,76.354,-1.245,85.787
12864220,385.647,-376.156,746.417,76.354,-1.245,85.787
12864274,385.647,-376.156,746.417,76.354,-1.245,85.787
12864327,385.647,-376.156,746.417,76.354,-1.245,85.787
12864380,385.642,-376.149,746.429,76.352,-1.243,85.787
12864433,385.633,-376.134,746.634,76.317,-1.193,85.788
12864486,385.774,-376.36,747.184,76.177,-1,85.791
12864539,385.906,-376.574,747.644,76.057,-0.833,85.794
12864592,386.13,-376.935,748.328,75.871,-0.576,85.797
12864645,386.259,-377.142,748.711,75.767,-0.431,85.798
12864698,386.265,-377.151,748.728,75.762,-0.425,85.798
12864751,386.263,-377.149,748.724,75.763,-0.426,85.798
12864804,386.251,-377.13,748.688,75.773,-0.44,85.798
12864857,386.249,-377.126,748.692,75.773,-0.44,85.798
12864910,386.227,-377.09,748.732,75.77,-0.436,85.798
12864963,386.211,-377.064,748.761,75.768,-0.433,85.798
12865016,386.202,-377.05,748.776,75.767,-0.432,85.798
12865070,386.193,-377.035,748.794,75.766,-0.43,85.798
12865123,386.148,-376.963,748.861,75.763,-0.426,85.798
12865176,386.076,-376.846,748.982,75.756,-0.416,85.798
12865229,385.734,-376.292,749.563,75.719,-0.365,85.799
12865282,385.298,-375.587,750.303,75.671,-0.299,85.799
