Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
13833853,393.886,-366.412,748.779,82.468,3.554,90.023
13833906,393.886,-366.412,748.779,82.468,3.554,90.023
13833959,393.886,-366.412,748.779,82.468,3.554,90.023
13834013,393.886,-366.412,748.779,82.468,3.554,90.023
13834067,393.885,-366.41,748.786,82.467,3.555,90.023
13834120,393.852,-366.361,748.871,82.459,3.565,90.023
13834173,393.809,-366.299,749.017,82.446,3.585,90.022
13834226,393.828,-366.326,749.274,82.394,3.661,90.019
13834280,393.989,-366.56,749.849,82.253,3.867,90.01
13834334,394.17,-366.822,750.355,82.121,4.06,90.002
13834387,394.513,-367.32,751.285,81.876,4.418,89.985
13834441,394.762,-367.682,751.969,81.697,4.68,89.971
13834495,394.767,-367.689,751.982,81.693,4.685,89.971
13834548,394.767,-367.689,751.982,81.693,4.685,89.971
13834601,394.764,-367.685,751.975,81.695,4.682,89.971
13834654,394.764,-367.685,751.975,81.695,4.682,89.971
13834708,394.763,-367.684,751.977,81.695,4.682,89.971
13834761,394.754,-367.671,751.991,81.694,4.684,89.971
13834814,394.726,-367.63,752.035,81.692,4.687,89.971
13834867,394.56,-367.39,752.296,81.676,4.711,89.969
13834920,393.55,-365.96,753.854,81.58,4.849,89.959
13834973,392.702,-364.723,755.186,81.497,4.969,89.952
13835026,390.847,-362.023,758.071,81.317,5.231,89.935
13835079,388.966,-359.279,760.969,81.135,5.495,89.918
13835132,388.001,-357.871,762.447,81.041,5.631,89.909
13835185,386.903,-356.269,764.135,80.93,5.791,89.898
13835238,386.312,-355.406,765.032,80.873,5.874,89.892
13835292,385.454,-354.196,766.3,80.791,5.992,89.881
13835346,384.196,-352.392,768.185,80.667,6.171,89.866
13835400,383.032,-350.737,769.972,80.541,6.353,89.85
13835453,381.284,-348.359,773.425,80.189,6.861,89.799
13835506,379.633,-346.131,778.042,79.585,7.732,89.712
13835559,378.613,-344.82,781.559,79.071,8.469,89.629
13835612,376.93,-343.165,786.912,78.265,9.618,89.452
13835665,374.5,-342.097,791.665,77.585,10.58,89.172
13835718,372.643,-341.528,793.998,77.304,10.975,88.978
13835771,369.555,-340.919,796.416,77.102,11.258,88.679
13835824,366.564,-340.823,798.217,76.976,11.432,88.368
13835877,364.785,-340.973,799.168,76.909,11.525,88.17
13835930,362.085,-341.309,800.556,76.811,11.659,87.862
13835983,358.994,-341.431,802.464,76.673,11.85,87.517
13836036,356.684,-341.377,804.369,76.527,12.051,87.258
13836089,352.818,-340.837,808.531,76.199,12.506,86.831
13836142,349.88,-340.401,812.055,75.914,12.897,86.496
13836195,344.708,-339.867,818.3,75.403,13.598,85.877
13836248,339.697,-339.974,824.035,74.937,14.232,85.232
13836301,336.331,-340.328,827.187,74.718,14.528,84.798
13836354,331.029,-340.551,831.793,74.454,14.881,84.146
13836407,326.037,-340.723,835.493,74.309,15.074,83.554
13836461,322.411,-341.078,837.783,74.238,15.166,83.114
13836516,317.668,-341.705,840.094,74.245,15.153,82.549
13836568,313.193,-342.533,842.039,74.255,15.131,81.995
13836621,310.399,-343.339,843.237,74.183,15.124,81.547
13836674,306.484,-344.806,845.119,73.785,15.02,80.453
13836728,302.972,-346.558,846.561,73.152,14.652,78.914
13836782,300.896,-347.739,847.3,72.616,14.233,77.67
13836835,298.327,-349.36,847.832,71.698,13.231,75.54
13836888,296.538,-350.769,847.546,70.748,11.787,73.312
13836941,295.825,-351.416,846.915,70.112,10.522,71.793
13836994,295.067,-352.133,845.873,69.333,8.685,69.982
13837047,294.513,-352.698,845.05,68.582,6.827,68.188
13837100,294.256,-353.115,844.767,68.011,5.58,67.043
13837153,293.658,-353.935,844.465,67.184,3.641,65.252
13837206,292.735,-354.867,844.34,66.758,2.517,64.086
13837259,290.725,-356.705,844.182,66.281,1.033,62.366
13837313,288.136,-358.918,844.002,65.981,-0.19,60.758
13837367,286.18,-360.608,843.958,65.815,-0.902,59.677
13837420,282.976,-363.387,843.959,65.618,-1.778,58.142
13837473,279.531,-366.238,844.008,65.468,-2.547,56.641
13837526,277.16,-368.15,844.012,65.404,-2.965,55.746
13837579,273.763,-370.842,843.971,65.314,-3.559,54.588
13837632,270.879,-373.361,843.665,65.248,-4.198,53.658
13837686,269.335,-375.841,842.667,65.307,-4.741,53.097
13837739,267.774,-379.566,840.523,65.516,-5.708,52.331
13837792,266.853,-384.437,837.011,65.941,-6.965,51.513
13837845,266.354,-387.704,834.483,66.25,-7.922,50.956
13837898,265.568,-392.281,831.004,66.631,-9.395,50.172
13837951,264.354,-396.031,828.471,66.837,-10.827,49.427
13838004,263.243,-397.897,827.396,66.895,-11.74,48.92
13838057,261.415,-399.738,826.61,66.877,-13.057,48.16
13838110,260.119,-400.662,826.401,66.838,-13.898,47.621
13838163,258.11,-401.836,826.119,66.869,-15.128,46.712
