Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
1248134,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248186,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248240,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248293,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248346,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248399,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248452,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248505,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248558,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248612,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248665,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248719,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248772,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248827,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248880,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248934,-348.916,-280.145,464.142,48.441,9.943,-1.747
1248988,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249041,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249094,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249147,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249200,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249254,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249307,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249361,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249414,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249468,-348.916,-280.145,464.142,48.441,9.943,-1.747
1249521,-348.855,-280.077,464.306,48.425,9.956,-1.75
1249574,-348.584,-279.766,464.923,48.361,10.006,-1.761
1249627,-347.678,-278.723,466.952,48.153,10.174,-1.798
1249681,-346.045,-276.843,470.565,47.78,10.472,-1.865
1249734,-344.617,-275.202,473.641,47.46,10.728,-1.923
1249788,-342.05,-272.25,479.063,46.891,11.181,-2.031
1249841,-339.232,-269.007,484.853,46.275,11.667,-2.153
1249895,-337.395,-266.894,488.541,45.879,11.979,-2.234
1249949,-334.565,-263.637,494.095,45.275,12.452,-2.362
1250003,-332.125,-260.829,498.766,44.76,12.852,-2.475
1250056,-330.657,-259.144,501.475,44.47,13.077,-2.54
1250109,-328.676,-256.957,504.4,44.298,13.21,-2.571
1250162,-326.853,-254.976,506.574,44.303,13.207,-2.56
1250216,-325.643,-253.585,508.132,44.281,13.224,-2.565
1250270,-323.86,-251.53,510.682,44.162,13.317,-2.594
1250323,-321.427,-248.79,514.638,43.783,13.608,-2.677
1250376,-319.738,-246.943,517.386,43.485,13.837,-2.738
1250429,-316.941,-244.154,521.661,43.02,14.191,-2.809
1250482,-314.788,-242.65,524.398,42.74,14.404,-2.784
1250536,-311.322,-240.886,528.228,42.368,14.685,-2.659
1250590,-307.159,-239.426,532.281,41.978,14.978,-2.427
