Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
15828265,221.309,-639.911,558.61,87.74,1.818,-67.07
15828319,221.309,-639.911,558.61,87.74,1.818,-67.07
15828372,221.309,-639.911,558.61,87.74,1.818,-67.07
15828426,221.309,-639.911,558.61,87.74,1.818,-67.07
15828480,221.309,-639.911,558.61,87.74,1.818,-67.07
15828533,221.309,-639.911,558.61,87.74,1.818,-67.07
15828587,221.309,-639.911,558.61,87.74,1.818,-67.07
15828641,221.309,-639.911,558.61,87.74,1.818,-67.07
15828694,221.309,-639.911,558.61,87.74,1.818,-67.07
15828747,221.309,-639.911,558.61,87.74,1.818,-67.07
15828801,221.309,-639.911,558.61,87.74,1.818,-67.07
15828854,221.309,-639.911,558.61,87.74,1.818,-67.07
15828909,221.309,-639.911,558.61,87.74,1.818,-67.07
15828963,221.309,-639.911,558.61,87.74,1.818,-67.07
15829016,221.309,-639.911,558.61,87.74,1.818,-67.07
15829070,221.309,-639.911,558.61,87.74,1.818,-67.07
15829124,221.309,-639.911,558.61,87.74,1.818,-67.07
15829177,221.309,-639.911,558.61,87.74,1.818,-67.07
15829231,221.309,-639.911,558.61,87.74,1.818,-67.07
15829284,221.309,-639.911,558.61,87.74,1.818,-67.07
15829339,221.309,-639.911,558.61,87.74,1.818,-67.07
15829393,221.309,-639.911,558.61,87.74,1.818,-67.07
15829447,221.309,-639.911,558.61,87.74,1.818,-67.07
15829500,221.309,-639.911,558.61,87.74,1.818,-67.07
15829553,221.309,-639.911,558.61,87.74,1.818,-67.07
15829607,221.309,-639.911,558.61,87.74,1.818,-67.07
15829660,221.309,-639.911,558.61,87.74,1.818,-67.07
15829713,221.309,-639.911,558.61,87.74,1.818,-67.07
15829767,221.309,-639.911,558.61,87.74,1.818,-67.07
15829820,221.309,-639.911,558.61,87.74,1.818,-67.07
15829875,221.317,-639.924,558.637,87.739,1.808,-67.06
15829929,221.316,-639.921,558.663,87.738,1.802,-67.06
15829983,221.297,-639.784,558.896,87.733,1.782,-67.06
15830036,221.155,-638.937,560.347,87.706,1.661,-67.06
15830090,221.008,-638.094,561.79,87.678,1.54,-67.06
15830144,220.561,-635.571,566.061,87.596,1.181,-67.062
15830198,219.882,-631.742,572.429,87.473,0.644,-67.064
15830253,219.355,-628.764,577.288,87.379,0.233,-67.065
15830307,218.46,-623.713,585.347,87.221,-0.454,-67.065
