Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
15728752,622.373,255.699,693.921,77.128,-2.719,94.061
15728805,622.373,255.699,693.921,77.128,-2.719,94.061
15728858,622.373,255.699,693.921,77.128,-2.719,94.061
15728912,622.373,255.699,693.921,77.128,-2.719,94.061
15728967,622.373,255.699,693.921,77.128,-2.719,94.061
15729021,622.373,255.699,693.921,77.128,-2.719,94.061
15729074,622.373,255.699,693.921,77.128,-2.719,94.061
15729128,622.373,255.699,693.921,77.128,-2.719,94.061
15729181,622.373,255.699,693.921,77.128,-2.719,94.061
15729234,622.373,255.699,693.921,77.128,-2.719,94.061
15729287,622.373,255.699,693.921,77.128,-2.719,94.061
15729341,622.373,255.699,693.921,77.128,-2.719,94.061
15729394,622.373,255.699,693.921,77.128,-2.719,94.061
15729447,622.373,255.699,693.921,77.128,-2.719,94.061
15729500,622.373,255.699,693.921,77.128,-2.719,94.061
15729553,622.373,255.699,693.921,77.128,-2.719,94.061
15729606,622.373,255.699,693.921,77.128,-2.719,94.061
15729659,622.373,255.699,693.921,77.128,-2.719,94.061
15729712,622.373,255.699,693.921,77.128,-2.719,94.061
15729765,622.373,255.699,693.921,77.128,-2.719,94.061
15729818,622.373,255.699,693.921,77.128,-2.719,94.061
15729872,622.373,255.699,693.921,77.128,-2.719,94.061
15729927,622.373,255.699,693.921,77.128,-2.719,94.061
15729981,622.373,255.699,693.921,77.128,-2.719,94.061
15730033,622.373,255.699,693.921,77.128,-2.719,94.061
15730086,622.373,255.699,693.921,77.128,-2.719,94.061
15730139,622.373,255.699,693.921,77.128,-2.719,94.061
15730192,622.373,255.699,693.921,77.128,-2.719,94.061
15730245,622.373,255.699,693.921,77.128,-2.719,94.061
15730299,622.373,255.699,693.921,77.128,-2.719,94.061
15730353,622.373,255.699,693.921,77.128,-2.719,94.061
15730407,622.373,255.699,693.921,77.128,-2.719,94.061
15730461,622.373,255.699,693.921,77.128,-2.719,94.061
15730514,622.373,255.699,693.921,77.128,-2.719,94.061
15730568,622.373,255.699,693.921,77.128,-2.719,94.061
15730622,622.373,255.699,693.921,77.128,-2.719,94.061
15730675,622.373,255.699,693.921,77.128,-2.719,94.061
15730729,622.373,255.699,693.921,77.128,-2.719,94.061
15730782,622.373,255.699,693.921,77.128,-2.719,94.061
15730837,622.373,255.699,693.921,77.128,-2.719,94.061
15730890,622.373,255.699,693.921,77.128,-2.719,94.061
15730944,622.373,255.699,693.921,77.128,-2.719,94.061
15730998,622.375,255.708,693.924,77.127,-2.725,94.063
15731052,622.482,255.949,694.232,77.013,-2.865,94.1
15731105,622.631,256.269,694.646,76.859,-3.055,94.147
15731159,622.691,256.405,694.817,76.796,-3.134,94.167
15731213,622.761,256.636,695.058,76.711,-3.268,94.201
15731267,622.815,256.944,695.304,76.632,-3.448,94.247
15731321,622.858,257.194,695.501,76.569,-3.593,94.284
15731374,622.921,257.533,695.777,76.479,-3.791,94.335
15731428,622.943,257.705,695.907,76.439,-3.891,94.361
15731481,622.985,257.736,696.001,76.4,-3.908,94.366
15731534,623.08,257.774,696.205,76.314,-3.93,94.375
15731588,623.169,257.798,696.393,76.234,-3.943,94.381
15731641,623.197,257.804,696.452,76.208,-3.947,94.383
15731694,623.215,257.805,696.497,76.19,-3.949,94.384
15731747,623.247,257.812,696.594,76.154,-3.955,94.386
15731800,623.271,257.818,696.803,76.091,-3.964,94.391
15731853,623.268,257.818,697.354,75.95,-3.984,94.401
15731906,622.628,257.673,699.325,75.669,-4.025,94.421
15731959,621.886,257.505,701.318,75.414,-4.062,94.439
15732013,620.442,257.178,705.107,74.932,-4.133,94.473
15732066,619.009,256.854,708.771,74.464,-4.201,94.507
15732120,618.1,256.648,711.061,74.17,-4.243,94.529
15732174,616.761,256.345,714.377,73.742,-4.305,94.561
15732227,615.637,256.09,717.107,73.388,-4.355,94.587
15732282,614.986,255.943,718.665,73.186,-4.384,94.603
15732336,614.026,255.726,720.937,72.891,-4.427,94.626
15732390,612.995,255.492,723.341,72.578,-4.471,94.65
15732443,612.247,255.323,725.065,72.353,-4.503,94.668
15732496,611.004,255.041,727.887,71.983,-4.556,94.697
15732550,609.744,254.756,730.7,71.614,-4.608,94.727
15732604,608.971,254.581,732.401,71.39,-4.639,94.745
15732658,607.848,254.328,734.842,71.068,-4.685,94.771
15732712,606.658,254.058,737.392,70.731,-4.732,94.799
15732766,605.804,253.865,739.197,70.491,-4.765,94.818
15732819,604.46,253.56,742.001,70.118,-4.817,94.85
15732873,603.243,253.285,744.499,69.785,-4.863,94.878
15732926,602.508,253.119,745.992,69.585,-4.891,94.895
15732979,601.432,252.876,748.153,69.295,-4.931,94.92
15733032,600.316,252.624,750.366,68.998,-4.972,94.946
15733086,599.612,252.465,751.748,68.811,-4.998,94.962
15733140,598.467,252.206,753.973,68.511,-5.039,94.988
15733193,597.326,251.948,756.165,68.213,-5.079,95.015
15733246,596.708,251.808,757.34,68.053,-5.101,95.029
15733300,595.73,251.586,759.182,67.802,-5.135,95.051
15733353,594.662,251.344,761.172,67.531,-5.171,95.076
15733407,593.833,251.157,762.701,67.322,-5.2,95.094
15733461,592.695,250.899,764.779,67.037,-5.238,95.12
15733514,591.637,250.659,766.688,66.774,-5.273,95.144
15733568,591.061,250.529,767.72,66.632,-5.292,95.158
15733621,590.599,250.424,768.543,66.519,-5.307,95.168
15733676,590.527,250.408,768.67,66.501,-5.309,95.17
15733729,590.527,250.408,768.67,66.501,-5.309,95.17
15733782,590.541,250.411,768.646,66.504,-5.309,95.169
15733835,590.541,250.411,768.646,66.504,-5.309,95.169
15733889,590.541,250.411,768.646,66.505,-5.309,95.169
15733943,590.541,250.411,768.646,66.505,-5.309,95.169
15733997,590.54,250.411,768.645,66.505,-5.309,95.169
15734050,590.54,250.411,768.645,66.505,-5.309,95.169
15734104,590.54,250.411,768.644,66.505,-5.308,95.169
15734159,590.54,250.411,768.644,66.506,-5.308,95.169
15734212,590.54,250.411,768.643,66.506,-5.308,95.169
15734266,590.541,250.411,768.64,66.506,-5.308,95.169
15734319,590.543,250.409,768.638,66.507,-5.308,95.169
15734373,590.544,250.407,768.638,66.507,-5.308,95.169
15734427,589.636,250.191,769.564,66.43,-5.318,95.175
15734481,588.324,249.346,770.821,66.361,-5.328,95.133
15734535,586.895,248.332,772.126,66.302,-5.336,95.077
15734588,584.681,246.503,773.872,66.276,-5.339,94.96
15734642,582.326,244.58,775.549,66.278,-5.339,94.834
15734697,580.983,243.366,776.353,66.313,-5.335,94.747
15734750,580.039,242.052,776.331,66.475,-5.315,94.633
15734804,578.975,241.023,776.025,66.69,-5.287,94.54
15734858,578.094,240.091,775.449,66.93,-5.257,94.451
15734913,577.668,239.565,774.976,67.081,-5.238,94.398
15734966,576.58,238.705,775.484,67.053,-5.307,94.361
15735021,575.29,238.296,777.401,66.62,-5.711,94.483
15735074,573.881,237.803,779.895,66.1,-6.137,94.619
15735128,570.844,236.43,784.909,65.189,-6.892,94.842
15735181,567.621,234.34,789.962,64.39,-7.592,94.998
15735235,565.282,232.437,792.963,64.05,-7.979,95.022
15735288,561.998,229.101,796.234,63.873,-8.313,94.895
15735342,559.44,225.828,798.294,63.82,-8.428,94.674
15735395,557.886,223.815,799.104,63.872,-8.423,94.502
15735449,555.651,221.231,799.736,64.068,-8.402,94.264
15735503,552.649,218.718,800.648,64.27,-8.37,94.04
15735556,550.529,216.793,801.393,64.363,-8.36,93.876
15735610,547.461,213.904,802.541,64.454,-8.351,93.632
15735664,543.864,210.672,804.229,64.48,-8.348,93.369
15735718,541.198,208.454,805.57,64.471,-8.349,93.193
15735772,537.036,205.112,807.976,64.389,-8.358,92.938
15735826,532.214,201.773,811.172,64.195,-8.378,92.704
15735880,529.096,199.435,813.256,64.064,-8.391,92.533
15735933,524.465,196.114,816.468,63.835,-8.415,92.294
15735987,519.625,192.467,820.111,63.538,-8.445,92.029
15736040,516.492,190.187,822.497,63.332,-8.466,91.865
15736094,512.605,186.992,825.006,63.155,-8.483,91.606
15736147,508.674,183.798,826.86,63.083,-8.487,91.328
15736201,506.845,181.809,827.226,63.138,-8.475,91.127
15736255,504.688,179.104,826.912,63.331,-8.454,90.832
15736310,503.052,176.549,825.785,63.626,-8.421,90.53
15736364,501.108,174.074,824.997,63.869,-8.396,90.246
15736417,500.169,172.577,823.941,64.093,-8.372,90.059
15736471,497.847,170.225,823.077,64.347,-8.346,89.788
15736525,494.453,167.154,823.336,64.46,-8.334,89.467
15736579,491.811,164.876,824.116,64.448,-8.335,89.24
15736633,487.494,160.861,826.143,64.308,-8.35,88.847
15736686,482.784,156.394,829.212,64.01,-8.381,88.421
15736739,479.902,153.208,831.129,63.821,-8.401,88.103
15736793,475.669,148.226,834.114,63.51,-8.433,87.596
15736845,472.124,143.301,836.432,63.278,-8.456,87.069
15736899,470.051,140.048,837.705,63.154,-8.469,86.709
15736953,467.598,135.242,839.222,63.008,-8.484,86.162
15737007,465.655,130.875,840.259,62.915,-8.493,85.651
15737060,464.319,128.158,840.967,62.841,-8.501,85.333
15737114,462.317,124.366,842.155,62.638,-8.52,84.901
15737167,460.516,120.868,843.256,62.314,-8.552,84.518
15737221,459.423,118.68,844.19,61.949,-8.587,84.301
15737276,457.847,115.693,845.711,61.276,-8.65,84.029
15737329,456.382,113.027,847.327,60.441,-8.727,83.82
15737382,455.355,111.276,848.377,59.835,-8.782,83.691
15737435,453.44,108.674,850.139,58.9,-8.865,83.502
15737488,450.952,105.94,851.927,58.036,-8.939,83.28
15737541,448.853,104.182,852.801,57.59,-8.976,83.117
15737596,445.505,101.329,854.004,57.102,-9.017,82.81
15737650,441.671,98.176,854.731,56.878,-9.035,82.412
15737703,439.133,95.699,854.829,56.878,-9.035,82.07
15737758,434.78,91.547,855.709,56.779,-9.043,81.501
15737811,430.548,87.099,856.566,56.675,-9.052,80.88
15737864,427.191,83.973,857.497,56.552,-9.062,80.439
15737918,421.701,79.016,859.153,56.322,-9.081,79.727
15737973,417.419,73.762,860.293,56.156,-9.095,78.961
15738026,415.495,70.086,860.457,56.127,-9.097,78.419
15738079,413.325,64.593,860.132,56.16,-9.095,77.6
15738134,411.935,59.287,859.06,56.297,-9.083,76.798
15738188,410.561,55.939,858.659,56.341,-9.08,76.284
15738241,407.97,51.285,858.293,56.369,-9.077,75.553
15738295,405.268,46.493,858.094,56.369,-9.078,74.795
15738348,403.374,43.12,858.085,56.351,-9.079,74.258
15738402,400.064,37.735,858.646,56.24,-9.088,73.395
15738455,396.73,31.664,859.645,56.066,-9.102,72.425
15738509,394.984,27.432,860.247,55.963,-9.111,71.758
15738562,392.634,21.181,861.233,55.799,-9.124,70.774
15738616,390.796,15.092,861.942,55.678,-9.135,69.819
15738669,389.932,11.209,862.145,55.639,-9.139,69.214
15738723,389.487,5.818,861.925,55.66,-9.137,68.393
15738778,389.84,0.722,861.335,55.735,-9.131,67.646
15738831,390.131,-2.548,861.018,55.756,-9.13,67.177
15738886,390.557,-7.342,861.248,55.518,-9.149,66.535
15738938,390.927,-12.119,862.439,54.92,-9.195,65.956
15738992,391.079,-15.753,863.77,54.331,-9.239,65.533
15739045,391.114,-20.739,866.348,53.279,-9.316,64.988
15739099,390.934,-25.648,868.833,52.302,-9.385,64.435
15739153,390.765,-28.892,870.275,51.733,-9.423,64.057
15739207,390.418,-33.784,871.796,51.132,-9.463,63.441
15739261,389.838,-38.624,872.44,50.896,-9.479,62.762
15739315,389.247,-43.221,872.512,50.882,-9.479,62.081
15739369,388.87,-46.12,872.536,50.879,-9.48,61.652
15739423,387.73,-49.788,872.9,50.825,-9.483,61.075
15739477,385.116,-52.378,874.139,50.632,-9.496,60.574
15739531,383.025,-53.803,875.163,50.471,-9.507,60.26
15739585,379.254,-55.235,877.073,50.168,-9.527,59.849
15739639,375.459,-57.462,878.906,49.875,-9.546,59.314
15739692,373.307,-59.303,879.882,49.718,-9.556,58.922
15739746,369.962,-62.353,881.36,49.478,-9.571,58.28
15739799,366.569,-65.602,882.812,49.24,-9.586,57.596
15739852,363.907,-67.436,883.995,49.045,-9.598,57.157
15739905,359.686,-69.598,885.909,48.727,-9.618,56.559
15739960,354.956,-70.825,888.13,48.353,-9.641,56.049
15740014,351.939,-71.439,889.542,48.112,-9.655,55.741
15740067,347.7,-72.097,891.52,47.771,-9.675,55.331
15740122,343.644,-72.538,893.402,47.443,-9.694,54.956
15740175,341.071,-72.745,894.589,47.233,-9.706,54.724
15740230,337.309,-72.797,896.33,46.923,-9.723,54.417
15740284,333.758,-72.554,897.981,46.626,-9.74,54.164
15740337,331.373,-72.279,899.089,46.424,-9.751,54.008
15740392,327.849,-71.961,900.7,46.128,-9.767,53.759
15740446,324.36,-72.121,902.229,45.844,-9.782,53.431
15740499,321.285,-72.792,903.507,45.604,-9.794,53.051
15740552,319.244,-73.421,904.328,45.448,-9.802,52.766
15740606,316.656,-75.032,905.277,45.267,-9.811,52.27
15740661,314.367,-77.449,906.003,45.127,-9.818,51.669
15740714,313.22,-79.68,906.252,45.079,-9.821,51.205
15740768,311.714,-83.551,906.46,45.039,-9.823,50.446
15740822,310.043,-87.695,906.682,44.996,-9.825,49.629
15740875,308.777,-90.501,906.872,44.959,-9.827,49.062
15740930,306.828,-95.046,907.112,44.913,-9.829,48.154
15740984,304.527,-99.748,907.443,44.848,-9.832,47.186
15741037,302.997,-103.205,907.596,44.818,-9.834,46.492
15741091,300.513,-108.767,907.812,44.776,-9.836,45.376
15741145,298.166,-114.956,907.825,44.774,-9.836,44.187
15741199,296.54,-119.18,907.81,44.776,-9.836,43.378
15741252,293.919,-125.578,907.797,44.779,-9.836,42.14
15741306,291.174,-131.818,907.797,44.779,-9.836,40.918
15741359,289.32,-135.838,907.797,44.779,-9.836,40.124
15741413,286.403,-141.886,907.797,44.779,-9.836,38.921
15741468,283.388,-147.814,907.797,44.779,-9.835,37.728
15741521,281.358,-151.643,907.797,44.779,-9.835,36.951
15741575,278.27,-157.238,907.797,44.779,-9.835,35.806
15741628,275.225,-162.51,907.797,44.779,-9.835,34.714
15741682,273.313,-165.704,907.797,44.779,-9.835,34.047
15741736,270.681,-169.97,907.797,44.779,-9.835,33.149
15741790,268.387,-173.565,907.798,44.779,-9.835,32.384
15741843,266.999,-175.692,907.798,44.779,-9.835,31.929
15741897,264.955,-178.718,907.808,44.777,-9.835,31.273
15741950,263.195,-181.273,907.815,44.776,-9.835,30.715
15742003,262.186,-182.728,907.816,44.775,-9.835,30.398
15742056,260.485,-185.141,907.818,44.775,-9.835,29.869
15742110,258.94,-187.242,907.831,44.772,-9.836,29.399
15742164,257.929,-188.627,907.833,44.772,-9.836,29.092
15742218,256.468,-190.61,907.833,44.772,-9.836,28.65
15742272,255.124,-192.404,907.836,44.77,-9.836,28.248
15742326,254.299,-193.492,907.845,44.767,-9.836,28.004
15742379,253.145,-194.971,907.915,44.743,-9.837,27.67
15742433,252.104,-196.174,908.487,44.526,-9.847,27.417
15742487,251.507,-196.818,909.3,44.204,-9.862,27.31
15742541,250.809,-197.465,910.927,43.557,-9.89,27.242
15742595,250.277,-197.851,912.926,42.758,-9.924,27.254
15742648,249.812,-198.212,914.653,42.063,-9.951,27.261
15742701,249.531,-198.394,915.517,41.718,-9.964,27.256
15742756,249.095,-198.726,916.543,41.307,-9.979,27.222
15742810,248.587,-199.282,916.9,41.164,-9.982,27.107
15742863,248.163,-199.806,916.893,41.165,-9.969,26.977
15742916,247.054,-201.009,916.848,41.162,-9.79,26.557
15742970,245.373,-202.578,916.786,41.15,-9.417,25.878
15743024,244.06,-203.747,916.752,41.133,-9.101,25.339
15743078,241.493,-205.841,916.689,41.087,-8.382,24.237
15743131,238.73,-207.951,916.645,41.022,-7.567,23.038
15743185,236.836,-209.32,916.624,40.97,-6.986,22.208
15743240,234.184,-211.082,916.634,40.875,-6.115,21.023
15743293,231.908,-212.414,916.673,40.772,-5.289,19.97
15743347,230.611,-213.091,916.712,40.701,-4.779,19.351
15743400,229.021,-213.839,916.781,40.602,-4.118,18.574
15743454,227.626,-214.461,916.861,40.506,-3.535,17.892
15743508,226.731,-214.851,916.92,40.441,-3.164,17.455
15743561,225.342,-215.439,917.025,40.334,-2.59,16.781
15743614,223.987,-215.995,917.139,40.226,-2.034,16.124
15743668,223.125,-216.352,917.209,40.156,-1.679,15.704
15743722,221.829,-216.858,917.321,40.05,-1.15,15.078
15743775,220.562,-217.334,917.46,39.935,-0.638,14.468
15743830,219.708,-217.646,917.56,39.854,-0.295,14.057
15743883,218.424,-218.102,917.724,39.727,0.22,13.44
15743937,217.099,-218.556,917.904,39.591,0.747,12.804
15743991,216.141,-218.874,918.041,39.491,1.127,12.344
15744045,214.591,-219.371,918.276,39.321,1.739,11.6
15744099,212.988,-219.867,918.497,39.153,2.373,10.829
15744152,212.201,-220.125,918.46,39.125,2.708,10.447
15744205,211.508,-220.415,918.027,39.252,3.062,10.105
15744259,211.422,-220.585,917.128,39.588,3.232,10.052
15744313,211.469,-220.678,916.424,39.857,3.316,10.067
15744366,211.54,-220.817,915.438,40.233,3.433,10.089
15744420,211.596,-220.917,914.717,40.507,3.517,10.107
15744474,211.612,-220.952,914.43,40.616,3.552,10.113
15744529,211.624,-220.99,914.29,40.668,3.57,10.113
15744583,211.598,-221.138,914.254,40.669,3.596,10.079
15744636,211.436,-221.598,914.166,40.664,3.693,9.951
15744689,211.323,-222.07,914.059,40.671,3.754,9.855
15744742,210.985,-222.589,913.999,40.664,3.841,9.697
15744796,210.985,-222.589,913.999,40.664,3.841,9.697
15744849,210.508,-223,914.012,40.645,3.909,9.532
15744903,209.059,-224.051,914.104,40.585,4.095,9.061
15744958,207.015,-225.545,914.225,40.506,4.33,8.414
15745012,205.372,-226.744,914.317,40.446,4.51,7.899
15745066,202.569,-228.981,914.408,40.353,4.829,7.003
15745120,200.15,-232.298,914.049,40.337,5.192,6.08
15745173,198.647,-235.485,913.47,40.385,5.463,5.41
15745228,197.144,-241.151,912.082,40.547,5.912,4.481
15745282,195.883,-247.542,910.348,40.757,6.413,3.543
