Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
12214323,680.804,138.214,691.78,76.412,5.728,103.121
12214377,680.804,138.214,691.78,76.412,5.728,103.121
12214431,680.804,138.214,691.78,76.412,5.728,103.121
12214485,680.804,138.214,691.78,76.412,5.728,103.121
12214539,680.804,138.214,691.78,76.412,5.728,103.121
12214593,680.804,138.214,691.78,76.412,5.728,103.121
12214647,680.804,138.214,691.78,76.412,5.728,103.121
12214701,680.804,138.214,691.78,76.412,5.728,103.121
12214755,680.804,138.214,691.78,76.412,5.728,103.121
12214807,680.804,138.214,691.78,76.412,5.728,103.121
12214860,680.804,138.214,691.78,76.412,5.728,103.121
12214913,680.804,138.214,691.78,76.412,5.728,103.121
12214966,680.804,138.214,691.78,76.412,5.728,103.121
12215020,680.804,138.214,691.78,76.412,5.728,103.121
12215073,680.804,138.214,691.78,76.412,5.728,103.121
12215126,680.804,138.214,691.78,76.412,5.728,103.121
12215179,680.804,138.214,691.78,76.412,5.728,103.121
12215233,680.804,138.214,691.78,76.412,5.728,103.121
12215287,680.804,138.214,691.78,76.412,5.728,103.121
12215340,680.804,138.214,691.78,76.412,5.728,103.121
12215393,680.804,138.214,691.78,76.412,5.728,103.121
12215446,680.804,138.214,691.78,76.412,5.728,103.121
12215499,680.804,138.214,691.78,76.412,5.728,103.121
12215552,680.804,138.214,691.78,76.412,5.728,103.121
12215605,680.804,138.214,691.78,76.412,5.728,103.121
12215658,680.804,138.214,691.78,76.412,5.728,103.121
12215711,680.804,138.214,691.78,76.412,5.728,103.121
12215765,680.804,138.214,691.78,76.412,5.728,103.121
12215818,680.804,138.214,691.78,76.412,5.728,103.121
12215871,680.804,138.214,691.78,76.412,5.728,103.121
12215925,680.804,138.214,691.78,76.412,5.728,103.121
12215978,680.804,138.214,691.78,76.412,5.728,103.121
12216031,680.804,138.214,691.78,76.412,5.728,103.121
12216085,680.795,138.277,691.773,76.413,5.742,103.124
12216139,680.774,138.378,691.773,76.413,5.74,103.132
12216193,680.766,138.378,691.783,76.412,5.74,103.132
12216246,680.76,138.376,691.791,76.412,5.74,103.132
12216299,680.389,138.227,692.31,76.368,5.733,103.128
12216352,679.21,137.76,693.948,76.232,5.712,103.114
12216406,677.704,137.215,696.017,76.059,5.686,103.101
12216460,674.978,136.166,699.745,75.746,5.639,103.074
12216514,671.038,134.725,705.039,75.3,5.571,103.04
12216567,668.194,133.636,708.821,74.979,5.522,103.013
12216620,663.939,131.999,714.4,74.504,5.449,102.973
12216673,659.975,130.445,719.521,74.065,5.381,102.934
12216726,657.607,129.499,722.545,73.805,5.34,102.909
12216780,654.934,128.431,725.927,73.512,5.295,102.882
12216833,653.57,127.886,727.638,73.364,5.272,102.869
12216886,651.972,127.248,729.633,73.19,5.245,102.853
12216939,650.915,126.825,730.945,73.076,5.227,102.842
12216992,650.269,126.568,731.744,73.006,5.216,102.836
12217045,648.98,126.052,733.334,72.867,5.194,102.823
12217098,647.339,125.397,735.346,72.691,5.166,102.807
12217151,645.979,124.853,737.004,72.545,5.143,102.794
12217204,643.383,123.816,740.145,72.268,5.1,102.77
12217257,640.32,122.598,743.81,71.944,5.048,102.741
12217311,638.123,121.728,746.413,71.712,5.012,102.722
12217364,634.592,120.322,750.553,71.343,4.953,102.69
12217418,630.684,118.768,755.073,70.936,4.888,102.656
12217471,627.951,117.681,758.196,70.654,4.843,102.632
12217524,623.737,116.005,762.95,70.222,4.773,102.597
12217577,619.293,114.229,767.888,69.77,4.7,102.559
12217630,616.055,112.935,771.437,69.443,4.647,102.533
12217683,610.249,110.615,777.699,68.861,4.553,102.486
12217736,606.298,109.036,781.889,68.469,4.488,102.455
12217789,600.516,106.726,787.916,67.9,4.395,102.411
12217842,593.928,104.093,794.638,67.258,4.289,102.362
12217895,588.886,102.078,799.681,66.771,4.208,102.326
12217948,581.958,99.31,806.472,66.109,4.098,102.278
12218001,574.609,96.373,813.503,65.414,3.982,102.23
12218054,569.521,94.34,818.27,64.938,3.902,102.197
12218107,561.7,91.215,825.442,64.212,3.779,102.148
12218160,554.012,88.142,832.315,63.507,3.659,102.102
12218213,548.529,85.951,837.111,63.008,3.574,102.071
12218266,539.228,82.234,845.052,62.17,3.431,102.02
12218320,529.906,78.509,852.772,61.34,3.288,101.971
12218373,523.56,75.973,857.896,60.781,3.191,101.94
12218427,513.575,71.983,865.746,59.909,3.04,101.892
12218480,503.559,67.981,873.368,59.045,2.889,101.847
12218533,496.881,65.312,878.312,58.475,2.789,101.819
12218586,487.122,61.413,885.339,57.652,2.644,101.78
12218640,480.949,58.946,889.658,57.14,2.554,101.757
12218693,472.371,55.518,895.493,56.442,2.43,101.727
12218746,464.934,52.546,899.999,55.998,2.351,101.708
12218800,460.636,50.827,902.076,55.918,2.336,101.704
12218854,454.936,48.547,903.591,56.252,2.393,101.717
12218907,450.209,46.654,903.295,57.086,2.537,101.751
12218961,447.38,45.521,901.733,58.088,2.709,101.795
12219014,443.354,43.907,898.92,59.718,2.988,101.873
12219068,439.423,42.332,895.657,61.486,3.289,101.967
12219122,436.659,41.225,893.609,62.631,3.482,102.032
12219176,432.311,39.484,890.986,64.204,3.744,102.129
12219230,428.279,37.871,888.924,65.52,3.961,102.215
12219283,423.627,36.011,888.276,66.399,4.104,102.275
12219336,420.592,34.797,888.363,66.781,4.166,102.301
12219389,416.213,33.047,889.35,67.007,4.202,102.317
12219443,413.406,31.925,890.507,66.954,4.192,102.313
12219496,409.051,30.185,892.72,66.708,4.151,102.295
12219549,404.805,28.488,895.066,66.387,4.097,102.272
12219603,401.67,27.235,896.766,66.153,4.058,102.255
12219656,396.426,25.14,899.383,65.831,4.004,102.232
12219709,391.525,23.181,901.411,65.668,3.976,102.221
12219762,388.236,21.867,902.51,65.648,3.971,102.219
12219816,383.523,19.983,903.802,65.712,3.981,102.223
12219869,379.606,18.417,904.577,65.865,4.005,102.233
12219922,377.132,17.428,904.986,65.986,4.024,102.241
12219975,373.993,16.174,904.816,66.377,4.088,102.268
12220028,372.033,15.39,903.608,66.961,4.183,102.31
12220081,371.204,15.059,902.438,67.392,4.254,102.341
12220134,370.61,14.821,900.264,68.052,4.362,102.39
12220187,370.098,14.616,898.039,68.657,4.461,102.436
12220240,369.582,14.409,896.548,69.033,4.523,102.466
12220293,368.629,14.028,894.096,69.639,4.621,102.514
12220346,367.546,13.595,892.463,70.046,4.687,102.547
12220400,365.48,12.768,890.006,70.652,4.785,102.597
12220453,362.925,11.747,887.639,71.221,4.877,102.645
12220506,360.525,10.787,886.482,71.495,4.921,102.669
12220560,356.499,9.178,885.496,71.663,4.948,102.683
12220613,351.621,7.228,885.832,71.432,4.913,102.664
12220666,347.345,5.519,887.001,70.998,4.845,102.628
12220720,341.222,3.073,889.936,69.97,4.682,102.544
12220773,333.932,0.16,894.418,68.502,4.446,102.429
12220826,329.094,-1.773,897.872,67.377,4.264,102.345
12220880,321.229,-4.914,903.993,65.458,3.948,102.21
12220933,314.24,-7.706,909.685,63.629,3.642,102.091
12220986,309.021,-9.79,913.486,62.441,3.442,102.018
12221039,300.694,-13.116,918.634,60.87,3.174,101.929
12221093,293.016,-16.183,922.859,59.636,2.962,101.864
12221147,287.714,-18.302,925.394,58.956,2.844,101.83
12221201,279.676,-21.515,928.636,58.167,2.706,101.792
12221254,271.349,-24.842,931.535,57.504,2.589,101.761
12221308,266.331,-26.849,933.225,57.107,2.519,101.743
12221362,257.295,-30.46,936.16,56.394,2.393,101.712
12221415,248.583,-33.941,938.866,55.709,2.271,101.684
12221469,242.828,-36.241,940.586,55.257,2.19,101.667
12221523,234.606,-39.527,942.952,54.614,2.076,101.643
