Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
11692367,148,348,790,90,0,90
11692421,148,348,790,90,0,90
11692474,148,348,790,90,0,90
11692527,148,348,790,90,0,90
11692581,148,348,790,90,0,90
11692634,148,348,790,90,0,90
11692687,148,348,790,90,0,90
11692741,148,348,790,90,0,90
11692795,148,348,790,90,0,90
11692848,148.012,348.007,789.955,89.991,0.019,90.01
11692901,148.011,347.87,789.8,89.991,0.1,90.009
11692954,147.998,347.723,789.631,90,0.187,90.009
11693007,147.991,347.625,789.52,90.004,0.245,90.009
11693060,147.99,347.466,789.341,90.005,0.338,90.009
11693113,148.13,347.286,789.156,89.922,0.444,90.009
11693166,148.443,347.154,789.049,89.736,0.521,90.009
11693220,149.502,346.977,788.992,89.109,0.625,90.008
11693273,151.439,346.77,789.044,87.963,0.747,90.004
11693326,153.05,346.597,789.119,87.008,0.849,89.999
11693379,155.926,346.291,789.317,85.302,1.031,89.987
11693433,159.053,345.96,789.632,83.439,1.23,89.967
11693487,161.113,345.741,789.896,82.21,1.36,89.95
11693541,163.672,345.461,790.283,80.692,1.521,89.922
11693594,166.031,345.129,790.664,79.409,1.656,89.861
11693647,167.503,344.736,790.83,78.898,1.709,89.746
11693700,169.815,343.768,790.92,78.636,1.735,89.428
11693754,172.985,342.182,790.92,78.642,1.734,88.897
11693808,175.54,340.883,790.925,78.642,1.731,88.468
11693861,179.982,338.543,790.923,78.686,1.719,87.708
11693915,184.556,335.931,790.86,78.922,1.687,86.87
11693969,187.542,334.122,790.8,79.175,1.65,86.293
11694023,191.782,331.418,790.753,79.6,1.58,85.45
11694076,195.772,328.961,791.045,80.054,1.352,84.638
11694130,198.384,327.513,791.489,80.325,1.079,84.113
11694183,202.501,325.539,792.487,80.55,0.543,83.341
11694237,206.567,323.117,794.589,80.491,-0.25,82.623
11694291,209.294,320.108,797.4,80.407,-1.054,82.093
11694345,212.132,314.009,803.754,80.23,-2.699,81.426
