Time(ms),X(mm),Y(mm),Z(mm),Roll(deg),Pitch(deg),Yaw(deg)
5167446,111.884,450.176,790.196,86.353,-6.699,122.882
5167499,109.067,450.869,790.194,86.353,-6.699,123.24
5167551,106.475,451.488,790.194,86.353,-6.699,123.569
5167603,101.664,452.596,790.194,86.353,-6.699,124.179
5167655,97.954,453.414,790.194,86.353,-6.699,124.648
5167707,91.783,454.703,790.194,86.353,-6.699,125.427
5167760,84.919,456.035,790.194,86.353,-6.699,126.291
5167812,80.055,456.913,790.194,86.353,-6.699,126.901
5167865,72.228,458.216,790.194,86.353,-6.699,127.881
5167917,66.725,459.05,790.194,86.353,-6.699,128.569
5167969,58.154,460.219,790.19,86.354,-6.698,129.637
5168022,49.41,461.239,790.19,86.354,-6.698,130.724
5168075,43.501,461.834,790.19,86.354,-6.698,131.458
5168128,34.401,462.601,790.19,86.354,-6.698,132.586
5168180,28.134,463.027,790.189,86.354,-6.698,133.362
5168233,18.645,463.508,790.187,86.354,-6.698,134.535
5168285,8.932,463.804,790.182,86.354,-6.698,135.735
5168337,2.201,463.891,790.177,86.355,-6.697,136.566
5168389,-8.832,463.813,790.177,86.355,-6.697,137.929
5168441,-15.861,463.625,790.177,86.355,-6.697,138.797
5168494,-26.763,463.124,790.177,86.355,-6.697,140.145
5168547,-37.62,462.369,790.177,86.355,-6.697,141.49
5168599,-44.834,461.725,790.177,86.355,-6.697,142.384
5168651,-55.677,460.543,790.177,86.355,-6.697,143.731
5168703,-66.155,459.155,790.177,86.355,-6.697,145.037
5168755,-72.265,458.233,790.177,86.355,-6.697,145.8
5168807,-82.834,456.441,790.177,86.355,-6.697,147.124
5168859,-89.234,455.233,790.177,86.355,-6.697,147.928
5168911,-98.569,453.306,790.175,86.355,-6.697,149.106
5168963,-104.68,451.934,790.175,86.355,-6.697,149.879
5169015,-113.796,449.725,790.175,86.355,-6.697,151.038
5169068,-122.547,447.42,790.175,86.355,-6.697,152.156
5169121,-127.693,445.978,790.175,86.355,-6.697,152.816
5169174,-136.679,443.321,790.165,86.355,-6.696,153.972
5169227,-144.969,440.695,790.155,86.356,-6.695,155.046
5169279,-150.343,438.932,790.125,86.358,-6.692,155.743
5169331,-158.219,436.162,790.12,86.358,-6.691,156.774
5169383,-163.354,434.275,790.114,86.359,-6.69,157.449
5169436,-170.897,431.365,790.112,86.359,-6.69,158.447
5169489,-178.032,428.489,790.098,86.36,-6.689,159.396
5169542,-182.686,426.526,790.098,86.36,-6.689,160.02
5169594,-189.353,423.616,790.093,86.36,-6.688,160.918
5169646,-193.743,421.626,790.093,86.36,-6.688,161.513
5169698,-199.968,418.717,790.088,86.361,-6.688,162.362
5169750,-205.878,415.851,790.083,86.361,-6.687,163.172
5169802,-209.606,413.992,790.078,86.361,-6.686,163.686
5169854,-214.92,411.272,790.069,86.362,-6.686,164.423
5169907,-218.646,409.303,790.069,86.362,-6.686,164.944
5169959,-223.329,406.767,790.069,86.362,-6.686,165.601
5170012,-227.425,404.491,790.069,86.362,-6.686,166.18
5170065,-229.938,403.068,790.069,86.362,-6.686,166.536
5170117,-233.14,401.224,790.069,86.362,-6.686,166.992
5170169,-236.079,399.502,790.069,86.362,-6.686,167.413
5170223,-237.477,398.672,790.069,86.362,-6.686,167.614
5170275,-238.974,397.777,790.069,86.362,-6.686,167.829
5170327,-239.442,397.495,790.069,86.362,-6.685,167.897
5170379,-239.539,397.436,790.065,86.358,-6.681,167.912
5170431,-239.398,397.536,790.061,86.329,-6.66,167.896
5170483,-238.863,397.915,790.054,86.221,-6.587,167.837
5170535,-236.986,399.174,790.043,85.964,-6.415,167.61
5170587,-235.332,400.287,790.039,85.716,-6.252,167.413
5170639,-232.198,402.388,790.022,85.191,-5.895,167.049
5170691,-228.5,404.843,790.026,84.547,-5.463,166.623
5170744,-225.879,406.543,790.047,84.122,-5.183,166.314
5170796,-221.614,409.3,790.107,83.359,-4.683,165.82
5170848,-218.569,411.224,790.158,82.819,-4.327,165.467
5170900,-213.654,414.239,790.239,81.972,-3.753,164.892
5170954,-208.401,417.077,790.036,81.305,-3.133,164.269
